,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62,mpd64
Low,140.78558989000032,147.35758493214314,149.5445553722223,155.60088244015142,157.2670481961542,157.30382831333367,158.75322221535907,160.23312220157914,159.87237327121224,161.48564835543442,161.2791910276921,162.73692047354484,162.61977864517274,163.40150550725852,164.49820110552548,164.10495151071453,164.8330076605972,165.65060788339753,165.75670829146355,166.20427784244208,166.19410466946817,166.69472847468987,166.8635184446934,167.40100795720252,167.55488053231986,167.98881492545476,168.11378498953408,168.53250452870103,168.9747229508989,170.094921144841
High,188.579798,185.04960082321458,182.25902278777755,181.3420897272725,180.31777813351647,179.23957037166667,178.17524717091467,177.14786213236863,176.97641868809535,176.53524721394922,175.85682044107676,175.49858801283045,175.0001103327585,175.02014649274233,174.86354520374317,174.45946455126978,174.05268780924612,173.9064600526924,173.30343011614448,173.2152921328228,173.15897232516926,172.8581160817374,172.79005898236727,172.35672574238274,172.29764270943377,171.95195458321444,171.6312176935873,171.23845000850244,171.00379643781102,170.094921144841
Mean,170.44139897653332,170.06494427557143,170.16635444115556,170.22072138751514,170.36500711052742,170.2254660051,170.2913468624967,169.8645214231684,169.9409260321818,170.0068232893261,170.02210851488002,170.08006547971954,169.99902541888736,169.93699496269755,170.22871003634228,169.99032203897463,170.135749144367,170.0888941116487,170.01500015543786,170.16467749851796,170.01472048157294,170.12687112088474,170.10473289804733,170.1354933128567,170.0971672538854,170.15361127731688,170.07425471196976,170.06935418156948,170.11214632416286,170.094921144841
