,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24
Low,12.905076,49.1058060882,97.80079383162231,132.15269898021026,142.26432550112574,166.84604580519306,180.8809272884774,196.55840035469103,205.7864929539536,215.37408328403856,222.789864897801,246.554980618554
High,407.4393997122,383.92989983275,341.37557407101053,326.2169832987704,315.5145523508622,305.3063757939184,295.03141468495045,290.171456870574,281.64702701823666,272.917790034891,259.343192482405,246.554980618554
Mean,250.8069220805001,246.83734448050004,247.6781980197251,247.0388693809228,246.3619705831052,246.98217201443023,246.86001647370142,246.67322150762269,246.31761331255024,247.15873944847158,246.3999727515546,246.55498061855403
