,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575
0.5,209.2674120448891,217.61349477095257,223.4792345666051,229.41273628013334,242.2854071873796,244.25683274302486,250.5387535804297,252.0259768986267,255.41827165184046,258.61983005843064,262.0572970755929,261.72773552564865,266.9358460683834,266.0498820502128,266.98290344191304,269.98643808565504,270.78732587848793,273.5197100618051,275.8317029810835,280.5960786169504,279.5814010155003,278.5102125866151,280.023153475209,279.9374556974236,281.6904005171886,283.6727207828457,285.8082916305276,288.39121322689437,286.69602442625245,288.1762573931578,285.93881440150966,287.6682304630602,285.5165284498879,286.6245320566919,291.06198179633077,292.8288783710921,291.7031680978444,292.7027639473263,292.06555473149615,295.24960207276916,293.4531094567988,292.7226676484391,295.7865552850906,295.30572165619304,294.6865438822268,297.8247286139767,296.64786079545047,301.60347496074036,297.8759922051625,297.89533881287707,298.1384147763346,295.35431356354405,301.1116829212685,300.20609952450957,299.9484950536667,297.4294570329235,299.8784851914744,304.2143682038284,299.96594885519113,303.72889638138156,301.29546844039055,303.21927016222696,303.5318475263785,303.1776240857434,303.4626377559951,304.05711174030904,303.00825242064,301.8255652837395,303.8000200505121,305.10333854056535,306.35076206704525,306.2879878422286,305.3903671883846,308.43928477676417,307.99818553635777,306.38038272872416,308.19891349101573,308.39172458519636,309.5070249277805,308.44466960163516,309.09868491025264,310.4109286631324,310.77969232223063,309.7217479660797,309.3845295350963,311.0940182660241,311.57387804274134,311.59845908787145,311.870703308065,311.36246462281923,311.86395397327345,313.43153489150285,312.4086168661447,313.284575941266,312.35144320705507,312.14705790148804,313.5877698073903,314.0703805933259,314.10093097953154,315.2450423001583,315.3528516961157,315.56746194609127,315.2583442266579,316.5464215059293,316.8330653791708,317.09784344432194,317.7675009842626,318.14506805647363,318.59860687877494,318.7977916009105,319.66603321602804,319.6418606702582,321.23008726823434,322.31711921340406
1,216.63421798199965,222.95007209809515,228.5219790395788,238.796686717067,248.85482674142574,251.1496003650087,255.2425780943081,260.075485512505,262.7660122649875,263.51910120441784,264.9099184360961,268.0030651820479,271.14947267395485,272.3669589159853,272.40737543286406,275.6092091919548,278.7318203868114,278.1704455251785,279.5473107172318,283.45137820856377,284.53080670209187,282.29706697971324,284.31315380431244,284.170064118867,285.743988527758,287.0915909985162,288.0487302077743,291.30337233252345,288.55568979800285,290.09260836140436,290.7721228826569,291.53589934672556,290.6792290179571,290.94280625861813,294.9112872956131,295.18012889256556,293.3573994862728,295.7183641121576,294.0308166470209,297.177684946836,295.8507597317658,297.44419580714833,297.98575732689164,297.5036904051892,298.60835278596863,301.0624997763042,298.5831109792584,302.83786987112825,300.5030913968054,300.77198623390444,302.3069237783279,299.9456155299992,302.4445156439576,304.04641375342635,302.2464910489703,300.50543350729595,302.02412384092617,305.455836775704,304.1859877266604,305.503797251929,302.60396750365993,305.39044494195616,306.67860069410966,305.80710660037147,305.07886829405186,305.12795681870205,305.6350759728347,305.6346808187649,306.06202280718327,307.63994824988873,308.0056586617478,307.18398072763904,306.5209704687961,310.0020149635175,310.0587101647295,308.25798483963354,309.7815448791272,309.8872144424607,311.54967183042334,309.70942125692545,309.77240152341295,311.328655177865,311.7377722475714,311.5013905124542,310.24550656354137,312.2737104493708,312.67311133669745,312.53211877833303,313.02334628197013,312.7968862782655,312.7667533050005,314.39832144067515,314.05640168434036,314.0884607355882,313.715484328268,313.95568916985303,314.9020681793033,315.44775146202085,314.9185483213314,316.50669935321565,315.8783341897378,316.34425705160476,316.0751178460902,317.1277324010138,317.3541877209191,317.95455169982444,318.4717916524673,318.83888559585307,319.5423764004795,319.55951310723043,319.9928175370317,320.3484395126768,321.56465818938557,322.48152973313887
1.5,218.97500871011135,225.76399912104813,230.54479506776312,242.560089517733,250.27286769243716,255.41705844277266,258.24953638524954,263.8789637938992,263.6107919393302,265.858176169852,267.2646500468844,272.3687152450725,274.36309260640996,275.27341590739786,275.6515947796185,278.36320742913153,281.4220694092819,281.73378100856934,283.6848746887333,285.3374391745295,287.8314033236319,285.4788542008772,288.8946527959965,287.07417935939463,289.0114035030164,288.97227160051966,289.7302804052967,292.90250186437436,289.9037843795956,290.89304469371996,292.44055916226705,292.8049506549203,293.4847402643568,291.9994099787802,295.93141378670924,295.9542171895966,294.94938130325033,297.0696223114762,296.7559539859912,299.7354942531313,299.30552985557415,298.94809384194525,299.7982092888984,299.4919338068048,300.28786715769525,301.2757496103458,299.8707556511352,303.4046978581724,301.61130033912406,303.1098961410223,303.91610540989694,302.23908942323817,304.06261347152815,304.5644572827369,303.5471998600753,304.13518795851303,303.57598486531094,306.42653818458007,305.7436403196904,305.80741289398406,304.55464807456974,306.8209820965647,307.3244918496698,307.27505902764375,307.06749600080116,306.73253680876434,306.5309689081806,307.8945926215928,308.04935693436005,309.3485761775993,309.55078130828656,307.9746016326276,307.8951641502161,311.12394461256883,310.6433632493432,308.97521017564145,310.5231152493318,310.8798271170628,312.5067070101812,310.8040422345103,310.25663485577,311.9969176377667,312.5609587928618,312.14619791436604,311.54905825654697,313.16878936776055,313.4156811703904,313.63297490162563,313.73465073801697,313.60193934737646,314.08666561137727,314.8522010868959,315.02532553346333,314.53364661816465,314.47469254379746,314.85834812592503,315.9185298520968,316.33321937565927,315.72394922955954,317.3397067611041,316.56577576197043,317.08759110954816,317.446093992952,317.9684216734082,317.8712024764668,318.3919688664768,319.0823237055702,319.9142944309716,320.0169102968365,319.99452745372827,320.29631711144816,320.92178979093165,321.93343735194327,322.68115185228095
2,220.68497982888866,228.42865819771447,233.54568257673705,246.279957058133,257.49205674285093,258.52755083737793,260.8081086242311,266.5289374058179,265.9624015312329,270.28667068667966,269.79149407040677,274.9475952563081,276.0419352755611,277.4119483867817,279.99718958931663,280.2775148525046,283.118990128989,284.44066861069615,285.55342689501424,286.7860562469086,289.3028578426893,287.10885332320987,290.535471302922,288.2526610645623,291.17224164818134,291.4095323886967,291.51798704943866,294.8169003240992,290.8490632100711,292.46259272124973,294.12660184413227,295.6496548541084,296.31352403212844,294.6981012051098,296.8708031636373,297.8231188943906,296.4919090600528,299.2748001079309,298.8351522122855,300.3005634351985,300.8565440066331,301.2401270723861,301.2168367855213,300.4714245993906,301.5119493355793,301.97302941238206,300.51764728610476,303.9335952597172,302.34029054057004,303.46617135712,304.5514372846102,303.4915859801555,305.638426022739,305.19802234726353,304.8613440292972,305.0027023611213,304.5802943677363,306.7602350554968,307.3666071805252,306.1486767428499,305.58596796328123,307.88710089286724,308.72678365181434,307.65330273165904,308.04299320600376,307.68654633988774,307.139356285574,309.9372449544752,308.6810651034914,310.26106192590777,310.7023237043879,309.102310568773,309.41429607648433,311.9628032433966,311.0175310141543,310.7664803296374,311.3527359264066,311.800208949856,312.9696888984077,311.77103523431947,311.7076401448611,312.35646421108106,312.85482940205856,312.52970889248576,312.58948665943416,313.53571139579896,313.8622541371065,314.100408522984,314.2157719790102,314.14331311330153,314.8969861225179,315.23026564562434,315.5548445062141,315.02480310794584,314.81384606902833,315.23867585240953,316.4452391149434,316.7137033244142,316.4319937068582,317.54121674606296,317.30724422611166,317.48037947997375,317.7610668754826,318.37416437787175,318.39462136525196,318.8509980917721,319.4048578857068,319.99314496352184,320.253523267464,320.3794672911569,320.75413271637075,321.1445800124789,322.1409764799389,322.73617508915163
2.5,222.78433596333332,229.81507373428568,235.20205626342158,249.45655166083364,259.0018123496551,263.4786192897477,262.40179313955144,268.1445161387378,268.80141171028595,273.2352170105385,271.40639987360174,276.29001024454317,278.1534270438097,281.3525641774592,283.5972658215661,282.49472677823564,284.47610732388296,286.4435918391037,287.03640409807116,287.8514883017764,289.9776574203003,288.66586089075514,291.8357369694889,290.2425456625939,291.95559228520017,292.63155255622434,292.1772395965158,295.7605247708525,292.00567740584995,294.72345271054496,295.100000473719,297.09356164369206,297.44010277011284,296.0197725472148,298.6196246224288,299.0937225140514,297.56760200333895,300.2276186307617,300.3200846270789,301.6856951436351,302.34994031532386,301.9828302901999,302.3954656303029,301.66270023890434,302.5748031763322,303.7396949701546,302.15832906374834,304.85843772635315,304.0221401238753,304.12801858389344,305.0066216335013,304.12359226010443,306.46389720580936,306.1233889372153,305.5797863155854,306.0074625187166,305.06273613199033,307.80167580507424,308.04250516038775,306.97106515962105,306.1671365243149,308.4089847248214,309.38104030077074,308.9995105071788,308.73029635042286,308.4680710940118,308.40149998098457,310.26987600910536,309.20931788212215,310.74661141826783,311.1839748377317,310.3722555984561,310.5437376365301,312.5721799914558,311.74274731151746,311.2660398978324,312.00365301313184,312.1891695421754,313.2596255703954,312.1612943542867,312.48940525217154,312.6931063886251,313.49922894071807,313.3275268906935,313.2355073865679,314.180804720002,314.5512217303349,314.7067910472644,314.6980754174517,314.4560794842837,315.3965669792933,315.51342848138944,316.092797474894,315.3374491140266,315.41024727101785,316.1396947557,316.71804229637314,317.1023685565356,317.1771820311959,317.8099368018759,317.6211543886501,318.0517952295827,318.14546018308715,318.69542866861144,318.5486515089192,319.0782681585732,319.6101746449494,320.1656124471065,320.44881354273434,320.5616683283243,321.0129846417446,321.6952311400424,322.1959896720621,322.7904092917085
5,228.3080760277782,235.75491014857164,252.3965252092101,258.865252448333,267.0282304932184,271.582051618655,269.64756970583375,274.61320697717133,277.37067722363264,283.7930440676092,280.9066254534465,283.1279763765861,284.32311003064166,287.7138619103781,289.07442321159795,288.4708087364429,291.44628808976313,291.7325047058008,292.130445219101,293.77094501456014,294.04269823962443,295.31621115090735,296.32469301122563,296.56899363189666,296.9678640986103,296.45686697848555,299.01563710140283,299.33399515048853,296.9573536037312,299.2295662476921,301.07398121781085,301.4326378308352,302.21258794535305,300.5862198798887,303.2298172121847,302.7855691672913,302.29289901343117,303.734445413053,304.3245172227712,305.0953931236351,304.8274064825043,304.7078672335537,306.61484849786666,304.83898124679365,305.6254448330943,306.4017486506131,306.04367459579174,307.3705789328235,306.6689979139986,307.24262300286915,308.2975557828856,307.22747698648357,309.7625764924987,308.2634783162045,309.15710111152686,308.94719535744,308.42152973175286,310.0862308005603,310.32231097986806,309.385441041501,310.0350458487474,310.78322560037833,311.1863641788822,311.7460579211761,311.17171919712877,311.46588635037074,311.38603673540064,312.42811739187715,312.20933451663063,313.20655813717036,312.7941373269217,313.0505706573865,313.1022253603817,313.65116376935373,313.33659815413733,313.73031221242434,314.4453726839137,314.28840643127546,314.89609849545656,314.7031395575579,315.268938219275,314.4523410507006,315.2527260919143,315.43951020593414,315.7149197144078,315.708667210472,315.93517970527256,316.4435800426522,316.221415245116,316.0475177179703,316.83497914316524,317.2123771083679,317.7239341359141,317.3422503763873,317.1699972110835,317.3765326240324,318.0929231277181,318.50009001888515,318.4504532781704,318.8194147297314,318.9131079590843,319.29595785337585,319.2592508763398,319.84385147038984,319.77086074415575,320.2831480094043,320.7818783273802,321.13170475087577,321.31813106310085,321.35932998703214,321.7033629303567,322.2440499452987,322.6837515593781,323.347207757626
10,235.143985435556,257.0240649314284,261.6145797442109,271.99170402666704,275.40198296942503,282.4219939290753,280.2826512906408,283.7753619931317,286.47264325591823,289.9403473868016,290.80954173700565,290.30996425817267,293.2222214024845,295.3286837566843,295.8853676667404,295.9741918472828,299.01932404324594,297.2695192057786,299.7363876681008,300.8928776279486,299.5401866349958,301.12222733314997,303.00094472218484,302.4923246904777,302.8464352186999,302.3181777754114,304.11994200456303,304.7332414580461,302.4817769892889,304.91934348544623,305.50200916174543,307.00634034062057,306.98446996992664,306.5356536232906,307.90955737836794,307.64885920763834,307.03871266804236,307.5603200661378,309.704538289156,308.8166198643425,309.7211875546229,308.8596872848599,310.0991017445127,309.4682508164044,310.6543822021111,310.80782060518646,310.62512801464436,311.065313021773,311.00300530790986,311.1853407770821,312.44137544548244,310.7742237330476,312.9454364419466,312.3663192576511,312.9320706206218,312.8034379743757,313.0203023164681,313.0458322557315,313.14712223188894,313.4536098431626,314.7117200353625,314.12052996952764,313.8394871064131,313.7501626669742,314.1224189479965,314.2726646106643,314.7564533739358,315.6149432092888,314.26635012316353,315.3126018109015,315.33845116705635,315.8099913892759,315.7652226539402,315.8306042155268,316.24946673607815,316.01526294280865,316.4177381182929,316.5474244452713,316.7385830425178,316.9021957555015,316.6199440268124,316.9252282223739,317.3940110548084,317.5484278397976,317.5233209457233,317.71194050298004,318.06409220286247,318.4692374703815,318.14144620433854,318.4703209906375,318.5086528052627,319.06347662225227,319.34205491083,318.7937104748245,319.0779000584607,319.4762247066306,319.7775001965513,320.0886818850189,319.966522287797,320.6138488973769,320.5929667782737,320.6960355306472,320.69259422988694,320.7649054430792,321.3959651929368,321.42894188661,321.8907316794217,322.139405334053,322.2698859975878,322.3943800068179,322.6249741236228,323.0391235608795,323.2504152395186,323.94963234910557
25,273.87973890000023,281.3305461142855,288.670644794737,293.1373693816665,297.4261601551723,301.259548907563,300.27139594070525,300.8973455939395,303.3801616465305,305.1560257861955,306.1577015717515,306.295483240625,308.7508350207038,308.4768249935135,308.11025122943,308.00350468361347,309.7622662063045,309.39178694367297,312.06349776732327,311.6970405758245,311.48646162256074,313.09769855980153,312.6681438102943,312.9206344671615,312.96766533363177,313.9729493631842,312.36943883085775,314.1236406666187,312.49814840263974,314.4509011990365,314.777579041903,315.88474902623796,315.6799967539855,314.15280650601,315.3769098346055,315.41327790029425,316.281953772264,315.8601097923605,316.84341969380705,316.44014347823975,316.06965043762773,316.6954805217563,316.91776048076974,316.74127750238125,317.28190706302473,317.4555858034375,317.60708460174374,317.4981051172467,317.668726167181,317.21567843952425,318.1238625165503,317.264697994311,318.4722610888957,318.22190608111475,318.48343024244724,318.579637822288,319.1270665504173,318.80181575204676,318.911733437453,319.010562486227,319.631029233349,319.511540666404,319.37336303737777,319.70558646587875,319.53930052215605,319.45976496484025,319.908065905609,320.31616193287,319.24561465158024,319.6486747048618,320.05611919993027,320.34190962931626,320.09185095474277,320.298269869661,320.89265166702876,320.3715622048362,320.7268108389657,320.56214431363526,320.70590938843026,320.85910386865953,320.8060935065655,320.86003841999303,321.25214993101775,320.88732257150923,320.998104636575,321.248868934504,321.30300965814877,321.2418045974392,321.5806854008267,321.6072503241955,321.6522090394237,322.03016174043375,322.1949231029695,321.726776479636,321.93659706648623,322.39047905889026,322.23547329316403,322.4769738849143,322.58321380868574,322.825283727114,322.74226469172123,323.0797406477427,322.83913437640626,323.02827809227904,323.35540594911004,323.26794583074326,323.56285836614296,323.779582390782,323.53834499377524,323.74668017523624,323.9968794397795,324.0611673963035,324.37374444421755,324.546065916128
75,366.828110666667,361.84595663333374,356.1806880763163,356.46734024833324,348.14346309827624,350.73730242437,348.09872682820503,344.9611155227275,344.6717489391838,345.5875955030305,343.32575889703423,341.7112995538457,341.792794279296,341.7495130466665,339.1993810805383,340.27873522647076,339.58002307084877,339.089514668869,338.57839952393977,338.7424191838825,337.89351592623,338.4295842929825,336.4414115919115,337.9893535598708,336.1791570352415,335.90592021873954,336.35415588574,335.232164811734,334.9602229752795,335.6508601558025,335.4547807646028,334.68228379061327,335.3466269648627,332.93595636853877,333.9892233770483,335.10132620575826,334.47071338394574,333.867167190669,333.2071772112182,333.4603940917985,332.99929586836424,333.8340037233643,332.8040856462638,332.2206192333332,332.54129214405725,333.210831115312,332.4790489340045,332.36051851880273,332.4716436311248,331.8521958477228,332.5707693857735,331.95548652015424,332.45514440037874,332.78959122240246,331.8767081810865,331.5091300808253,331.71652180244024,331.31323882522776,330.9967460287518,331.28475281120575,331.6861614713017,330.764892398564,331.2024390153997,330.3526385481765,330.65934197114325,330.13312378760423,330.506988742578,330.353131881716,329.57770930149024,329.87693991723523,330.21621616797825,330.08327015399703,329.676322586955,329.340481339822,329.59992567023,329.48686056960247,329.5031297002375,329.2671362935682,329.8068550620895,329.131335827491,328.63889570874824,328.8249992044465,328.78018208692424,328.693683433746,328.7398207703555,328.8998528250063,328.422751584109,328.2283565918005,328.31720359728297,328.63470012549277,328.195239433845,328.0784545657445,328.14525192537525,327.793524227013,327.6108843672455,327.72709640785973,327.75907405287523,327.60778833400775,327.528561728537,327.3871026124825,327.4116771633195,327.31383167146276,327.2467113564882,326.8873533841913,327.15896975287825,326.72931729272625,326.8828967784595,326.762696593406,326.437207074554,326.35883577723655,326.1829673821315,326.067510952162,325.7167421522878,325.5272027629055
90,413.41835055555555,406.21399575619034,392.6987607457898,385.8401151940003,373.4591091200001,378.4514308467225,373.21903853333333,366.00009928707095,365.4059728446527,364.3412043458589,364.2006823674581,359.2737129741345,357.67979979349894,357.46918098580187,354.9375579399996,353.98016296285687,354.4457529543069,353.1139065333931,349.7290347140403,348.8034657360803,350.4759359900917,349.9929819387642,347.8924732966387,349.3412956586063,347.1663993905542,345.3093188879823,347.4097435554883,345.4189490083716,346.0643042337005,346.2741130239465,344.8412339345204,344.4252495060017,345.4607952716326,341.494854574056,342.1931783837491,342.49443467049315,342.74339061131207,341.87901549981535,341.4522121176186,341.66991094973736,340.1062364949552,340.13418846729826,340.6556152226567,339.4359670711354,339.909012057665,340.42651621102743,338.6665281064749,339.6147894670058,339.1207609148335,337.87268014555553,338.7954961071781,338.32815528846146,338.42285246618997,338.9731646033816,338.0159710359676,337.69267906737326,337.2247163438587,336.7536081685872,336.0311841011375,336.3418470238054,336.8330611765817,335.67440915143857,336.2156433051273,335.1217095458425,335.2485490472967,334.6152789708496,334.9962537361447,335.0090705795317,334.5738223805341,334.0595556397037,334.7339997381913,334.8608056314019,334.0395872549722,333.3288618820418,333.35215522482747,333.4986950687634,333.4024739351449,333.2165044417502,333.0901203121031,332.6598133090013,332.09973994320666,332.4162398327526,332.3184248065766,332.04692800868776,331.5733946292388,331.9190647708286,331.27488040898845,331.3157142767706,331.4427016582943,331.1400494654851,330.9287778051527,330.5514766258974,330.62375069898,330.0498962981536,329.8509436210475,330.0223262074742,330.17671486806773,329.7650505360632,329.65391924037743,329.1203934467908,329.5045367393486,329.2146375744086,328.9918610789353,328.57513551716323,328.6662333828867,328.2072259173117,328.1828260486405,327.8301070556477,327.567516653273,327.2481772110961,326.9859149312308,326.61730003064963,326.2770386906145,325.5754628158121
