,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350
Low,936.328898325,1264.908537275,1587.76130985,1876.2917672499998,2180.39246214675,2444.4815186275,2719.72279224575,2980.5344311,3238.638923575,3481.16834965525,3712.576648525,3966.52917590475,4201.335113263251,4451.1406555835,4622.0297685045,4889.6163980315,5106.514855169499,5298.21863090125,5521.89542731425,5757.6985380529995,5911.5664309015,6159.71852374225,6330.2067349515,6580.64639704575,6823.966658308749,6954.7401217057495,7132.70554244425,7351.3068100585,7546.40990408425,7685.7963700555,7935.38088033475,8126.231075803999,8249.092354596249,8464.563787604999,8685.364908661251,8814.267327766,8971.74457603325,9159.42442368975,9362.9467014035,9526.826759489999,9709.13279633025,9904.4553539885,10051.9347826005,10233.937035496001,10473.317557748751,10587.869500514,10752.421710972001,10921.65280249575,11054.792456170499,11301.06867432175,11403.28902801225,11588.5158235295,11758.073102412,11923.35943254275,12092.61795823,12295.10976231925,12437.641379755001,12569.39512518625,12771.9877922525,12889.5120714285,13102.271467555,13226.855450309751,13404.75712750825,13562.477094737,13713.0073264775,13919.55295678,14096.15966223,14300.94777318,14535.11147108
High,1501.4924915714998,1969.2197013765,2368.5861357085,2743.6723321749996,3118.7604354685,3451.7606711539997,3751.3865665232497,4047.04043288275,4337.83117663125,4631.547587526,4872.2449536085005,5127.88762032975,5348.794340450249,5639.29844859925,5859.428300469,6106.26166725325,6352.33454071625,6607.6919919095,6758.789331103751,7003.856662898,7207.78755122775,7446.1234904795,7614.53649302975,7824.08585847425,8063.828631008249,8293.572409373,8406.17734083725,8635.305047672251,8819.9791293645,9010.702632929251,9174.602781938751,9332.917995098249,9517.50511767025,9723.33566734025,9871.98618030425,10083.869691103,10218.448108776249,10369.4554675365,10580.31319028675,10722.83262974475,10920.416396004499,11056.66212479575,11226.114388185999,11355.528928531248,11506.2134369225,11670.252986604,11808.55638879175,11984.657264755,12120.057424670249,12314.577009122,12414.72214610525,12565.5313379035,12684.741673993001,12854.7938569645,13009.3716033325,13108.52502588375,13242.8715619985,13393.8055139915,13551.38556619575,13626.07673869575,13794.5481410215,13915.573989876499,14023.41050418,14161.32815333,14283.654847762251,14383.09788668,14486.042692955,14578.34990738,14641.93051218
Mean,1212.8472278352801,1597.6496830215901,1966.31004991658,2302.03055189674,2624.87332077448,2922.4744775329095,3224.23542839588,3502.26927350201,3768.2600717118403,4032.5842543546696,4296.120650070339,4550.34079415106,4794.017720227249,5028.888746416129,5269.18600798122,5525.82100200651,5731.771394429229,5964.9606884069,6161.562174057611,6386.073653277701,6598.54532348234,6808.093996491861,7006.153331371321,7198.117233809189,7416.73716918965,7609.6462343681305,7811.4348716677505,8009.746275792981,8200.39647332926,8372.37563468519,8567.07925821715,8753.863711759768,8927.405239289,9106.51134997832,9267.316432812411,9454.50819399237,9644.36011889453,9799.99197068322,9984.24878320433,10138.57030262044,10327.91126316024,10495.87141731329,10645.121027871599,10806.72884727162,10988.66986947016,11135.736114234769,11301.19139867672,11464.885616696642,11626.864639818092,11802.79636689136,11936.746280774269,12101.66939932616,12244.5037538408,12415.90045341249,12552.378169647678,12724.17155437506,12865.70795803711,13003.459252814599,13168.4573874111,13298.22552097492,13462.12709278103,13600.73449465723,13747.8129754242,13902.15731917234,14037.85658089071,14190.74109738613,14329.64214057097,14471.85993950605,14614.767606208161
