,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350
0.5,852.6096305683001,1151.260439615,1490.0665684,1810.97796133605,2034.1413011153002,2254.32874303,2571.0026490207,2842.0382657868,3022.36159216,3342.63005994105,3607.818854865,3829.2850270783,4032.11994944045,4293.2572776914,4404.050233766299,4641.4449173707,4898.7625931824,5122.6765526543,5349.8099096703,5570.9762625957,5760.98466001665,5998.01478377275,6118.21424971,6349.35409276335,6644.46741718565,6818.69616769415,6931.67992996635,7184.64196210725,7370.33921517855,7513.523775102851,7713.102067984049,7958.0703450002,8110.4845717597,8189.7678878357,8449.6546241498,8495.14232286975,8718.4262774627,8995.43590831015,9221.24376971155,9331.0488890592,9476.58389412115,9705.1581630778,9889.4460492805,10093.58983356895,10211.98157590205,10359.328214042751,10603.93860895665,10751.32684698275,10925.202507027601,11076.101225788849,11231.82350537395,11365.8950916897,11632.68691380235,11766.46786572455,11946.727812775,12159.831105876849,12278.870980971149,12435.70630927365,12617.1791629467,12761.09315339835,12988.63446673315,13126.22325933815,13289.18009071865,13499.103282434498,13639.93751215055,13819.490811375,14006.025343900299,14208.825395279999,14507.09876218
1,870.52833053,1195.1901811506,1529.2545404999998,1821.2621655700002,2094.73436639,2342.6979370439003,2635.7030375513996,2899.9620343606002,3117.4364907496,3406.274427616,3646.1018817065,3909.8412389144,4081.5481420265,4361.247711341,4480.1054612199005,4738.6168491753,4998.0408979013,5204.0867330317005,5415.8069493082,5647.9458547543,5810.464935539399,6044.98735775,6196.0470993494,6437.4599316892,6695.1199320099995,6862.6142318996,7015.9442286199,7249.3634853997,7409.4910179014,7578.153947497,7783.1079785596,8006.9358095339,8144.2453913717,8324.6608409605,8525.0207401011,8691.721156671001,8825.3751462708,9027.3334558103,9287.5132681986,9365.5711985523,9529.7431643039,9801.2556391629,9925.6208158634,10143.5428606939,10346.4030651323,10485.559113535299,10667.6194291247,10808.966115819901,10981.067288549499,11131.40890772,11259.49547129,11473.0139775448,11710.7089829379,11842.2426217713,12011.3743145675,12200.2765309518,12340.016390439201,12468.8007464,12685.286731173,12795.3638298833,13042.758673585298,13171.460391780001,13341.53997636,13524.8872652173,13675.720234760001,13843.9352049406,14051.459870161,14227.90895522,14521.62628818
1.5,897.557196025,1225.3075540265,1559.257142495,1840.1409432171,2134.5450380284997,2372.86935111,2675.17348312315,2948.133389995,3189.56298805,3437.5337262035,3686.7259240249,3935.8236053640003,4132.284365906549,4395.4782921569,4543.4736328488,4799.1026906426005,5038.57588884755,5247.0801432827,5469.7240413658,5692.127498795,5828.454491048,6083.3128561871,6262.58502226125,6519.90980690975,6758.67251088175,6895.8964769504,7062.5886412459,7290.8750821808,7439.05663503005,7633.081793232001,7842.173689051099,8071.4256054672505,8209.07651182485,8396.6140056944,8632.204939696,8731.13052389325,8897.12066023465,9083.4919238285,9316.068999086,9432.497067512151,9604.46372440545,9860.74597540295,10006.9322726725,10174.208863991751,10406.977620693,10524.7925118434,10700.67093535435,10879.357016253449,11015.3877290814,11186.173710699351,11338.59896786425,11504.70951361685,11727.504176802,11879.6354013872,12066.75963403435,12232.169224722,12357.50085939655,12491.855356081851,12720.64367414875,12823.917692823501,13063.551823735,13190.62926075505,13374.199889385001,13531.64464753945,13687.68123935,13879.763495225001,14073.17053741555,14263.5021331941,14521.72371018
2,917.4123452599999,1253.3698621400001,1579.8068922,1863.7358190522,2161.4243469400003,2428.28895684,2690.814752382,2969.9886584612,3227.958483982,3447.966886722,3692.169230157,3956.55576896,4162.529513272,4427.5646655856,4591.5589250592,4834.5311756012,5083.6847995632,5279.0014533126,5504.2950134068,5733.339209019,5876.3860126042,6137.2476782428,6318.0774739506005,6550.8200269684,6784.7613966314,6915.1709466792,7116.9749233318,7329.8200047048,7505.6583311054,7668.1676042468,7908.416448568601,8112.4868557534,8224.6287377634,8449.5514252688,8660.2493055432,8776.9944049822,8951.9214328974,9121.9428138804,9342.1699242566,9489.8635217188,9651.2938850094,9885.9034273586,10024.797670648999,10205.3478291528,10458.8440147954,10541.7232554386,10729.3117499462,10892.298976138,11035.2246069608,11258.553784392001,11378.170198721999,11565.013101738,11740.5316687722,11905.8508136232,12085.527551745401,12269.6735933024,12385.3142109126,12542.30156678,12747.8435325496,12873.463053709998,13077.8087558076,13205.4446346524,13395.6272122856,13544.0263067538,13694.5635778774,13899.527947858001,14083.74790966,14290.27254844,14530.19380118
2.5,936.328898325,1264.908537275,1587.76130985,1876.2917672499998,2180.39246214675,2444.4815186275,2719.72279224575,2980.5344311,3238.638923575,3481.16834965525,3712.576648525,3966.52917590475,4201.335113263251,4451.1406555835,4622.0297685045,4889.6163980315,5106.514855169499,5298.21863090125,5521.89542731425,5757.6985380529995,5911.5664309015,6159.71852374225,6330.2067349515,6580.64639704575,6823.966658308749,6954.7401217057495,7132.70554244425,7351.3068100585,7546.40990408425,7685.7963700555,7935.38088033475,8126.231075803999,8249.092354596249,8464.563787604999,8685.364908661251,8814.267327766,8971.74457603325,9159.42442368975,9362.9467014035,9526.826759489999,9709.13279633025,9904.4553539885,10051.9347826005,10233.937035496001,10473.317557748751,10587.869500514,10752.421710972001,10921.65280249575,11054.792456170499,11301.06867432175,11403.28902801225,11588.5158235295,11758.073102412,11923.35943254275,12092.61795823,12295.10976231925,12437.641379755001,12569.39512518625,12771.9877922525,12889.5120714285,13102.271467555,13226.855450309751,13404.75712750825,13562.477094737,13713.0073264775,13919.55295678,14096.15966223,14300.94777318,14535.11147108
5,983.1452965000001,1323.6358253570002,1653.6358415500001,1953.5702446490002,2240.3088692105002,2505.155708569,2791.9484361500004,3079.3987909495,3352.177701767,3568.62115768,3809.427846123,4052.6431402,4320.166680229,4522.1538301165,4724.862314045,4958.605715373999,5201.5622627805,5447.4265967305,5629.496002736,5844.757435693,6042.411143415,6275.9065617805,6463.602862387,6652.5214905265,6912.587279492,7039.537861617,7245.6236683365005,7453.0343955565,7633.31311771,7803.536727852,8022.1476395265,8219.931921385001,8360.273563077,8592.138720237,8761.5797273335,8932.416734498001,9105.635109029,9291.082864594,9487.5242029405,9637.916513384,9815.055606131,9987.859348,10132.221592487002,10322.07417929,10549.4541543395,10671.387179076999,10830.640178641499,11032.107496307499,11153.8861251035,11373.621724499,11508.473177954,11684.8868324615,11830.220305413999,11995.9381184955,12164.6438562645,12359.309021437,12493.683682835,12632.7417033295,12841.9602715485,12955.64369408,13154.010778490001,13292.169277856001,13462.8603429475,13618.482030834999,13769.2640888785,13985.063453878502,14157.692405828,14342.414467030001,14549.75540418
10,1039.7258318,1373.1707381,1720.914540686,2025.413577206,2336.54385001,2592.469600214,2877.93615426,3155.8634149,3421.337083989,3661.487963134,3901.7584944,4162.327438943999,4415.61169051,4624.1274186890005,4855.223334587,5091.28115075,5304.8935737560005,5540.986265816,5760.515836019,5972.736746886,6170.960938143,6386.834637106,6577.6070101939995,6748.921306627,6995.612909279001,7154.50695479,7376.197745228001,7583.4493460250005,7772.790909554,7945.725426562,8162.837344398,8345.276972874,8498.054861352,8710.823416936,8847.671041144,9036.545463327,9247.405550307,9413.336708353,9565.184418883,9745.415371941,9938.98263689,10129.533787515998,10269.870574446,10434.299260846,10646.89603998,10756.809794016,10931.300241134999,11119.355028447,11274.841853026,11465.882351244001,11618.422869793,11785.316166075,11924.891276433,12094.132624547,12250.48739988,12450.193350964,12587.511366232,12738.282144841001,12911.712393948,13043.758698716,13219.77255098,13353.831053799,13537.942325648,13699.96418548,13848.37234078,14041.428950247,14203.06273598,14380.619441926,14580.51757918
25,1128.814389775,1481.95330625,1825.0514495,2156.6757233025,2456.656808255,2752.8082425850002,3039.0759271575,3313.8824493025,3569.8173407,3826.507548275,4099.264771079999,4344.5526968725,4589.194700225,4812.7465284274995,5059.890140525,5311.181907365,5505.540281427499,5746.7095214975,5943.650204655,6174.369016245,6384.404015657499,6591.6624494200005,6787.594718832501,6970.0170420125005,7185.6505364075,7382.894385517499,7596.3917529625,7795.0870112425,7972.25774042,8145.31116793,8355.518230385,8548.83894093,8716.873985885,8896.5907192625,9038.191473577499,9236.9856142925,9432.95910335,9597.0100355475,9774.810414975,9932.664750025,10127.814911465,10299.5886930425,10441.911663135,10624.13431517,10802.890039975,10929.532359925,11111.1595507325,11294.281450035,11460.8677880025,11639.2432043275,11769.4485245875,11944.7273776875,12082.92344533,12257.2857876575,12403.5579688925,12569.90474468,12719.059580457499,12868.311746635001,13038.058651495001,13171.76517168,13337.10148793,13483.94233156,13646.753388680001,13807.96838993,13956.648000605,14126.913111855,14274.3286177925,14435.82467168,14600.91677618
75,1299.36599475,1707.12499825,2100.6398587549998,2431.975485795,2795.6662601999997,3084.7653685124997,3403.70705463,3691.677463005,3963.230410965,4219.68902352,4508.038816465,4755.788515415,4988.802336934999,5230.425983195,5485.29220323,5760.04568401,5957.467310755001,6192.7121792575,6364.803702805,6618.2030686175,6818.0050103,7028.270438535001,7236.978398405,7435.02685809,7630.91673652,7842.2552541275,8051.5263878975,8241.7238872625,8414.744433939999,8606.9987580725,8787.2377941225,8965.21622695,9154.056696477499,9320.2113610175,9488.9989383325,9690.024039965,9873.30442646,10008.995607562501,10187.3737435325,10357.811969010001,10544.498113825,10691.4446958775,10853.290827832501,10995.164179455,11163.7655238175,11337.907272045,11502.706855022501,11641.824307737501,11807.371910885,11984.9833411225,12105.122699450001,12268.988953285001,12415.07874809,12571.06543163,12708.86414581,12877.7050820125,13021.063103260001,13142.1568338825,13303.338903655,13437.336365604999,13584.13362118,13737.027645865,13861.922481502499,14010.3028623375,14134.385941429999,14267.946336680001,14402.151073652502,14521.065597429999,14634.42108018
90,1378.4355760899998,1824.243435427,2227.370951946,2574.8899641,2933.37360175,3265.532962086,3589.226531021,3875.27268342,4138.872019465,4394.2063563599995,4672.718303497,4919.03097003,5186.354581454,5424.9528813,5680.205914906,5926.699018249,6155.998611237001,6382.194430632,6582.227823753,6801.684604833,7017.661151182,7235.975676723,7423.000199110001,7629.551380333,7845.4665404120005,8066.6885890329995,8241.590330129,8430.724759388,8621.168643193001,8792.279222455001,8970.170698079,9156.322981645,9338.973065034,9510.972550756,9679.942552175,9859.126296896,10033.999444935,10195.577192192999,10382.682957177,10535.496572164,10706.233555331999,10864.083830673,11026.208815513999,11176.647598528,11352.49019859,11497.682718336,11665.880703031,11799.031131788,11955.731325638,12143.87826915,12250.870930789,12408.440639018,12553.81459348,12720.803185532,12835.831841782001,13002.572633676,13138.905340186999,13269.111763216,13413.512347177999,13540.107331047999,13689.952124074,13810.939218543,13931.320419161,14090.64143928,14204.69628488,14319.152927309,14443.83248958,14555.07157798,14639.20763628
