,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350
Low,100.24011794500001,102.46077832143365,96.6131210788125,96.748047737704,94.28766788083334,90.72703927895715,89.295015314865,85.26891951159331,84.63789566444001,84.12255949032367,82.78727860028167,80.31154540228361,80.03324169294558,79.25045534296663,77.74307575703594,74.83311462085587,74.8347940763889,74.23059175768525,72.22106337841062,72.24887224490973,72.43883631759884,71.50849387888104,70.32788631981045,69.5817947803112,68.93534517254827,68.20925957009793,67.26865381299017,67.0998056505193,66.86960653657864,65.46394015352926,65.80663378618203,66.00462655733882,64.18389522098356,63.601274179497025,63.46185769814823,62.45400614396555,62.735876392835216,62.19728067651791,62.207651003414995,61.6686692975283,61.82162388701959,61.149863512192205,60.694889740420145,60.12633287510445,59.600900809334064,59.21401489557895,59.298866117469515,59.36687278591645,58.919681945814304,58.3599810118887,57.9948908624074,58.09130243945321,57.70851075794854,57.63494255448152,57.40915593690717,57.22856029353684,57.245817851545894,56.807690299250865,56.570466868152295,56.37061608271127,56.453234044141915,55.9809750605226,56.04715309237403,55.64661494631731,55.970877350706026,55.994246995311016,55.96703605414118,55.9999741956029,56.3688804689514
High,237.88305006999997,212.77625401833333,188.5358679965125,172.622639104952,163.84822921042885,153.27573880222363,143.90184636265624,136.74345220474433,130.63686345872,126.21248031823218,121.30905365210866,119.28791677084638,114.99300493369245,112.972073481868,108.4822550604125,107.63126650289847,104.32680101206527,102.19158962082065,99.54818559103299,97.6041486686893,95.97387643789725,94.43162215083859,92.47540235528271,90.787251143341,89.56411175153058,87.86852207953851,87.55887536218138,85.39793709991082,84.66232155347471,83.16603917451697,82.31343409087016,80.16387480749134,79.53920846344562,78.75633346194039,78.07279060706047,77.37049638416663,76.86759314957335,75.24384989191907,74.746425959665,74.07115908351021,72.88324590827423,72.74785191942524,71.78056273769087,71.24085122483281,70.30629725972344,70.12582346166661,69.2108899809533,68.40092477265841,67.82865645299239,67.40118799625806,66.80836749120812,66.06108120344155,65.83899305978777,64.94992998065206,64.72873213599938,64.11132771056076,63.22400173016068,63.19200860000452,62.60747977802003,62.063698438624996,61.61240384016714,60.9191391414168,60.63573293686404,59.93624798987081,59.5505645443476,59.14597737188957,58.56120778082539,57.97448632813916,57.0826774689514
Mean,166.1001436024719,151.29103863103742,141.69332827301804,132.71144484574796,126.33513409523427,120.4087959904248,115.6183810356705,111.91867263086301,107.85099458400364,104.88973828759192,102.21366632562221,99.74658504025416,97.24604687599482,95.31888246369509,93.4388798633817,91.56548692622879,89.84304165186387,88.42645622893986,86.64245559822847,85.07690429376031,84.03283879129306,82.84778886647145,81.49518214222864,80.2526561817534,79.30777590328927,78.39201426902052,77.38651375950862,76.17714085853159,75.74344837091905,74.67365753468967,73.86890959878806,73.10853535583382,72.1770530076101,71.66388461873439,71.08093912773873,70.30883377416303,69.82503081689264,69.07676825157479,68.42011722236688,67.94769235033449,67.41011258114781,66.90647302140343,66.37414655110034,65.86893608875351,65.26577905675877,64.84258141009215,64.41918743827122,63.90800798666927,63.63481795779472,63.13865580655444,62.66546694451812,62.172597246734426,61.88708423037191,61.52618147507505,61.146373739533274,60.77237278064146,60.44767506080079,60.0177487852668,59.78013241853367,59.44031011813483,59.08138138966933,58.7060340328543,58.47484600771998,58.14435495736568,57.90838093123149,57.626039035695705,57.3734015717743,57.09150245793648,56.83168795293066
