,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62,pd64,pd66,pd68,pd70
Low,356.621506875,457.6293565,552.4707948500001,626.55187125,706.935363275,785.7925223750001,840.4690994499999,917.519487025,970.606811125,1047.257535175,1106.8921900250002,1159.2527320749998,1234.967015825,1288.493119625,1361.858280375,1413.075253,1471.200725275,1538.18942145,1601.775645125,1645.6560554,1714.761641775,1766.344445,1810.211607275,1889.240879825,1944.011823,1996.89884555,2054.548030875,2122.885709825,2177.3894847750003,2243.5865580749996,2298.64261515,2367.997692,2475.708626
High,539.2083253999999,665.8619351499999,767.1869167,863.027741275,963.0988816,1032.9452104,1125.6010315,1194.9622355499998,1267.54238825,1337.584692825,1397.23160885,1485.487400725,1537.203934425,1607.90079685,1662.239261475,1724.7089812250001,1785.3052546249999,1829.269797125,1899.6060883,1941.9690684749999,1997.3139877499998,2051.296175375,2095.1612243500003,2151.14961675,2182.849831425,2231.1761716749998,2287.75697925,2318.73284915,2357.73958945,2397.8077200750004,2431.17535545,2458.525408,2475.708626
Mean,456.24696255599997,561.9605671439999,660.451311519,746.34707607,832.177926906,911.874597174,985.590700428,1055.7663335659997,1122.185957814,1192.474277005,1261.9756060719997,1328.448957742,1388.566932211,1455.098573204,1517.1514405500002,1572.5147276209998,1633.9771004650001,1693.919782283,1752.261128194,1801.9404726439998,1863.090693124,1914.162618969,1966.768224941,2022.182993789,2075.403677963,2127.696597403,2180.856634017,2229.539094487,2279.417186496,2331.715143055,2381.343175435,2427.17878112,2475.708626
