,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62,mpd64,mpd66,mpd68,mpd70
Low,140.01383034666665,148.23042064464244,155.11627430999977,156.30405558484847,159.04307490274712,160.437322935,161.17758628169912,162.78641182999954,162.93398581190516,164.17731304981882,163.90171422215417,164.15701441719594,165.54476109896538,165.47414224163276,165.96600488208583,166.11483328722178,166.98275043371308,167.58233479846203,167.48752681777003,167.70348375258968,168.00531535154605,168.23006259773953,168.36440323269383,168.4846882528282,168.8023475990567,168.67700686152568,169.03483768545073,169.23182506200595,169.6075564529617,169.75477631386366,169.95011282925407,170.133703707638,171.086957897308
High,188.269312666667,184.47831162142842,182.34595650444422,181.2593509333335,180.01339854395562,179.01714901458365,178.0875328614382,177.48767350078964,176.97151474783522,176.69585588894955,175.91090741769253,175.75190413214267,175.2867259416091,175.19591190383042,175.11583624545457,174.61037587476153,174.45467874594584,174.31181484794902,174.1774983170153,173.73496769836163,173.61950581130452,173.43486711467182,173.3707541114692,173.10427971108564,172.9568363800492,172.91070285139625,172.56679945698693,172.49204572288127,172.3076627953201,172.12275053658195,171.87829214244715,171.67245242350717,171.086957897308
Mean,170.89677620266664,171.02994667285716,171.15125012235552,171.11682924087881,171.07368325657143,171.21337554595,171.05606579223527,171.04378257410525,171.10319802321212,171.01392284899995,171.00304821937846,170.91526283668782,171.18211126067126,171.07318684913304,171.13599283506238,171.06215611977777,171.1689006481764,171.15619796524098,171.06848697422996,171.0146340883044,171.07993589597288,171.0972408558954,171.1002419196,171.15189508838762,171.06853873474216,171.04838710309738,171.08513301123773,171.10038124175253,171.0683691123437,171.0793540500476,171.1034772230275,171.0941363068481,171.08695789730794
