,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62,mntd64,mntd66,mntd68,mntd70
Low,66.79379818333334,65.731896525,63.878954545,61.475347924999966,57.95710297142858,57.430890768750004,55.009314325000034,54.2689697125,53.361333047727236,52.703704422916665,51.87955823076926,51.01703590714281,50.40782068666667,50.0502745828125,49.39357245,49.425621209722244,49.06465767236846,48.44184682,48.51131609642857,47.933607661363666,48.092911505434735,47.79156318229163,46.991884192,46.31077393269225,46.58779271574076,46.36850138749998,46.6240535784483,46.2703857408333,46.35309498709676,46.12941070625,46.03949882803025,46.40513573088234,47.9671462285714
High,162.858224366667,138.53783351875,124.01782406000001,115.60853030416635,107.57076071428557,99.201221378125,94.08147732500004,90.1376967375,85.7820876954545,83.15966647083337,81.01893783653841,77.94775838571431,75.096226215,73.050857965625,71.80939232352941,69.82327332916665,67.37404105263161,66.0564132525,65.206216597619,64.16528765454541,62.66126506739126,61.19727298229163,60.114052183,58.41495320865385,57.60408311944441,56.66370358571428,55.8609800155172,54.57728422750003,53.74124995161288,52.4943185109375,51.40951885075752,50.21130736617649,47.9671462285714
Mean,116.79486616599999,103.625312252,94.3727278862,87.87895697316667,82.38592558742856,78.32817592350001,74.25885504866665,71.9626610043,69.47793887809091,67.82163939933334,66.27252437223076,64.68468032814285,63.432655116199996,61.98520323975,60.72947547594117,59.63295294988889,58.568346186315786,57.74667835675,57.03279244685714,56.116031737818176,55.393983449739125,54.7038669155,53.82581189936,52.954127750807686,52.416388782259254,51.9052976135,51.38685583910345,50.69358451923333,50.140305717677414,49.556813753093756,48.99035480957575,48.44387412158823,47.96714622857141
