,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52
0.5,222.75454492499998,310.92906653,420.89216064500005,507.88600322,602.825142645,659.5227334900001,755.68263623,818.40697114,889.699401455,965.883337995,1027.283342925,1105.59094299,1173.055584255,1223.833998,1273.59184644,1359.54947268,1413.0750943399999,1471.592466825,1537.736681275,1593.1295123,1663.300657205,1716.2622025,1779.772643435,1854.151191125,1938.403005
1,234.86057216,343.39403331,434.94755921,523.8977376099999,618.84004456,687.71292369,762.12704815,843.44319465,909.9396611999999,984.08287319,1034.87671719,1119.0120437700002,1181.6099549300002,1237.47362377,1297.4465335,1366.92521281,1423.91616118,1485.4091103300002,1549.46294944,1610.97553123,1671.34745983,1727.04955296,1786.2095006200002,1867.92899429,1938.403005
1.5,237.45757318999998,349.16715238,439.602246275,536.2730482649999,621.5129618349999,698.143107095,771.6780155499999,855.26981559,918.149744675,994.59551405,1042.8089633999998,1128.92958401,1193.6620780849998,1255.57875691,1304.21030264,1370.0430659600001,1427.883028625,1492.9322961550001,1553.831983105,1616.31392384,1682.066260965,1734.62088712,1795.0754151899998,1871.2882653699999,1940.48496
2,241.54904632,356.30832612,450.45064837999996,544.10531474,623.99426478,707.9776954,776.35824844,863.2942752,924.07241964,1001.31624956,1048.27037296,1132.4423625,1197.5761184,1257.1520281,1312.15436798,1383.0807715199999,1439.13309592,1500.1925604799999,1564.36822174,1621.8962104599998,1687.12652196,1739.15180242,1800.84961382,1873.89925616,1940.48496
2.5,246.5938868,364.6420714,453.239972475,554.237453125,629.53242815,716.39866415,784.0448785750001,868.896917275,927.733505375,1005.77135,1052.62966895,1139.09525865,1205.0763046499999,1261.4248074000002,1316.7404192,1386.8026319,1446.705707975,1506.6797152,1567.276571175,1627.064333625,1690.296851025,1746.380960925,1804.8856879500001,1876.192573,1940.48496
5,263.86902,381.553073,468.85222375,571.9464669,649.7091821500001,737.5974296999999,805.47248625,891.06732885,950.2122602,1025.2226831,1078.8677324,1155.1423654,1226.89456365,1286.1474179,1342.06959435,1402.4162262500001,1468.3304943,1530.0912422,1584.3424446,1645.5688397,1710.1351951499998,1764.0092999,1822.7662550999999,1884.91996065,1958.735305
10,282.588369,401.24645360000005,495.5339167,590.8389201,669.6949771000001,755.9373946000001,835.6032893,907.8079344,981.9943829,1044.0643969,1103.9620466,1182.7712514,1252.6356796,1310.2789438,1365.0442317,1426.4150905,1492.8095966,1552.7490261,1605.6307527000001,1668.3282422,1728.7991192,1781.6890086,1839.640219,1899.5736464,1965.39034
25,309.870045,428.38526225,531.40315625,624.3209097499999,709.1098595,794.5715185,873.96348025,947.17680225,1020.433155,1088.8826795,1152.1215875,1221.5898735,1290.2673462500002,1352.15496225,1408.6536254999999,1470.646009,1527.42654525,1589.52639675,1643.22740175,1701.0157239999999,1760.56915075,1812.30100475,1869.303899,1923.9383710000002,1986.759969
75,360.469094,491.73293550000005,607.5230075000001,704.095167,794.657507,880.043885,961.6401715,1033.75309575,1109.25580675,1183.9102149999999,1248.4917974999998,1317.3094477500001,1382.7285615,1443.1106405,1495.7830529999999,1559.24434475,1608.7260425,1671.15846025,1718.8608442500001,1770.20134625,1826.12978025,1874.4350495,1919.37474725,1965.4997995,2006.877781
90,384.25158,521.2827088,634.1115417000001,737.8582569,826.4550349,916.8567519,997.5087995,1072.2311592,1145.5984894,1222.3465552,1286.5411346,1354.7987534,1418.6367786,1469.4529427,1535.7008584,1599.8937744,1644.1168926,1699.2690232,1751.6101002999999,1799.953663,1848.5187083,1897.358176,1935.7721139,1976.83882,2007.824886
97.5,391.0153776999999,545.072909,672.9093032999999,770.1765908499999,863.26925235,953.206203375,1036.21445165,1104.68919855,1190.641393175,1259.4424330250001,1321.9977643999998,1395.60239,1461.681260175,1515.853191625,1573.743133075,1634.2976786,1681.835836225,1735.961908325,1784.358497425,1828.06385495,1872.597969825,1916.414229975,1950.87628055,1986.151394875,2014.780938
98,396.274399,545.072909,674.5735845199999,776.00861786,868.21264148,958.1555453599999,1039.9572415,1113.3195534,1194.3873313,1263.67720776,1325.48659136,1399.97904018,1464.5492421000001,1524.97829968,1577.37858048,1646.28970284,1683.91271698,1738.88765948,1787.15875926,1831.2681836000002,1877.22272964,1921.4949909999998,1953.62190836,1987.6246042,2014.780938
98.5,396.274399,549.556889,682.4325333099999,782.21967446,875.04602097,965.129188715,1044.989416905,1118.43446353,1198.46478157,1272.80551917,1333.578298075,1407.464760015,1472.858210045,1532.21218221,1581.48059581,1648.342426495,1688.9478686100001,1746.916767595,1790.018633395,1832.967523045,1879.197893815,1924.570832355,1956.5675114800001,1988.094333305,2014.780938
99,396.274399,551.3778889999999,688.074732,788.88473715,881.2114473500001,976.5598636899999,1051.70987309,1123.53689764,1209.61410075,1279.53884494,1345.7143629299999,1419.4647777,1483.0819841599998,1542.42368286,1588.43816268,1651.83383772,1696.76771204,1751.1603432699999,1793.22104231,1838.44021773,1882.57255798,1926.49875651,1959.46952833,1989.3668601900001,2014.780938
99.5,396.274399,564.506484,694.006488,809.64625835,883.6414205049999,986.1954933500001,1060.24452465,1135.0538453450001,1220.3373563,1287.66344809,1369.7351027,1431.73251136,1488.3334746399998,1551.9265905500001,1597.115677035,1658.79051528,1704.14502471,1764.1466219400002,1799.532533005,1844.8480031400002,1891.80433283,1936.70635669,1963.92761575,1995.301108545,2014.780938
Median,335.293967,461.0593435,569.8722849999999,667.1535885000001,752.437658,838.9097575000001,917.478338,991.8693505,1063.926642,1138.8389025000001,1203.63796,1270.6061359999999,1335.148373,1398.246418,1452.6830665,1515.3389425,1569.1099125,1633.5397134999998,1682.9897775,1735.7493115,1795.060532,1845.447261,1897.250603,1947.4689265000002,1996.614771
Mean,333.808305851,459.55807409899995,567.669816476,664.4186544940001,751.2698135820001,836.7336112009999,916.648023646,990.773953089,1063.49726932,1135.694167119,1198.967368405,1269.4103474799997,1334.9982879860002,1395.124326496,1451.117264998,1514.0920424,1567.1810349300001,1628.9637554239998,1680.192266134,1734.2790381279997,1791.684057895,1841.7824394410002,1892.0762016969998,1942.7345083650002,1992.70837442
