,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455
0.5,189.21153054477736,206.2245803858975,209.66121969182817,221.30440144009967,216.3601040558074,223.37821039837732,221.2692838243146,226.51378952102857,226.67211176873388,228.27451841858633,229.55767831011477,228.99105234827056,230.70032760357668,232.07613709535192,232.94590752588223,232.11786825716493,233.76403948113912,234.71087531380186,234.35130787053006,237.1027830062917,237.64288186065494,236.48533749745948,237.6386307955877,236.66459169697382,239.72019730368575,238.4221217851573,239.38171866451245,240.86180986851176,240.0617283091326,239.56239607534707,242.154415235361,240.48907160448343,241.36839471038977,242.57927879970345,244.75326786063636,242.06522671624842,243.0934463733681,243.83059931866464,242.7936031190596,244.15861715171502,245.89693244968095,244.98832969925672,244.9943543565129,245.73963194923857,247.79924980590272,245.90221519909494,245.5328372111233,247.25893086853722,246.59570888406495,247.8556771916033,249.2182639630956,248.58705315926332,248.22477698527607,248.43741705334202,249.42893585144824,249.82623277109866,248.75582611127504,248.56699498425368,250.37661635455422,251.40250164323547,251.37053718892935,251.20287013768527,251.23726976797718,251.5767834727815,252.59126837982467,251.9568964008791,252.0470428656868,252.73335623627204,251.51728722294783,253.15597791059974,252.87156095312486,253.57318039397276,253.57312268354076,253.93037318915887,253.98403680490648,254.11589418167043,254.7851704826892,254.97583874547877,255.48160178029858,255.48155885027765,255.85808681642126,256.5478822002639,256.7189351859069,256.73831011093785,258.247736236357,257.93118741219024,258.14509643699085,258.02534634052995,259.45058510683697,260.94664802791925
1,198.19434423577732,207.51378325028548,217.61718100790776,222.25056898976501,221.39284678053374,227.51085347605627,226.76954990878153,228.3818781666008,230.5255186793198,230.11587860198003,232.06060128071627,231.83791853313164,231.67409379727002,234.51714709017588,234.73082879705268,234.66274474122943,235.38061953656194,235.59788221614568,236.47184975810126,238.5348563152975,239.78021807705284,237.76658842434128,239.22330547316892,239.69188003839588,241.05037716406076,239.81650460817073,241.17393541864797,242.5297082852918,242.2425544437937,241.7786279739082,244.15280717159695,241.30959707578972,242.8060172244715,244.32274455607734,245.85574089485937,244.68365156927126,245.53842729696095,245.09196196111543,243.80084737119017,246.7095342961433,247.13922823236663,246.18614228196333,246.85581206329593,246.93761825349083,248.34534213951628,248.4414446387883,247.0608655343483,248.7000687931407,248.87931464641545,248.3557018896974,250.12317743048442,249.8073057836565,249.37175884761763,250.30841594507928,251.10781013147658,251.49063808666227,249.93309528670554,250.06332649262058,251.5166705227726,252.18895189916972,252.61591145553462,252.51777583970707,252.25974033273525,252.38376217961053,253.1589962245346,252.88985307944623,253.58293201929558,253.09623377316683,252.63730651215153,253.99766028830751,253.95340514324786,254.58182621603288,254.46903893925455,254.44213037249324,254.91065648207467,254.85443731229785,255.53081717401602,255.95046364729504,256.1235111021108,256.36590784393064,256.4161736255981,257.42666578843875,256.9235442461198,257.12799379965526,258.5396527371461,258.23209479945234,259.3938033925786,259.3903561491667,259.5109657048842,260.9711268235516
1.5,201.35661417566632,212.3126365326477,218.63552003744704,223.16733827276238,223.8835846004175,228.05462642778986,228.35837700610767,230.05504474460483,231.5749789360145,231.14826327280622,232.8690199941474,232.86425267029506,233.07048126397615,235.20815127661953,236.38008780219977,235.06544666134909,236.39517016038474,237.8813561558942,237.16589182859707,239.756132350801,240.30793201316857,240.31373634932555,239.8511053077377,240.80715251064916,241.88156855129392,241.31784832443284,242.51972199429352,243.28190565496087,243.16800721389848,244.17097702509128,245.52338959916082,242.66965650073644,244.55582409029037,245.19760545391043,246.59383084777167,245.98076228067333,247.3816022206023,246.22840509828657,245.2984078074964,247.56166585438964,248.10346158607436,247.36277071849756,248.4049694146036,248.02939572632005,249.67253235208275,249.1188515643401,248.04560904833218,250.16242202470784,249.35412480260263,248.79285362894353,250.86985273534856,250.7090644060709,250.48453153352082,251.3257974087051,251.66927114963323,251.87115080441816,251.30958657331567,251.72411635223435,252.1788529704233,253.02551668149925,253.19821293310142,253.00440459809684,252.8337309009063,253.13633588068924,254.18673430307055,253.40942187300593,254.26827107880794,254.07386070638398,253.32462820625764,254.2750341689441,254.59207930806295,255.0568932928987,255.04919328591563,255.04342973235032,255.4154274130918,255.18828562494932,255.92113699336696,256.2997374333988,256.84187630056886,257.21031741358826,256.88969835260554,257.7300964385305,257.1157399196153,257.6760508807422,258.6746691543068,258.37042151794446,259.52489757373786,259.5710028320424,259.57518166374416,260.9953313778744
2,205.84836294533335,215.5170040109025,220.20398258505233,224.65009313840034,225.60658902178832,228.95753788349847,229.15163332807663,230.76099824015512,232.43597047744882,233.13615916959228,234.03899482869215,234.09590147359046,235.5131254925526,236.1860799674821,236.6524481865008,236.2577515517967,237.37431826586362,238.70422522996478,237.9890651763326,241.12060444947474,241.48466529624923,241.7047874900743,240.97417046828537,242.17151607713456,242.92969749777993,242.4833512715477,243.12820713337229,244.63530185494963,243.79584523802416,244.57194738964643,246.356056426169,243.96927779205635,245.5791775953371,245.88200254955487,247.96339297350582,246.6980085748567,248.15829396542193,247.66014644054553,246.38435089364916,248.14743177897762,248.86160681384743,248.41663618382177,249.20570140844825,248.85215977810302,250.0654970090013,249.7177789528514,248.64709658868733,250.57841015308267,249.77503547449328,249.80139232335935,252.00940958854878,251.7546842212126,251.40930612987972,251.84896228505008,251.95385370368538,252.5101011002047,252.07306167868967,252.37342310939138,252.4743349037839,253.18175264357296,253.4345106412257,253.3398772344859,253.65777334377532,253.44198909321358,254.4483665928307,253.91567903966825,254.42782433434448,254.89843462715723,253.82188723334534,254.78472886807296,255.2268328130152,255.50072029798483,255.47703547897962,255.78050222349046,255.98026487864504,255.54498888682394,256.55382356618486,256.5929823679647,257.28928767107493,257.6680376504314,257.21235319411204,257.91366418665865,257.4662843612767,258.2048055756035,258.9201812577786,258.477713666331,259.761309000801,259.69633123549244,259.7401221157641,261.0100677955007
2.5,207.96170096177235,217.37113529327596,221.6282781784793,225.394315987167,227.65184818567263,229.39101037706263,230.06632562850046,231.10684209318143,232.90115772979945,233.57637572214364,234.99054621341156,235.09657663349023,236.10363925698513,236.6824312296606,237.14989019670554,237.74164961749526,238.22587232541701,240.1106377496028,239.01775022597354,241.89682997597586,242.83718073171218,243.18619553105137,242.17308601235243,242.97208587655166,244.19566268191414,243.67036220153506,244.61011298544244,245.02588615093285,244.73589443692265,245.0999175853637,247.11371233366765,244.46353371700067,246.23996706385407,246.7876440574179,248.76728753069037,247.59750913055566,248.60299082603814,248.6279265041551,247.13097875421303,248.37453719271397,249.32887004437356,249.0674979274132,250.45908393326135,249.61026103309763,250.79412485123976,249.9914955257608,249.0590372094272,250.97765595717183,250.31738674118108,250.63786588446388,252.147168717018,252.49239041540045,251.99876597966792,252.1333109737017,252.5960139849981,252.89831259561922,252.50428348339062,252.87485701374933,253.153151252221,253.26716716586455,253.93747308619564,253.7627694734962,254.11801382940766,254.11480334474044,255.26808701935283,254.16291678915164,254.63520797634658,254.9875419773029,254.82493620761431,254.98077101357222,255.48868001731424,255.70441330117737,255.80165622637367,255.96229837833454,256.1397301784576,256.24489616891265,256.83441749674495,257.0296188211489,257.4545357210896,257.79203758201817,257.50031400227414,258.14340758910726,257.73466353433247,258.40514262397545,259.0905455534099,258.6720956449285,259.80046680821914,259.7852666227102,259.8632618871192,261.03486297150107
5,218.9810666788894,223.18720010000015,226.35070484684232,229.206581476533,231.09974827770097,232.41356417915966,233.43482460219613,234.48040956041388,235.6193604693751,236.2293800903827,237.43602874437,237.35342384872175,239.59521485293664,239.41992814640702,240.440993747043,241.8696106389074,241.9577587847688,242.98700512479596,242.19124245884845,244.36087047669506,244.9332983351785,245.21828840253738,245.9544055552877,246.40730835039105,246.36022668067045,247.01159980514166,247.01222717652826,247.80939338522683,248.0289464170899,248.33204324185272,248.91757819167563,247.34499800087784,248.4537855096407,249.40867820691244,250.5841505974955,249.6765264672549,250.232802631634,250.23708297938285,250.00986266611514,250.73963670304587,251.5072702959973,251.85713043802835,252.1502683825091,251.33746238298122,252.17788866413244,252.0838719710224,251.5584829589624,252.37796343347995,252.21044831333114,253.01289868036287,253.60055872993289,253.84806305160996,254.05765007656436,253.75706180919295,254.22403974276037,254.26947619858885,253.881753025317,254.49130132071195,254.96056313822515,254.46485405598867,255.1604309521912,255.49117269753125,255.6758151682042,255.22066898893257,256.4967075743395,255.6754631393246,255.82304496241065,255.98575893484954,256.4101551697622,256.3816408931784,256.8329622442896,257.0602032946923,257.10554950218653,256.83788125335667,257.3596093841488,257.37444572865974,257.80215345027074,258.077781697747,258.251323554975,258.46385210877713,258.27371259986023,258.94350274854924,258.8599387363886,258.94129463199897,260.0197152130433,259.7706356216097,260.07501652544056,260.9423586380807,261.13024384174304,261.11916618996304
10,225.3487635844443,228.6175710785523,230.6866417694738,232.6649719500683,235.4294584532607,235.71884645233342,237.1646403840074,237.9050409399362,238.8725496821183,239.77695407389,240.9258695150749,241.62910481399268,244.0479515042132,243.5477922188325,245.52830089034802,246.394359032902,246.8103158728354,246.3160046618624,245.7972528119955,247.6138567348925,248.2833901596703,249.5733126387382,248.86545312724562,249.4423550459223,249.7538316140665,250.6886063316172,250.3762661575249,249.8829442065287,251.242409972852,251.214561406751,251.780048772561,250.4192391015654,252.1146803474484,252.12165019744302,253.1702077696192,253.126383706428,252.6787100104959,252.7985019826294,252.9123335601935,253.4424153772812,253.8099811873159,253.9769284049358,254.29526956320728,254.0799795520509,254.307219837046,254.3986214622021,254.2122437122116,254.8542175135079,253.9575004580247,255.3254948676432,255.56998327336171,256.02699098862337,256.1276646556716,255.663593024215,256.2775650243416,255.7908204608421,255.9315989710497,256.0510776784111,256.6892364815039,256.4226451098997,256.9688018430856,257.17114221380234,257.3146970344787,257.4028037987159,257.5069785543148,257.100834142055,257.4404652428114,257.5990851255503,258.0632483412925,258.0404393930463,258.3101804080403,258.1087695538834,258.4194406575649,258.4871830104556,258.6389530050773,258.6454582347064,259.1060334723533,259.13596697743264,259.545036771751,259.7294694221173,259.4665870041529,259.5271341413926,259.69344510670834,260.23274708888425,260.5021545477814,260.2792805227904,260.6156448318867,261.35460964601333,261.3204755429743,262.55817696031306
25,235.89666183333375,236.9879947365715,239.31712695368424,239.89861405708,241.98387286565497,242.96705016949574,244.415575537844,248.66137564637125,247.6926655484315,250.716284406135,249.91245642923724,250.93840653499524,251.749998219589,250.722572681989,253.08932095319224,253.36608196376199,254.77679070157325,254.584265855716,253.119829182325,254.431655997782,253.986333689697,255.65071059374452,255.43736565586852,254.71669446739824,256.37096921355476,255.6374793598055,255.947030855606,255.96170994552827,256.22032965677397,255.96025891585026,257.128843414312,256.6472646235782,257.1075145852842,256.8464417910608,257.482901991693,257.40381770208603,257.340164665055,257.77721914877753,257.3907179066735,257.6186914636497,257.9496234643205,257.517083316673,258.5096705674947,258.18401416767676,258.7086854758002,258.18955159530174,258.3977033597238,258.14854896546774,258.55570416410626,258.6325494919225,259.23661314911175,259.3317020698577,259.3173355244393,258.8394736570605,259.36141880744276,259.1255879252655,259.24366781823574,259.1886190023995,259.6540325344925,259.17252194656453,259.89116125530825,259.675463252487,259.9968457550885,259.8637333065925,259.9939368719688,259.94607930673624,260.113383542575,260.11945371124375,260.5097708429653,260.11893857054923,260.4630164533015,260.32369869130173,260.6548617722818,260.4513515975225,260.714808027066,260.69643287540924,261.129147739693,260.78412324975625,261.193846928271,261.44090807022275,261.20732121515124,261.289399676561,261.2666531537045,261.2624694354238,261.951442648947,261.8216903376668,261.824259268914,261.74073233919427,262.71007475203373,262.6746178405448
75,299.04228028888923,291.156849804762,283.1011732276315,277.5437384956965,274.10030565400524,281.7416438145375,279.15003560313426,275.489220884106,273.378029343212,274.13460447406396,274.9747552741085,273.675172634226,273.4831941462715,272.8313063536685,271.669883411715,270.70977861869,272.2303022503665,271.8458875722753,270.51988730203226,271.09425384180827,269.8586260177143,270.078243534393,269.16572775412874,269.7923753600518,269.40357662561627,268.9960532684032,268.48555859578175,269.1936348476825,269.1595769509685,268.7220628517035,268.91292323750474,268.6861281780617,267.92592306590575,268.3340573958475,267.8304297536532,267.84089939391373,267.3430352355192,268.137785552486,267.5263531001215,267.4895364296533,267.881888980261,267.5808007540418,267.557043161657,267.4193579553353,267.6193760349035,266.7512815176907,266.87258193983547,267.11922356818326,266.984839186614,266.6484156240595,266.42500543006724,266.78398440349326,266.29253544902247,266.1367280384618,266.79626673714375,266.4113868255985,265.5822311272083,265.83322869309427,265.8907891499488,265.604848786324,265.9206260698985,265.7128715022287,265.91936001512374,265.78312914143675,265.37740541791254,265.18184295657426,265.5391322634245,265.283411122323,265.29151081621103,265.21345413296524,265.0378321381152,264.856684975832,265.1116406928368,264.857900562808,264.8618058124023,264.739452165435,264.6732932380863,264.361054714984,264.431138843515,264.28954473072076,264.181425683518,264.11591825372324,264.3222255263062,264.1512393200205,264.08591182378626,263.90724244224754,263.65570870834074,263.41369676007224,263.18020556807227,262.895407979399
90,326.8514333199997,301.5690508551125,311.6923882129002,303.616951514613,295.6131024529424,290.7244361193698,293.1519231249045,290.7815227776287,287.7028071737498,285.6283308977374,286.1524093499265,283.95443441341945,283.8714073298555,282.1938999416604,281.62004330762795,280.4324476497126,280.01578178100783,280.5090223214393,278.89892167056865,278.2732684582564,276.3414760412485,276.72873026654065,275.91402259979753,276.1364431745389,276.2674731178793,275.16479181084696,274.5231354834995,274.4685607038739,274.7082580803234,273.8258970218617,274.134742620662,273.6937000895911,273.8748307495402,273.3266448328922,273.109682688593,272.9949757496363,272.3356436352526,272.5434355423702,271.89540653904737,272.1107761418683,271.924412461948,271.71462581426783,271.3216522066984,271.2687643750862,270.8936926461173,271.0215471498987,270.7075098405409,270.5873771638702,270.0427691185157,269.804366933217,269.33749470574764,270.1526808148145,269.3647873636916,269.2458663669741,269.3369381273746,269.2036286309849,268.808038869307,268.6829610077255,268.5685346191192,268.36637352240814,268.4446195441874,268.11058354946823,268.1499600550639,268.0135964941754,267.68385789349077,267.6706994878998,267.5306643286932,267.2549364817866,267.11453093407937,267.0207945168932,266.915670159061,266.6892779307563,266.6946066311333,266.4235984800157,266.2236657078017,266.0962307127038,266.11683368046283,265.8479952346068,265.8941015169167,265.5908146322845,265.403260507632,265.2724789016268,265.0219972248838,264.7270572038699,264.4309267127069,264.21729398079907,263.9325190941081,263.6540821233698,263.3327391621675,262.9911849074702
