,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600
Low,28.129856225,28.370523599999967,25.38941498375,23.747434325,23.8902638233333,22.51570291785716,21.68535505125,19.966545441111133,20.011334055,19.12523942227271,18.500609018749966,18.306774413076944,17.483811165000045,17.208637562999968,16.97437137,16.407957518823515,16.076654052500007,15.788997737105278,15.63381694325,15.091323021428607,14.58319356363632,14.496119568695644,14.3308512841667,14.0012981268,13.908582428269268,13.573639447222256,13.43717773964287,13.236302936551677,12.956562785833366,12.994829177419314,12.90423570515625,12.590731013787867,12.455922751470583,12.248009010285687,12.175974095138876,12.028500487432442,11.851764304736854,11.833388019871785,11.635699634375,11.630526650000032,11.537569219642835,11.419309409069765,11.306108833295479,11.206589229000043,11.133451355108695,11.079257711170223,10.9343206011458,10.893757608571397,10.8510355163,10.713199011372504,10.650538520769276,10.610077541415121,10.505990363240727,10.487075136000028,10.37964746848213,10.27436460350877,10.253662092327536,10.254680523050874,10.1571890411667,10.139900630245895,10.027341470161293,9.98535290650794,9.903440634843749,9.913844425538457,9.83202603143939,9.763614458507462,9.765905831029412,9.66640454942029,9.6110668035,9.608826233661972,9.543149205833332,9.507040877739723,9.484241925270265,9.411377083399994,9.427641485723681,9.328680074025968,9.286877714038457,9.273874711518987,9.261431101625,9.241801643641974,9.142772153048774,9.11535455566265,9.091900842261898,9.033276103411765,9.043077023604644,9.002529174482763,8.986499501931812,8.963764064831459,8.911497755944444,8.838899194560437,8.844957536630432,8.808539508118278,8.808616266329787,8.748356190842108,8.743917903489587,8.703431935567005,8.661763552397954,8.656036139949496,8.6054294342,8.623855271881189,8.556038446323527,8.560074285097082,8.520718820721148,8.505021427380955,8.477964535188674,8.477448460093456,8.452619377500001,8.412831296376151,8.419225804818183,8.387461674729728,8.358238172991069,8.345105232345126,8.318585102368418,8.269115734043481,8.306836363146552,8.27377782358974,8.263188769872878,8.261708235714286,8.242933450083328
High,81.35698870499999,66.73178554500001,57.77756967749999,50.477924169999994,44.51778050333336,40.699761620714284,37.113192231250004,34.92209651000003,32.8738299965,30.597534929545436,29.167534989999968,28.10218883692309,26.54462659321427,25.638257677,24.684066835,23.63724378294119,22.670015833888908,21.99983403710531,21.308028774500002,21.096008999285715,20.333683222954562,19.509260704130416,19.089372425625033,18.6656472048,18.383810931923083,17.9163742518519,17.517279267678543,17.223738480000044,16.926650873333365,16.59050024258063,16.36676213453125,15.940926235909055,15.772485077794112,15.464536773714313,15.204083640277736,15.049625985405363,14.92529030263162,14.63949186961537,14.458402531625,14.342592975487799,14.113894101190448,13.938249932558092,13.849194271363656,13.620014107333333,13.413679050217432,13.325551402872296,13.196996340000032,13.103316644693848,12.949006864100001,12.758870858627427,12.672570765865391,12.656201108773557,12.500544580555513,12.460223992181863,12.262451468214314,12.181236168508761,12.106713044655185,11.992569159406802,11.807032717499968,11.783901002540969,11.717871528709704,11.655894901825416,11.526990342421875,11.437322964153838,11.345058118939361,11.271211189552217,11.249851436691147,11.158359717898561,11.095095855357158,11.036462579084475,10.9047322777778,10.855303885547933,10.800708840675716,10.7413813667333,10.668119895131573,10.55876397746756,10.538298671217964,10.536273780189841,10.4310742908125,10.309488171172847,10.312115865792675,10.196027896747,10.22749622309519,10.11242577905883,10.046264672034859,10.038732877528727,9.964436109602271,9.883513401011232,9.910626510166663,9.805745474340656,9.772111307282612,9.718971273010753,9.684700659574466,9.632448117526316,9.554324398854167,9.534808034226803,9.495355840663258,9.429755052575759,9.3925728485,9.3496032300495,9.304735243382353,9.253444186553397,9.229603179182693,9.171026075380954,9.139363556367925,9.098584075934577,9.058975072962962,9.031502605321096,9.003333169545458,8.942073249324322,8.903813967812496,8.860323871415927,8.820305346403503,8.796489015391302,8.776061180431029,8.708381949401712,8.678981227881359,8.622309497899158,8.602990499458327
Mean,54.1182687705,45.55125752773334,40.770347154999996,36.88685036676,33.907077946899996,31.45983670271428,29.425078834750003,27.66072012622222,26.4183138969,25.025830359581814,23.925507050400004,23.035632615430767,22.070983410171426,21.37624786208,20.726463668650002,19.96227217915294,19.3938246477,18.915566089336842,18.460707420619997,17.853868186676188,17.452440153881817,17.037775361886954,16.66610518428333,16.419356135711997,16.055536068338462,15.781309801496294,15.471610980457143,15.211617092413789,14.978323207713332,14.746163249038707,14.55476293614375,14.260550668272725,14.056460863911765,13.884226342777144,13.666870725833334,13.539890429918916,13.41349650645263,13.1840551641641,13.079056743415,12.91888390919024,12.818372090828568,12.656380603558137,12.536047065936364,12.394932956075554,12.25730393347391,12.198204373685105,12.063210573037498,11.963429836065306,11.869821541428001,11.735628560717643,11.643803268265385,11.590373745215091,11.498827940007404,11.428309908192729,11.304018710825,11.21858889524912,11.162037695662068,11.091077118311864,11.013419829803333,10.951870420127864,10.856485277293547,10.794781770142855,10.7278696972,10.667460813609232,10.58259633113636,10.521276870999996,10.480822116258823,10.415132369385505,10.34157624956,10.309822824121126,10.222460203944443,10.186200055309586,10.126787859159457,10.066721550845333,10.040632901928946,9.956164672979218,9.922099733033331,9.88058118801772,9.8340050631275,9.782027651004936,9.72500005221951,9.683421868812045,9.647651713619045,9.60617107991294,9.560663526216276,9.49994604189655,9.467870697736362,9.426114118008988,9.398563241864444,9.339767319248349,9.319195302943477,9.271466968793545,9.24648641489787,9.195866707823155,9.162195321110415,9.118075300573192,9.096803991928569,9.055937081456564,9.01225302217,8.98660152630297,8.956543287760782,8.912180275809707,8.89653392957692,8.856133931487618,8.819673352252828,8.796683950121492,8.772544676199999,8.735986918354127,8.707499657492724,8.679858364657655,8.641156958703569,8.61667766596637,8.59177226996842,8.567786906885216,8.548714780970688,8.511427266360682,8.484235408408473,8.456341974042013,8.431661311293333
