,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600
Low,76.4037292444444,79.1103675214286,84.52150173223684,87.22925798866666,87.1755196756322,88.31159308436979,88.95268954282052,90.30627128257575,90.42826987610202,91.48604964181818,92.21319125163846,92.43549443105772,92.36465501670811,93.44001059839638,93.39908301111551,93.91119506960783,94.41783759393257,93.89210815097424,94.41476193884345,94.4308215892857,94.73060975665973,94.87262336260866,95.02705343986698,95.52355066623225,95.21426870556947,95.43254438986177,95.42392468835048,95.74619291289268,95.60505661853244,95.92484029375369,96.35283621471505,95.77820464724682,96.20318603620088,96.16239161971752,95.92064016032438,96.3717540645887,96.4296975129045,96.59253864994189,96.71613196205023,96.64277827741267,96.67513166825354,96.63443105658335,96.82309683290994,97.26509564443653,97.11775020451586,97.09483630759233,97.16869609690117,97.27846309666614,97.29516592307789,97.19841200633007,97.23755617722233,97.41925503180106,97.71584721453122,97.47703341670865,97.5990912030568,97.59917110963302,97.70400964043846,97.6297948402744,97.86912500510871,97.71636181886434,98.0629666452594,97.94703415079262,97.99717856036344,98.00326006816243,98.0222886571332,98.12214931571634,98.20746016263922,98.09303028717389,98.15218211828939,98.20238411111487,98.23558618465066,98.26521372769537,98.11132167198605,98.42157523212761,98.33496259006141,98.42814670693181,98.38852874283701,98.29508353254388,98.53077063117607,98.56270540733591,98.59745542184749,98.65249418358248,98.7289748278887,98.68652148373033,98.61984427346368,98.6445745526437,98.70430183870984,98.80738569974844,98.75177684196308,98.88312795069372,98.84992700435403,98.75337710738738,98.96707549115705,98.99945393008083,99.02794254595558,99.04712534421272,98.97945714745501,99.08318414195521,99.14163311419235,99.10593836806969,99.11799117791668,99.13882896651695,99.20419256584997,99.24760226307012,99.31867139971001,99.34791629288564,99.32467030650866,99.39617101105671,99.46196551211494,99.44451546058218,99.3985352644336,99.50418379435924,99.5807721047869,99.56731633277562,99.65758214572449,99.66087206311501,99.69861782681768,99.73376685104182,99.80249915430925
High,116.23971533777745,113.13612665190523,111.43594552776321,110.68755787716667,109.55873958385061,109.11047788210111,108.0370500569228,108.40346438787924,107.63246691083698,107.50180298670043,107.20581136135607,106.69727751387042,106.25491310763942,106.42901196511717,106.28126726795932,105.85247611848705,105.77654556028705,105.528370835554,105.18872272846957,105.7755924440014,105.19437917741855,105.06539894670445,104.82254155229687,104.65112018711635,104.95134417797284,104.67618018546118,104.53799510911585,104.13009753499082,104.67835407984377,104.3281680647464,104.3608648135473,104.11724068529524,104.20492099479779,104.0098571052155,104.0982084883708,103.86449019571047,103.74466383393727,103.7286235041056,103.80371742638971,103.82395451282642,103.60391801153891,103.68576685625918,103.4323056727654,103.48140985813893,103.41282774914806,103.40135439166237,103.44988898522267,103.30720461086342,103.30029293133815,103.0360548110932,103.286858310424,103.05824368905122,103.075656937221,103.0310594504462,103.10347464451942,103.17191162831527,102.97588689751164,102.88403482548577,102.83321799146283,102.76664314891266,102.9124621957509,102.7259105506341,102.55003535059382,102.79606882409543,102.60803067371577,102.65825936408055,102.50013926015258,102.41250950304354,102.52598103722367,102.51845759615435,102.40011554832712,102.22130279021455,102.2332765836504,102.33499659756104,102.28949503285722,102.34210854645045,102.24207664857175,102.3111513943781,102.1055686671294,102.02596098562304,102.03254379808705,102.19008412333159,102.0727900335974,102.00792056992952,102.13889019049735,101.94239238300929,101.83646139241317,102.03795621582964,101.84916765630967,101.89524727093,101.77187031645055,101.76952492564625,101.83965890292666,101.73045919861048,101.73178866387553,101.65400282735477,101.62172230216039,101.5984014723258,101.52562055487797,101.57706668507744,101.68288239311869,101.56140586938612,101.51825899675897,101.53831700578543,101.41263707404717,101.33943773041467,101.3463829501019,101.3453650643491,101.3232697602337,101.32573961039344,101.22487442017186,101.16294003539075,101.22946942861073,101.17640186716255,101.0831977830768,101.07215124951013,101.0987135832597,100.96388197312021,100.9078033547911
Mean,100.50092358262224,100.00362054588572,100.87445530415262,100.65923652756,100.45911520947585,100.36883933433613,100.3510469252359,100.3572601971596,100.38777192534775,100.38505691811584,100.4291750498192,100.53277071890673,100.17497301884056,100.32891741464432,100.23878159327246,100.17363401307675,100.53537264566941,100.39196378824502,100.23829696922971,100.2767299708795,100.33427667708072,100.38639666288452,100.40307187123851,100.4321712928529,100.37966139075122,100.33532918168912,100.28413023649013,100.29058898141379,100.4238827091098,100.41477150366786,100.42864056917502,100.30539042247317,100.45822285850608,100.24228959494096,100.33679877222056,100.32560622834124,100.36956233211644,100.31139195866857,100.4138373518059,100.41492696096337,100.39706196719271,100.26579015308873,100.38050258595742,100.46006663652055,100.40628724395724,100.34850530795579,100.38492502242663,100.36851297824406,100.34519022383324,100.32718281356728,100.42022884071048,100.43244627366943,100.4463627617424,100.32090937436051,100.32714456491239,100.41031546121103,100.40989205206465,100.39662172391743,100.403529276556,100.37436779547785,100.47551594665889,100.39311546367753,100.34582580955896,100.40208334608825,100.34052664568938,100.38780125416343,100.38349514346744,100.36158273742556,100.31998037355704,100.38459363705607,100.32871073584721,100.32997479079096,100.34356006068492,100.40679332307296,100.37059157490225,100.38890094304512,100.38017940221576,100.36726013297135,100.37811357646456,100.36974661948513,100.32470592967546,100.40445635655716,100.40153717944727,100.34332980503955,100.40488828771268,100.35850571888636,100.39025325161064,100.41720944217892,100.31451853977744,100.374338986818,100.35793754900457,100.36591230425417,100.39632230014496,100.37043777904601,100.35434379620067,100.32143293809789,100.35703998542779,100.3581142143835,100.33689882613706,100.34273749837854,100.39120857972117,100.36579753396582,100.3720420104693,100.38136488052632,100.38640929111499,100.37030368048205,100.36119838438444,100.36649342670022,100.374616109739,100.36775240222667,100.3637498187368,100.36470934473805,100.38682212058184,100.37416967534797,100.36049640198078,100.3881353423408,100.37476646064036,100.36321443403003,100.36909626788385
