"","names"
"1","Anser_caerulescens"
"2","Anser_rossii"
"3","Artemisiospiza_belli"
"4","Artemisiospiza_nevadensis"
"5","Leiothlypis_celata"
"6","Leiothlypis_luciae"
"7","Leiothlypis_ruficapilla"
"8","Leiothlypis_virginiae"
"9","Mareca_americana"
"10","Melanitta_americana"
"11","Psittacara_erythrogenys"
"12","Corthylio_calendula"
"13","Spatula_cyanoptera"
"14","Spatula_discors"
"15","Troglodytes_pacificus"
"16","Ardenna_carneipes"
"17","Ardenna_grisea"
"18","Spatula_clypeata"
"19","Urile_pelagicus"
"20","Charadrius_nivosus"
"21","Circus_hudsonius"
"22","Colaptes_chrysoides"
"23","Dendragapus_fuliginosus"
"24","Dryobates_nuttallii"
"25","Dryobates_pubescens"
"26","Hydrobates_furcatus"
"27","Hydrobates_homochroa"
"28","Hydrobates_melania"
"29","Hydrobates_microsoma"
"30","Mareca_penelope"
"31","Haemorhous_cassinii"
"32","Haemorhous_purpureus"
"33","Larus_livens"
"34","Mareca_strepera"
"35","Nannopterum_auritum"
"36","Psiloscops_flammeolus"
"37","Rallus_obsoletus"
"38","Synthliboramphus_scrippsi"
"39","Calidris_virgata"
"40","Melanitta_deglandi"
"41","Urile_penicillatus"
"42","Ardenna_bulleri"
"43","Antrostomus_arizonae"
"44","Ardenna_tenuirostris"
"45","Ardenna_creatopus"
"46","Dryobates_scalaris"
"47","Lanius_borealis"
"48","Ammospiza_nelsoni"
"49","Haemorhous_mexicanus"
"50","Aratinga_nenday"
"51","Hydrobates_leucorhous"
"52","Hydrobates_socorroensis"
"53","Psittacara_mitratus"
