"","x"
"230","Limosa fedoa"
"231","Parabuteo unicinctus"
"232","Tringa solitaria"
"233","Junco hyemalis"
"234","Synthliboramphus craveri"
"235","Thalasseus maximus"
"236","Bombycilla garrulus"
"237","Campylorhynchus brunneicapillus"
"238","Catherpes mexicanus"
"239","Corvus corax"
"240","Euphagus cyanocephalus"
"241","Oreoscoptes montanus"
"242","Icterus cucullatus"
"243","Piranga ludoviciana"
"244","Lanius ludovicianus"
"245","Melozone aberti"
"246","Haliaeetus leucocephalus"
"247","Nucifraga columbiana"
"248","Accipiter cooperii"
"249","Passerina amoena"
"250","Perisoreus canadensis"
"251","Petrochelidon pyrrhonota"
"252","Phainopepla nitens"
"253","Pheucticus melanocephalus"
"254","Piranga rubra"
"255","Polioptila caerulea"
"256","Pooecetes gramineus"
"257","Calidris bairdii"
"258","Larus hyperboreus"
"259","Calidris minutilla"
"260","Melanerpes uropygialis"
"261","Calidris virgata"
"262","Sitta pygmaea"
"263","Melanitta deglandi"
"264","Tachycineta bicolor"
"265","Urile penicillatus"
"266","Toxostoma crissale"
"267","Toxostoma bendirei"
"268","Toxostoma lecontei"
"269","Toxostoma redivivum"
"270","Ardenna bulleri"
"271","Tyrannus tyrannus"
"272","Vireo cassinii"
"273","Xanthocephalus xanthocephalus"
"274","Calypte anna"
"275","Zonotrichia atricapilla"
"276","Synthliboramphus antiquus"
"277","Actitis macularius"
"278","Aechmophorus clarkii"
"279","Aegolius acadicus"
"280","Bucephala islandica"
"281","Cygnus buccinator"
"282","Antrostomus arizonae"
"283","Aquila chrysaetos"
"284","Arenaria melanocephala"
"285","Asio flammeus"
"286","Athene cunicularia"
"287","Aythya marila"
"288","Botaurus lentiginosus"
"289","Brotogeris chiriri"
"290","Bucephala clangula"
"291","Buteo albonotatus"
"292","Buteo jamaicensis"
"293","Buteo lagopus"
"294","Buteo lineatus"
"295","Buteo regalis"
"296","Buteo swainsoni"
"297","Calidris alba"
"298","Calidris canutus"
"299","Calidris mauri"
"300","Calidris melanotos"
"301","Cepphus columba"
"302","Centrocercus urophasianus"
"303","Fregata magnificens"
"304","Loxia leucoptera"
"305","Baeolophus inornatus"
"306","Phoebastria albatrus"
"307","Calcarius lapponicus"
"308","Contopus cooperi"
"309","Mimus polyglottos"
"310","Loxia curvirostra"
"311","Troglodytes aedon"
"312","Ardenna tenuirostris"
"313","Fulmarus glacialis"
"314","Ardenna creatopus"
"315","Phoebastria immutabilis"
"316","Egretta caerulea"
"317","Dryobates scalaris"
"318","Xema sabini"
"319","Baeolophus ridgwayi"
"320","Cyanocitta stelleri"
"321","Poecile atricapillus"
"322","Poecile gambeli"
"323","Lanius borealis"
"324","Tachycineta thalassina"
"325","Vireo huttoni"
"326","Anthus spragueii"
"327","Calidris ptilocnemis"
"328","Charadrius montanus"
"329","Catharus ustulatus"
"330","Cerorhinca monocerata"
"331","Agelaius tricolor"
"332","Ammospiza nelsoni"
"333","Ammodramus savannarum"
"334","Spinus psaltria"
"335","Haemorhous mexicanus"
"336","Passerina cyanea"
"337","Cardinalis cardinalis"
"338","Agelaius phoeniceus"
"339","Aimophila ruficeps"
"340","Icterus galbula"
"341","Leucosticte tephrocotis"
"342","Molothrus ater"
"343","Pinicola enucleator"
"344","Psaltriparus minimus"
"345","Sitta canadensis"
"346","Zonotrichia albicollis"
"347","Polioptila californica"
"348","Polioptila melanura"
"349","Passerina caerulea"
"350","Amazona finschi"
"351","Aratinga nenday"
"352","Branta canadensis"
"353","Bubo virginianus"
"354","Callipepla californica"
"355","Callipepla gambelii"
"356","Cathartes aura"
"357","Corvus brachyrhynchos"
"358","Gavia stellata"
"359","Hydrobates leucorhous"
"360","Hydrobates socorroensis"
"361","Lagopus leucura"
"362","Meleagris gallopavo"
"363","Mergus merganser"
"364","Mergus serrator"
"365","Oreortyx pictus"
"366","Oxyura jamaicensis"
"367","Podiceps auritus"
"368","Podiceps nigricollis"
"369","Psittacara mitratus"
"370","Sturnella neglecta"
"371","Bucephala albeola"
"372","Regulus satrapa"
"373","Geococcyx californianus"
"374","Megaceryle alcyon"
"375","Melozone crissalis"
"376","Auriparus flaviceps"
"377","Anser albifrons"
"378","Puffinus opisthomelas"
"379","Selasphorus platycercus"
"380","Aeronautes saxatalis"
"381","Glaucidium gnoma"
"382","Cardellina rubrifrons"
"383","Setophaga coronata"
