,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600
Low,271.82031505,373.83463065,475.17576295,559.958236725,646.01139345,706.850229775,800.779263375,854.475264875,940.2098635499999,1004.72541345,1053.03155225,1103.878334575,1172.096277225,1216.9696467,1289.5723520000001,1349.3005321,1391.0853069500001,1431.0060159250002,1486.822221425,1519.6501460749998,1569.4804252000001,1619.660877475,1654.8993057500002,1703.0787113,1741.7231339749999,1785.696323175,1825.149240825,1860.45620815,1900.899759525,1937.8605316750002,1970.792597975,2022.7107917,2045.399646125,2085.284807575,2129.4254846000003,2161.9514951,2188.5132511,2231.766614325,2264.1378170000003,2292.8361744,2324.4223930499998,2356.381613525,2390.75544265,2416.723140175,2454.3462873,2487.23384125,2515.90629345,2536.2852279500003,2584.3568166500004,2612.4703417,2638.691569875,2666.786656475,2697.4967519,2717.40351815,2755.93293255,2785.536315325,2806.938800325,2849.036525325,2868.797314275,2899.2603050750004,2926.39459735,2953.084635275,2981.71282265,3007.364297675,3035.20576295,3056.9477462,3086.23029695,3109.4738830750002,3139.606877375,3168.01570555,3188.152488125,3231.5810096,3247.48523955,3273.85707025,3298.5843879500003,3317.869358675,3346.6611618,3380.083535425,3395.16916655,3414.9553013,3449.406531225,3464.595383525,3493.8391004,3523.035098375,3547.044081525,3572.496419875,3589.072060675,3620.124129475,3639.423933225,3669.3058866,3698.84140015,3711.07489235,3741.8088158250002,3767.856434625,3789.89064925,3806.184062525,3836.30863495,3856.783219275,3877.334062775,3901.554140875,3925.497583775,3952.7517081749997,3970.0145426,3996.59008445,4023.080119275,4046.2999069,4071.9984664,4092.206508825,4108.873795625001,4142.615797449999,4158.906565175001,4187.346639775001,4214.700626850001,4233.15199565,4260.518105024999,4277.500500225,4308.3907782999995,4333.0417339,4351.23258285
High,482.587427575,630.7469493,738.67898545,840.7226992,921.86902305,1035.446499975,1104.83842615,1159.7976898250001,1236.298216275,1292.135521825,1357.416052675,1414.9176761,1458.898933175,1523.000853475,1575.3306507,1621.186939775,1673.659109475,1712.8705088,1757.620748775,1802.65850925,1846.67870035,1883.0938695749999,1940.5236980749999,1970.2743924,2002.9015873,2041.12818515,2081.194708075,2129.636255475,2164.144195875,2199.184896825,2226.605633725,2256.1437640249997,2299.3934557999996,2334.3472854,2371.7816509749996,2401.77067265,2435.3441529250003,2470.8593592,2498.29123105,2534.17678405,2561.107478425,2589.9329455750003,2620.724400525,2656.2444324249996,2678.4597692,2713.29434855,2750.417862925,2778.3651975750004,2803.8731289999996,2841.990014,2866.2671464749997,2896.02155845,2918.4365622,2949.8179158249995,2975.0933334,3001.8844654,3030.7394178,3057.738691125,3089.391793675,3111.2667289,3133.6424684,3166.652623675,3198.5168817,3217.275791325,3244.1072956,3271.1891463,3300.1186611499998,3314.6237601,3347.6045988250003,3372.968841575,3394.419643275,3429.766343725,3448.4046064,3466.073182025,3496.3196568999997,3521.6623403,3547.3358703500003,3568.344959825,3596.23783775,3615.82789435,3631.401896775,3653.5597369750003,3691.19378185,3706.77655255,3737.40822745,3757.09235115,3768.659076025,3798.504283325,3819.895168975,3844.4874780749997,3870.2347509749998,3887.910085325,3911.844158275,3936.072540425,3957.6683887,3976.064327425,3999.0279990999998,4022.6645139999996,4044.6879727,4064.6790455749997,4085.5134656249998,4103.90038045,4122.880885025,4150.058054375,4164.787511575,4189.519232725,4205.2869291,4227.937448075,4246.2426137249995,4273.1223440250005,4288.767055325,4308.968934975,4328.917026675,4349.610156549999,4370.8669093,4386.3192468,4403.44249155,4424.735491875001,4443.7197772
Mean,379.381417408,503.80497041,609.630797975,700.65957549,789.3061988410001,874.6125193149999,951.604838806,1019.639758904,1085.796011781,1149.5285984800003,1211.433341276,1265.315420746,1326.622385589,1378.7190545239998,1437.1724639079998,1481.3525087660003,1531.5407801029999,1579.1106619309999,1625.944675956,1673.2463060320001,1716.565809662,1756.8455557599998,1801.8805997890001,1842.3749690420002,1880.8361491610003,1922.532436999,1962.561220239,1998.7923130449997,2037.1453419519999,2074.514714542,2109.993829479,2146.351483309,2178.2100038020003,2216.053723031,2253.1548114289994,2281.490662827,2317.2021996600006,2351.52348884,2382.8714113339997,2417.58310353,2448.939237082,2479.0998124709995,2508.9407563199998,2543.433215121,2571.198468055,2606.0307725259995,2634.093335562,2665.769214872,2694.328724031,2725.0241775550003,2751.4544838720003,2783.720542306,2807.478462856,2838.311077824,2869.1576627500003,2895.54851929,2924.031011737,2952.678581894,2979.736347583,3008.9855397769998,3035.13198781,3062.3327057120005,3089.9469345159996,3116.084840398,3142.8253592799997,3167.852356982,3191.942070699,3219.127257402,3248.7272494040003,3271.463735502,3295.4409775259996,3327.5687446210004,3348.195705085,3373.0984239309996,3398.2213162859994,3422.7686189559995,3448.140064374,3473.715820126,3498.5389040580003,3520.130132845,3547.955789219,3568.899900968,3595.352259594,3620.820570519,3643.5347990340006,3668.114139195,3688.3459780559997,3714.7809740589996,3738.138077982,3761.584515268,3784.934036647,3807.8088853520003,3830.0990328749995,3853.6301694100002,3875.9900403740003,3897.909042698,3921.040104346,3945.167592505,3967.982252816,3988.95178884,4012.0113266550006,4033.1380418379995,4057.309303247,4079.318325719,4100.246009042,4121.796347817,4145.702483423001,4166.988070097999,4186.711278617,4211.1940322440005,4232.172061759999,4252.701812645,4275.327560533,4298.050544838,4318.997309474,4339.176503627001,4360.881183061,4382.59487272,4403.222990931001
