,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325
Low,277.0613911,377.864185525,487.39534405,586.4972341,660.358882825,741.995337225,808.940242025,885.37152555,958.25502325,1009.937253025,1080.0530067,1144.05985555,1196.342403675,1258.32072585,1321.017625725,1368.365036075,1413.648725625,1463.879443325,1503.490769925,1560.7702528,1597.191665025,1649.721596875,1692.4135840749998,1731.72226825,1775.9439866750001,1814.241223475,1864.125956825,1892.7794475750002,1934.3597650000002,1973.17217415,2013.4461720250001,2056.074919925,2082.975682625,2117.9367790250003,2151.836068975,2197.8071855,2217.2103472500003,2265.642668425,2300.5101611749997,2322.0010235249997,2358.206774175,2399.8068514750003,2434.2599782750003,2461.3864652,2488.7967393249996,2534.5986135750004,2558.1506911,2586.9199390500003,2621.099162925,2657.7219823749997,2687.458799975,2719.1981752750003,2754.5628451499997,2779.401093225,2820.650090425,2841.214404325,2879.86754905,2907.312769475,2941.0873113000002,2978.843589575,3007.2299576,3039.7004213249998,3076.535411375,3106.206457075
High,487.364967525,635.34215445,748.413793625,858.757627075,938.20709895,1028.7566929749999,1106.13357555,1166.8524760750001,1239.687448275,1311.1282473,1365.348134725,1427.56132925,1484.940811575,1531.129700225,1585.294867825,1640.819192775,1677.90681265,1722.0084363249998,1770.1314583499998,1806.89456315,1846.132037075,1899.72060935,1945.693220475,1981.1500066249998,2024.127848575,2059.01942255,2090.6248038000003,2125.034584425,2163.73797975,2196.71383945,2238.435315,2264.9643396,2304.12376465,2337.58340115,2375.7521782,2399.273974475,2431.21203205,2461.92004655,2497.3554535750004,2528.878934825,2555.068508375,2594.342977075,2619.8080891749996,2649.056632225,2682.438937775,2708.243985275,2738.338273825,2763.992548875,2791.619554475,2821.057471275,2848.00265885,2871.17727575,2900.92705045,2924.117168225,2954.8962997,2978.6138055,3001.56127655,3026.8123806,3050.6881938,3077.1776845,3099.2207985749997,3121.00257895,3142.856667075,3162.038639575
Mean,380.701863823,507.972184062,614.922885943,716.108369028,802.4446587690001,887.9779443909999,963.230513015,1031.738531209,1107.8967867029999,1169.21719311,1230.874024933,1287.416336666,1345.8582298559998,1400.028909001,1458.831497331,1501.159192226,1551.073190239,1599.751393706,1643.9155694550002,1692.2712911780002,1731.037690213,1778.5947006340002,1820.3066605079998,1860.197674425,1900.752482809,1940.095978931,1978.781689929,2015.9954836059999,2054.910827817,2088.946049103,2128.664161813,2162.656452531,2196.115359174,2231.4948008700003,2269.102661951,2301.9848113519997,2334.404688601,2368.9823340339995,2405.269991888,2432.6436812619995,2465.9930223,2499.8062883519997,2531.0718559929996,2562.406157118,2592.405455335,2624.162136322,2656.229209097,2685.174436556,2716.6615138719994,2747.1453941540003,2775.2253153889997,2804.6021071190003,2834.506601578,2862.8866589780005,2893.986590594,2920.4781550010007,2949.184248388,2976.9607471240006,3005.8190695220005,3034.764162937,3062.995037461,3091.584742296,3118.400614982,3145.465918207
