"","names"
"1","Aix_sponsa"
"2","Amazona_viridigenalis"
"3","Amphispiza_bilineata"
"4","Archilochus_alexandri"
"5","Asio_otus"
"6","Aythya_affinis"
"7","Aythya_americana"
"8","Aythya_collaris"
"9","Aythya_valisineria"
"10","Bombycilla_cedrorum"
"11","Bonasa_umbellus"
"12","Branta_bernicla"
"13","Branta_hutchinsii"
"14","Calamospiza_melanocorys"
"15","Calypte_costae"
"16","Cardellina_pusilla"
"17","Catharus_guttatus"
"18","Certhia_americana"
"19","Chondestes_grammacus"
"20","Cinclus_mexicanus"
"21","Cistothorus_palustris"
"22","Coccyzus_americanus"
"23","Contopus_sordidulus"
"24","Cypseloides_niger"
"25","Empidonax_hammondii"
"26","Empidonax_minimus"
"27","Empidonax_oberholseri"
"28","Empidonax_traillii"
"29","Empidonax_wrightii"
"30","Falco_columbarius"
"31","Geothlypis_tolmiei"
"32","Geothlypis_trichas"
"33","Icteria_virens"
"34","Ixoreus_naevius"
"35","Laterallus_jamaicensis"
"36","Lophodytes_cucullatus"
"37","Melospiza_georgiana"
"38","Melospiza_lincolnii"
"39","Melospiza_melodia"
"40","Micrathene_whitneyi"
"41","Mniotilta_varia"
"42","Myadestes_townsendi"
"43","Myiarchus_cinerascens"
"44","Parkesia_noveboracensis"
"45","Phalaenoptilus_nuttallii"
"46","Pipilo_chlorurus"
"47","Pipilo_maculatus"
"48","Podilymbus_podiceps"
"49","Pyrocephalus_rubinus"
"50","Recurvirostra_americana"
"51","Salpinctes_obsoletus"
"52","Sayornis_nigricans"
"53","Selasphorus_calliope"
"54","Selasphorus_sasin"
"55","Setophaga_nigrescens"
"56","Setophaga_occidentalis"
"57","Setophaga_palmarum"
"58","Setophaga_petechia"
"59","Setophaga_ruticilla"
"60","Setophaga_townsendi"
"61","Sialia_mexicana"
"62","Spizella_atrogularis"
"63","Spizella_breweri"
"64","Spizella_passerina"
"65","Strix_nebulosa"
"66","Thryomanes_bewickii"
"67","Turdus_migratorius"
"68","Tyrannus_verticalis"
"69","Tyrannus_vociferans"
"70","Vireo_bellii"
"71","Vireo_gilvus"
"72","Vireo_plumbeus"
"73","Zonotrichia_leucophrys"
"74","Columbina_passerina"
"75","Phoebastria_nigripes"
"76","Chaetura_vauxi"
"77","Ardea_herodias"
"78","Accipiter_striatus"
"79","Aechmophorus_occidentalis"
"80","Alectoris_chukar"
"81","Anas_acuta"
"82","Anas_platyrhynchos"
"83","Anthus_rubescens"
"84","Ardea_alba"
"85","Arenaria_interpres"
"86","Brachyramphus_marmoratus"
"87","Bubulcus_ibis"
"88","Calidris_alpina"
"89","Chlidonias_niger"
"90","Empidonax_difficilis"
"91","Eremophila_alpestris"
"92","Falco_peregrinus"
"93","Gelochelidon_nilotica"
"94","Hirundo_rustica"
"95","Hydroprogne_caspia"
"96","Icterus_parisorum"
"97","Larus_glaucoides"
"98","Nycticorax_nycticorax"
"99","Pandion_haliaetus"
"100","Passer_domesticus"
"101","Pluvialis_fulva"
"102","Pluvialis_squatarola"
"103","Rallus_limicola"
"104","Riparia_riparia"
"105","Rissa_tridactyla"
"106","Sayornis_saya"
"107","Sialia_currucoides"
"108","Sterna_hirundo"
"109","Sturnus_vulgaris"
"110","Tyto_alba"
"111","Vireo_vicinior"
"112","Fulica_americana"
"113","Charadrius_semipalmatus"
"114","Charadrius_vociferus"
"115","Chordeiles_acutipennis"
"116","Chordeiles_minor"
"117","Columbina_inca"
"118","Coragyps_atratus"
"119","Cygnus_columbianus"
"120","Dendrocygna_bicolor"
"121","Egretta_thula"
"122","Elanus_leucurus"
"123","Falco_mexicanus"
"124","Fratercula_cirrhata"
"125","Falco_sparverius"
"126","Gallinago_delicata"
"127","Gallinula_galeata"
"128","Gavia_immer"
"129","Gavia_pacifica"
"130","Picoides_arcticus"
"131","Spinus_pinus"
"132","Gymnogyps_californianus"
"133","Histrionicus_histrionicus"
"134","Ixobrychus_exilis"
"135","Spinus_lawrencei"
"136","Spinus_tristis"
"137","Larus_californicus"
"138","Gymnorhinus_cyanocephalus"
"139","Larus_delawarensis"
"140","Larus_heermanni"
"141","Larus_glaucescens"
"142","Larus_occidentalis"
"143","Limnodromus_scolopaceus"
"144","Limnodromus_griseus"
"145","Poecile_rufescens"
"146","Melanitta_perspicillata"
"147","Megascops_kennicottii"
"148","Melanerpes_formicivorus"
"149","Melanerpes_lewis"
"150","Mycteria_americana"
"151","Numenius_americanus"
"152","Numenius_phaeopus"
"153","Patagioenas_fasciata"
"154","Pelecanus_erythrorhynchos"
"155","Pelecanus_occidentalis"
"156","Phalaropus_fulicarius"
"157","Phasianus_colchicus"
"158","Plegadis_chihi"
"159","Pluvialis_dominica"
"160","Porzana_carolina"
"161","Ptychoramphus_aleuticus"
"162","Rynchops_niger"
"163","Selasphorus_rufus"
"164","Sphyrapicus_ruber"
"165","Sphyrapicus_thyroideus"
"166","Sphyrapicus_nuchalis"
"167","Stercorarius_pomarinus"
"168","Sterna_forsteri"
"169","Synthliboramphus_hypoleucus"
"170","Sternula_antillarum"
"171","Strix_varia"
"172","Strix_occidentalis"
"173","Thalasseus_elegans"
"174","Tringa_flavipes"
"175","Tringa_semipalmata"
"176","Tringa_incana"
"177","Tringa_melanoleuca"
"178","Zenaida_macroura"
"179","Zenaida_asiatica"
"180","Aphelocoma_californica"
"181","Myiarchus_tyrannulus"
"182","Progne_subis"
"183","Passerculus_sandwichensis"
"184","Pica_hudsonia"
"185","Sitta_carolinensis"
"186","Stelgidopteryx_serripennis"
"187","Molothrus_aeneus"
"188","Podiceps_grisegena"
"189","Pterodroma_cookii"
"190","Uria_aalge"
"191","Chamaea_fasciata"
"192","Limosa_fedoa"
"193","Parabuteo_unicinctus"
"194","Tringa_solitaria"
"195","Junco_hyemalis"
"196","Synthliboramphus_craveri"
"197","Thalasseus_maximus"
"198","Bombycilla_garrulus"
"199","Campylorhynchus_brunneicapillus"
"200","Catherpes_mexicanus"
"201","Corvus_corax"
"202","Euphagus_cyanocephalus"
"203","Oreoscoptes_montanus"
"204","Icterus_cucullatus"
"205","Piranga_ludoviciana"
"206","Lanius_ludovicianus"
"207","Melozone_aberti"
"208","Haliaeetus_leucocephalus"
"209","Nucifraga_columbiana"
"210","Accipiter_cooperii"
"211","Passerina_amoena"
"212","Perisoreus_canadensis"
"213","Petrochelidon_pyrrhonota"
"214","Phainopepla_nitens"
"215","Pheucticus_melanocephalus"
"216","Piranga_rubra"
"217","Polioptila_caerulea"
"218","Pooecetes_gramineus"
"219","Calidris_bairdii"
"220","Larus_hyperboreus"
"221","Calidris_minutilla"
"222","Melanerpes_uropygialis"
"223","Sitta_pygmaea"
"224","Tachycineta_bicolor"
"225","Toxostoma_crissale"
"226","Toxostoma_bendirei"
"227","Toxostoma_lecontei"
"228","Toxostoma_redivivum"
"229","Tyrannus_tyrannus"
"230","Vireo_cassinii"
"231","Xanthocephalus_xanthocephalus"
"232","Calypte_anna"
"233","Zonotrichia_atricapilla"
"234","Synthliboramphus_antiquus"
"235","Actitis_macularius"
"236","Aechmophorus_clarkii"
"237","Aegolius_acadicus"
"238","Bucephala_islandica"
