,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200
Low,66.93492061555553,75.80976524761901,77.54512594868419,81.34714289816664,82.79189580724139,84.00757392588235,85.5421455297756,87.61870197449497,87.24882278383677,88.23366037797982,88.86911962545196,89.12036085754809,89.68791591661486,89.82119449192793,90.16279639776108,90.56734036435579,91.29581406053684,91.26466874363942,91.66145673812116,91.6851731754945,91.9986818505254,92.21137008560645,92.58890216513657,93.03672301810327,93.25330965725401,93.1626108285351,93.06995067303183,93.80231046339081,94.16380612606712,94.20041585838707,94.14691644064665,94.65052471911312,94.72341014835538,94.95931115599011,95.28719158668221,95.41178575044069,95.71822699155246,96.0620848239995,96.42038979128388
High,115.18672004666676,112.202936879048,109.9537976636838,109.09601101316667,107.2531646701153,106.82587225512624,106.57425231121813,105.74952840151549,105.27895537999952,104.70990499824957,104.83366788974563,103.88866436406228,103.61428760711227,103.60437362452217,103.14349780390853,102.8738079963585,102.73361761194802,102.18686927989884,102.0437194254902,101.66039430456922,101.541611612031,101.61792310890903,101.06312202503167,101.10440852736093,100.8192476048811,100.81052363566052,100.48888661578353,100.0693235326724,99.99795870572262,99.72367631351908,99.58488261649372,99.65887337713227,99.29550599033762,99.18259435888339,98.93291904231847,98.73441355950943,98.44419161479257,98.20103776646312,97.9068359063078
Mean,96.88573545491111,97.48661682422858,97.1071996537,97.53511662879333,97.05977392882068,97.18257036861849,97.14693253314616,97.4921790820788,97.00334157595184,97.28778523591919,97.53669536338926,97.16306618895,97.11783677025466,97.02528622891748,96.90337719049114,97.12064080815182,97.31693914862322,97.17699840095678,97.1693539143481,97.0528496438392,97.06944192538366,97.2957047512897,97.10167843374383,97.19669189946994,97.0874439100353,97.09703436245795,97.03123930611767,97.00657813155956,97.1343100418025,97.16175042622622,97.01790678365722,97.16209712967539,97.11348318042326,97.15075501119237,97.13880318236251,97.16299187097462,97.12160165150398,97.13733679923828,97.16320248818604
