,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200
Low,267.18071845,379.16313375,473.271618,558.59443045,655.63936295,730.025372325,802.25194095,867.077190875,930.175677275,991.079588875,1045.979025175,1101.7322456250001,1153.964945475,1209.038695625,1253.8783741,1309.923707625,1350.030141925,1399.7857625499998,1439.462044625,1481.97457655,1524.388266725,1571.8511645,1609.863975425,1644.625368675,1683.19804615,1717.2295345,1759.368926375,1806.694376075,1838.72177205,1866.38574655,1906.06826585,1938.918595825,1978.103540725,2007.537715525,2050.4560116999996,2079.8490437250002,2119.008987975,2157.144172425,2196.324796125
High,469.819425625,601.98895325,719.79166355,806.5064098500001,885.0782464749999,968.143666075,1031.832009275,1093.929934575,1150.60095975,1207.648202075,1253.5999671499999,1307.6912560249998,1355.7121348,1402.2445412,1442.9145753999999,1485.528416675,1526.0798728749999,1570.697570225,1615.2303378749998,1645.3137709999999,1680.6207683,1722.235143075,1758.394336825,1794.1931664,1827.5170024499998,1862.772048,1889.37263005,1926.439220025,1954.9967090750001,1988.3660871749998,2018.3179965,2046.7446102000001,2075.8772608249997,2105.2340453250004,2134.46645625,2158.670474925,2186.965732375,2212.8937122,2235.0860690500003
Mean,372.190032584,493.00413546199997,602.7455349129999,689.0879025830001,773.8019922670001,853.8467055169999,923.214918118,987.4954184910001,1049.961889662,1106.407689317,1157.390831845,1213.000972323,1262.0359308690001,1311.2583348710002,1358.309375088,1403.5559335209998,1447.6235264400002,1490.662932268,1534.440852569,1569.574215952,1609.8682301719998,1650.186992189,1687.48628277,1723.652334297,1760.351862988,1795.31868664,1830.3325229079999,1866.0411746749999,1898.9188934249999,1932.6358461730001,1967.957875981,1999.342699022,2030.625113595,2063.1708691100002,2096.7253257519997,2125.281610568,2157.7204807679996,2189.7733471300003,2220.112187492
