,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200
0.5,22.96249581,24.095208085,23.011064420500002,22.3460366024,19.598231279833367,19.31117245771427,18.044987989750002,17.957867000000032,16.9449157009,16.57941488509091,16.23153320025,15.544892041769254,15.620576080642829,14.878657592466633,14.271848200125001,14.027837887000018,14.031936600166633,13.865828444684237,13.288385172549999,13.283945908380971,12.997156903727282,13.03903550234783,12.892382823249967,12.70508059504,12.637755602730754,12.523674142629583,12.443606566285686,12.266458374551739,12.239039106233333,12.129977908935501,11.97491263190625,12.022158474000044,11.828734088411771,11.839201777600001,11.907386358777767,11.6929784575676,11.77321643207891,11.713869694538442,11.811208473899999
1,26.062282304,26.130629084000034,24.516517065000002,23.0305411096,21.038262598666698,20.44979554057144,18.85045052125,18.8013535433333,17.4804849128,17.01091564618183,16.5590320901667,16.164833943538493,15.8349299362857,15.130184334133299,14.724622076625,14.367969843411771,14.196175160666668,14.040657026842137,13.6802535983,13.63833341047619,13.180760352272708,13.13352921869569,13.028493558249968,12.853212436320002,12.783411413076932,12.5800232845185,12.569435834714286,12.406620972965538,12.339789120399999,12.1922137624516,12.079788989374999,12.105554567878755,11.889848254470582,11.922944197771443,11.9546361356111,11.75292359551353,11.82339778647372,11.776788524512849,11.865415290649999
1.5,27.783253005,27.3817753426667,25.397240269999998,23.6720313734,22.337085985333303,21.379508458000025,19.477497896874997,19.128677540333335,17.9001741939,17.606687297545427,16.7090155274167,16.687071728999967,15.97645744285717,15.5112387662,15.0024151131875,14.7016808673529,14.422388192500033,14.21686797026317,13.9173667706,13.795616692476171,13.339791818227317,13.162711367739147,13.135266373666699,12.9564847534,12.906485994846186,12.673450430370323,12.664896089499985,12.49944045493108,12.4071257606333,12.249943383806418,12.13535596771875,12.184774206636318,11.948773937852977,11.967069241314329,11.974696208888869,11.813294335837792,11.872510349631549,11.841637726205093,11.8907711186
2,28.621265246,28.232157602666668,26.436736665999998,24.3768147504,22.746240433333334,21.665841967428587,19.729230491,19.2747580613333,18.3294338788,17.85561199890909,16.97417767000003,16.936154435999953,16.1576270837143,15.718758029600032,15.166264736250001,15.045309838588283,14.623657301111098,14.375309426736859,14.0873886146,13.899026396380911,13.497403659090882,13.265310850782638,13.3202863573333,13.07339116192,12.972530432307648,12.768630877185164,12.692378663857156,12.577814573103433,12.430587986266667,12.35442809419359,12.171349527375,12.197361556363642,12.039532837999953,12.012735062742815,12.000606194222243,11.826138453513492,11.906584494736874,11.858397173948706,11.9025642966
2.5,28.91139032,28.761274838333367,26.652943625000002,24.849736298,23.0325176525,21.9214930714286,20.181921855625,19.671314516666655,18.4502835525,17.929796664090944,17.05038626541667,17.217406930384602,16.369818475357185,15.8222604853333,15.345354554375001,15.13236102647061,14.7354923636111,14.459285568947353,14.205396905999999,13.96593924642854,13.630931940909065,13.357925162608687,13.34089673375,13.119152698799999,13.065029105576878,12.825299939999958,12.721223023035673,12.62446777568969,12.493093845166667,12.418993249516147,12.22175003546875,12.255143475909113,12.105057181029379,12.024782814857184,12.028604122083378,11.89580241945942,11.941464554342119,11.882633793461535,11.910648174875
5,32.19194647,30.80178528999997,27.936654157499998,26.408662918,24.27147711499997,23.01671088428573,21.65134404125,20.45825081111112,19.271606103,18.681722729090936,17.80887308750003,17.622456571538475,16.712837442857154,16.3795780753333,15.764973563749999,15.501793748823546,15.132203647777745,14.749911283157875,14.5251568615,14.28685167523805,13.979944097727255,13.763874078695624,13.593988099583335,13.3768218896,13.24184535000002,13.08425159370367,12.956440975714315,12.81798144137932,12.6469025993333,12.587620212580674,12.414272193750001,12.39513279424247,12.228024777647105,12.16898185285717,12.139522612222235,12.002492521081034,12.017227470526326,11.96412697230766,11.97084524225
10,36.48252276,33.839053693333305,30.28065059,28.3807911,25.931799996666673,24.39544844857145,22.7148032975,21.41884016444444,20.199204478,19.362224125454592,18.894322461666672,18.219998533846148,17.391447419999988,16.99441657866667,16.407083959999998,15.95744858235296,15.5727156977778,15.186199221052659,14.846137257999999,14.60405644000004,14.33068139181818,14.03443128608696,13.848143375000031,13.6507589968,13.53273190769229,13.34967654740744,13.17701196928574,13.035084882068979,12.835482472000031,12.73897451483872,12.585241236875,12.52966179636363,12.42851461764702,12.290737144571429,12.2587498994444,12.11462452918917,12.100047354210549,12.04498717384615,12.021445289499999
25,45.530817875000004,39.06287365,35.27876515,31.73313804,28.551684716666678,26.688749064285727,24.95826363125,23.146262150000027,22.10447363,20.96357482272725,20.04035168333335,19.348426861538478,18.54235636428575,17.919926366666676,17.317127453125,16.732239144117628,16.3006528305556,15.8999273184211,15.5698783975,15.248497159523799,14.872920097727274,14.58600946304345,14.348989599999975,14.163650134000001,13.946236375,13.747688444444425,13.53945868214285,13.389468951724174,13.21657030666665,13.04755367258065,12.9181670890625,12.7782304545455,12.654943225000025,12.523325749999975,12.4488813361111,12.3243483081081,12.24812445789475,12.1567257769231,12.093239252499998
75,63.5829432,51.93654038333335,45.8400513125,39.63042213,34.69702601666665,32.10419290714285,29.7011202875,27.4055325222222,25.649805445,24.32081807727275,22.975415712499977,21.958551542307724,21.140160632142823,20.148423639999976,19.408878809375,18.764679764705875,18.142918150000025,17.6037104526316,17.06642477,16.64445421190475,16.273157784090873,15.85952281304345,15.46156197291665,15.182445568,14.923672090384574,14.66264312592595,14.44600276607145,14.202460068965525,13.952928670000023,13.7720294935484,13.547048835937499,13.376704096969725,13.21442940147055,13.02356597428575,12.895094812500025,12.752262995945951,12.603122918421025,12.423092034615376,12.26010431875
90,72.41754259,57.46513803333333,50.22700171,42.981760703999996,37.94657374333336,34.4655953171429,31.975168907500002,29.11995980222223,27.42229672,25.66652628000002,24.23356762499997,23.06537889538462,22.26745690142861,21.056540449333333,20.47091740125,19.64184932470589,18.908065583333357,18.24953625263157,17.826586287,17.37139602952384,16.922358180909058,16.414760778260828,16.04517796250003,15.679281104,15.42208688615385,15.15340510666663,14.83441836571429,14.58756396620693,14.374847886666641,14.10188351096775,13.887715275625,13.674954860606091,13.48098001058824,13.28026111028569,13.09968001833334,12.92880274378382,12.760067268947349,12.54720122256406,12.358635948
