,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62
Low,347.781370875,451.252736825,535.16623425,621.647472925,703.7333605499999,774.000613525,832.6120169750001,905.8310015999999,973.114913075,1038.42652545,1104.35329235,1155.9759468250002,1224.4337314250001,1288.7465587499998,1352.802851875,1413.186362825,1465.012261975,1533.8425436500002,1580.4165785750001,1660.798595,1702.60182065,1769.23731265,1830.6886137499998,1894.93301725,1941.106303925,2002.45654635,2062.79316725,2132.78987585,2193.069141
High,543.054727525,659.391487275,768.78116175,857.0235768499999,947.2889777749999,1037.301674525,1111.2569744,1206.3085970500001,1261.848392625,1332.09843365,1400.925042825,1459.70231695,1530.0224688,1583.470495175,1647.61136085,1705.81311585,1765.11065715,1810.73237965,1857.816107875,1910.955210375,1957.55731705,2010.579221125,2056.99208585,2092.221639025,2138.1238798,2177.134115625,2212.7270254,2245.963532,2268.29774
Mean,452.992100141,562.5882067160001,654.5366086939999,743.512522241,828.659425943,909.037302352,979.3731641420001,1055.701746551,1119.856081764,1189.632447259,1254.2321242189998,1323.298790274,1385.4766109710001,1443.010461333,1504.942539608,1567.1268943310001,1620.597003266,1678.120559031,1730.2102602230002,1792.474961015,1840.894233415,1897.394535785,1950.129936237,2001.9204481279999,2049.269244083,2099.0280310420003,2149.4555426629995,2199.7632506409996,2245.894838229
