,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40
Low,243.571763175,348.32359345000003,438.192649425,527.48000615,621.3295146,695.07383215,779.102733375,842.84931985,920.1113051000001,989.9557974749999,1056.791197425,1127.8016037,1199.1998693,1263.938219525,1338.439823225,1404.1228054500002,1467.979220925,1542.4867893,1633.327912
High,396.274399,540.801179,656.71933975,764.8753555,854.909827525,936.3342207249999,1024.296049725,1104.7982426,1173.418947875,1241.805289775,1301.933061975,1368.4254308,1429.7612024999999,1488.0026653,1538.164532875,1591.011315175,1640.969896425,1682.85479,1710.885276
Mean,333.125129533,449.081643287,555.909681187,650.6921312469999,742.251278348,821.3142495230001,901.4197985919999,976.547752429,1049.4772116550002,1120.894605795,1185.579467546,1253.948371913,1318.012907325,1383.606535291,1448.041863773,1508.1096751040002,1563.792543486,1623.977772821,1682.308267038
