,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62
Low,66.52341246666661,63.97401431875,61.116444795,59.30290287916664,57.57965014285716,56.305076653125,54.360536219444484,53.820066142499996,52.66300818409092,50.613810477083305,52.22717447884613,50.223330555357116,49.60871661499996,49.8375604203125,48.35571575735291,47.490882255555604,47.83146347105263,47.649246375000004,47.22695101904761,46.97112055113638,46.689670039130405,46.8533437375,45.765633644000005,45.703474550000045,46.24149427870368,45.632024839285755,45.92929239913792,46.0375141266667,46.1001111935484
High,162.87140865000032,139.1715583125,128.53400367,114.26063660000032,105.89220542499984,99.855987546875,92.91966650277773,88.56804699249999,84.34479726363638,81.56143731875004,79.2654287269231,75.50069254821429,74.07061571166666,70.5889169625,69.46557429558825,67.5812632541667,66.17183863684208,64.90205762625,62.45456455952379,61.170293507954526,60.14189604347824,58.74608521354163,57.312558988999996,56.457843171153804,55.15457601574074,53.7016977205357,52.41008851465516,51.009453365000034,49.7025163870968
Mean,117.747659438,103.24781609499999,94.1353281624,87.15461060249999,82.13251436957142,77.32343805387501,73.99454784388888,71.62673529819999,69.28808190727271,67.31971090558332,65.394384898,63.671241514285704,62.34092359393333,60.87966815668751,59.43359557647059,58.145128994388884,57.27510161215789,56.3436160945,55.35228958128572,54.42298518754545,53.616420512043476,52.88395605745833,52.08282327872001,51.50521780826923,50.78234226729629,49.98809699835714,49.40268676831034,48.739852046466666,48.11517558106451
