,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40
Low,126.742360333333,138.57475505666702,147.40935663035756,151.12161292888877,156.13723400984813,157.40856085219804,160.15317459625032,159.85257557516346,161.641724005,162.396979272511,163.94797032989146,165.03120241107655,165.69696422830663,166.22759005666617,167.1447575941537,167.47675750855606,167.83784886809553,168.4116298031296,168.934271484615
High,196.991089,189.0124076,184.42021466071415,182.30202359111067,181.48877216515115,178.93572602527513,178.20354400916668,177.25825120326792,176.49567993447357,176.02049958744544,175.32039105652166,174.80680833769222,174.52293735965597,174.1552493935634,173.62840940856856,173.25019450837755,172.77027153785724,172.214005758179,171.415143771795
Mean,170.90789713333336,170.79385860066665,170.49175365607144,170.3856256444889,170.67510480033332,170.48669611085717,170.90417769781666,170.29576644626147,170.49163942610525,170.55233865090042,170.46598357771015,170.63424760705843,170.6472276075714,170.59433013844594,170.58574579266934,170.6654616695401,170.60179871539364,170.55338640963018,170.58779531825638
