,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62
0.5,310.376911095,417.12190744500003,509.811789975,571.91199984,677.9882991549999,711.5986820749999,793.442075205,861.69327257,945.2284955800001,974.055078575,1066.0412242,1120.460422905,1175.217714255,1235.1325446550002,1301.7517060149999,1360.037983085,1426.19139429,1494.99420369,1528.09472262,1628.35200095,1671.4700960950001,1716.2377093700002,1778.77106044,1834.2200643850001,1888.2444150000001,1966.0630173050001,2025.577901315,2110.89093787,2191.919546
1,333.36447723,429.13003169,518.38693848,589.8765012,686.4905962099999,748.03336487,808.2301305599999,874.79322168,955.72927256,1006.36506997,1078.0374180400001,1134.0274192299999,1190.11086942,1266.4757737099999,1317.54206485,1384.8620587900002,1438.23204947,1512.90243162,1547.84951828,1633.37383963,1683.3509411300001,1733.88981563,1800.18391677,1869.95379185,1894.32861662,1982.7619777999998,2042.80410243,2118.09457236,2191.919546
1.5,339.54649184,435.65888481,525.92755243,598.844927225,690.614880165,756.435256935,815.35425032,892.55138441,962.846419785,1026.06427229,1090.424006095,1144.65898482,1207.038555395,1272.347010265,1334.87983216,1397.35875148,1450.589180985,1518.715337295,1557.9034303649998,1647.82200703,1694.1162891449999,1747.3154159950002,1806.1785791500001,1880.4951123399999,1921.67255391,1992.5916639700001,2049.275059225,2126.8541646500003,2191.919546
2,344.90400969999996,445.2826775,531.36490706,609.26458488,696.3535605,765.40566396,822.06343194,899.06776488,967.5957044400001,1032.9032786799999,1096.81731434,1150.70558482,1219.96899082,1285.9928298799998,1341.48171034,1407.73951378,1457.60652378,1526.5265577999999,1567.51479344,1656.39991854,1697.8243482799999,1758.53948472,1824.8316629600001,1887.9451170999998,1929.48529652,1998.88253222,2057.5065731600002,2128.03738274,2191.919546
2.5,347.781370875,451.252736825,535.16623425,621.647472925,703.7333605499999,774.000613525,832.6120169750001,905.8310015999999,973.114913075,1038.42652545,1104.35329235,1155.9759468250002,1224.4337314250001,1288.7465587499998,1352.802851875,1413.186362825,1465.012261975,1533.8425436500002,1580.4165785750001,1660.798595,1702.60182065,1769.23731265,1830.6886137499998,1894.93301725,1941.106303925,2002.45654635,2062.79316725,2132.78987585,2193.069141
5,364.904787,466.49479985,551.80371415,637.2470948,723.2696873499999,794.9526384,851.4941396,928.0699189,994.84475505,1061.1642879,1127.7492966999998,1185.47172915,1255.6738469,1313.8447666,1379.310405,1439.67998285,1496.9882427,1555.23083905,1607.56622345,1682.45241865,1732.0698235,1792.3891611,1852.5422265500001,1914.46102735,1965.85649245,2025.69565795,2078.54039145,2146.17856765,2206.623677
10,382.4654049,489.0820945,578.4972707999999,663.6691816,742.6549577000001,816.3154380999999,884.7893641,956.2365317,1022.7730364,1089.4186373,1151.076414,1219.5464289000001,1285.7654076,1343.0337465999999,1405.9405397,1474.2725421,1521.5841618,1582.2480522,1637.4960493,1706.8838865,1756.9902324,1815.3106971000002,1872.5628617999998,1935.1323258,1985.6077914999998,2042.2451664,2092.989896,2158.9016918,2218.759351
25,420.62582075,525.32434575,614.0730275,699.13798975,783.724514,862.1332195,930.514929,1006.9414065,1068.40402975,1135.40781925,1199.0938740000001,1273.38966575,1331.33143425,1395.0271037500002,1454.0793962500002,1521.357805,1567.89267075,1631.4725095000001,1685.56138725,1747.2841922500002,1799.13913675,1856.9060185,1910.68606675,1968.55003025,2017.98782625,2068.91325425,2125.3415745,2181.35856875,2236.398211
75,488.167605,601.1649,695.918934,787.6058335,875.942557,963.23757425,1029.9400825,1103.101912,1172.61778275,1244.240287,1307.40977775,1379.6889865,1442.3006305,1495.3534035,1561.9711295,1617.027402,1672.22115325,1731.06400025,1776.2611474999999,1839.4025232499998,1888.2114965,1941.16424375,1990.4246535,2038.99611125,2084.43734575,2131.64332975,2178.37791225,2221.2928380000003,2261.543917
90,513.751584,628.4175968,731.2200697000001,828.2234811,909.5346823,997.6369591,1075.3412556,1151.1431348,1214.4101672000002,1291.8828767999998,1353.4605114,1420.529232,1482.0597192,1540.1682997,1598.3601942,1663.0192663,1718.0995696,1768.6090413,1818.7826846,1876.091374,1921.6899885,1974.2169915,2023.0234565,2066.8246205,2110.8409917,2152.6654191000002,2197.4935221,2235.0541112,2263.905076
