,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610
0.5,1153.821768965,1489.505130165,1753.03566787,2049.868267585,2349.871076225,2710.474267565,2877.44546553,3202.68156112,3483.95265407,3647.0154394349997,3890.8041744350003,4168.714919025,4325.70342053,4575.772304315,4744.79779956,5001.772199839999,5137.213460655,5352.196921039999,5670.988128965,5826.75628373,5959.328911345,6053.4476101049995,6290.1171744349995,6500.00612367,6554.879632725,6761.20276868,6942.593360685,7162.673518674999,7327.166457935,7493.1862697999995,7663.894028594999,7722.58371005,7876.85430249,7961.75573118,8277.36157191,8405.401513045,8439.986227775,8608.45413758,8717.83139291,9074.505199715,9016.083126065,9166.87856987,9318.60564463,9477.171886395001,9624.508443605,9811.60806368,9880.517833344999,10127.515281650001,10145.557647445,10287.63649633,10296.107750225,10618.31977201,10632.63507314,10784.414573524999,10833.471221945,11210.31255825,11144.284776350001,11232.55102979,11428.972480420001,11534.9478089,11816.446312895,12003.636569735,11933.732392015,12119.468465705,12141.077562715,12091.426642060002,12568.833563595,12538.11224322,12747.781362485,12799.43712255,12867.973736984999,12983.634762025,13210.73200919,13105.904026915,13343.512616205,13578.677811445,13537.56093413,13775.07299699,13955.028487214999,14013.37781023,14108.260794315,14139.698886775,14343.83746993,14574.676018565,14681.962971185,14810.3805784,14917.72440536,14986.960329200001,15148.730334245,15211.5263969,15274.21538642,15555.985591045,15552.86334161,15572.554408165,15786.393253045,16013.827497385,16168.212193360001,16219.10488545,16320.73630452,16341.51147764,16601.258347575,16750.420365865,16788.024625095,16980.399266775003,17033.16936443,17209.046681685002,17322.301718265,17392.255349475,17551.17546535,17701.82673235,17665.307646945002,17868.014727564998,18045.36851021,18114.86421292,18278.912206825,18342.3069534,18600.466845265,18578.780457575,18814.06614761,18991.45750745,19310.100198
1,1167.7672208200001,1526.5127590299999,1819.30959418,2101.71655976,2464.18376447,2746.48563534,2991.81235276,3288.73863735,3558.5422241300002,3739.8942253,3957.837644,4279.1374609,4434.75244202,4634.11434129,4826.08710651,5038.40005455,5269.81547819,5375.71282847,5725.1480514,5883.61074147,6037.814700970001,6181.395304,6379.6899979,6581.72976305,6669.8659384600005,6864.3407102,7023.20183849,7200.209607469999,7420.809869889999,7608.47727536,7762.103692770001,7783.43375618,7980.20098648,8072.71540685,8344.725844190001,8446.6696704,8567.911328069998,8701.575878430001,8829.00316427,9145.03122053,9074.588004430001,9292.98422511,9449.15299067,9572.38750486,9760.40781321,9870.354317629999,9992.95468607,10189.86468774,10272.365153010001,10369.6632351,10436.168243529999,10706.80747002,10753.91099511,10836.2559879,11005.79279652,11259.61350691,11348.56762783,11319.30806617,11569.9593981,11710.41891386,11910.81129136,12070.615351490002,12003.313190280001,12209.51463816,12216.83916738,12390.55454818,12661.451693719999,12665.025356889999,12821.107863019999,12903.427245649998,13059.02901657,13058.512673050001,13314.69863808,13374.56997701,13547.15602879,13665.60234107,13677.89696519,13913.4069633,14088.488236039999,14167.67077236,14225.17847695,14287.831967299999,14454.967202639999,14683.96926969,14801.20200509,14910.19836244,15005.96579988,15095.992531599999,15263.74639678,15374.69271964,15433.84968284,15632.58219775,15670.55619123,15619.23340042,15921.56459182,16121.384880309999,16191.830222980001,16314.26426421,16493.51325585,16474.85292497,16734.3935953,16784.69172552,16901.22868806,17064.68530519,17073.324314399997,17262.19844085,17398.96955952,17431.18125252,17634.43510453,17745.336961859997,17789.19454996,17943.73997755,18093.47219775,18180.637241480003,18394.12643978,18491.83128947,18660.67313303,18660.99152109,18872.31615717,19121.74112704,19403.237706379998
1.5,1180.92849605,1542.0408463649999,1854.669844415,2170.043834995,2531.76515415,2791.64827498,3046.38582014,3328.5991280400003,3597.26313722,3788.6400590400003,4004.500445665,4323.202751725,4451.6378482049995,4702.3697691649995,4956.90191954,5115.1696077550005,5309.2672090900005,5455.376066705,5735.002015445,5917.234722335001,6112.97923123,6231.493054369999,6419.40438499,6631.146707875,6755.64607143,6947.06347516,7051.701788515001,7264.8646964,7450.130040715,7664.704781369999,7814.79047811,7880.06116389,8029.568842505,8171.26442437,8383.722743945,8502.386365445,8607.078966585,8742.181773844999,8904.65267822,9220.471276485001,9184.850161100001,9367.831996325,9558.41599894,9666.745892735,9824.752322375,10009.621648,10088.11575799,10231.786809325,10325.26383891,10450.898179144999,10542.75513761,10787.518784844999,10831.216100585,10881.76739682,11125.47879544,11347.960266785,11419.825389145,11445.073466139998,11614.543804505,11760.37544086,11994.164877674999,12130.05193664,12101.65329411,12255.89731219,12299.1174236,12469.52177814,12757.255279035,12794.213239235,12946.265811325,13002.398182924999,13109.839078314999,13231.002622420001,13417.513092905001,13492.259774940001,13702.873937055001,13771.855933535,13749.05340605,13977.630820765,14164.270300465001,14234.45597855,14304.64263978,14375.12328697,14542.213610615001,14766.744193555,14882.74343332,14975.053996465,15046.088796055,15174.69392459,15329.26911396,15443.78496555,15472.06567967,15683.090314455,15689.102769665,15686.330803405,15992.991787525,16173.181864115,16277.695133795001,16361.02081267,16526.557775065,16521.530916055,16764.278246834998,16896.530167325,16933.172752219998,17115.037554205,17147.099789174998,17286.284371924998,17455.91394948,17481.855445654997,17690.06259302,17822.938178099997,17844.981642305003,17967.496449695,18130.856515245,18226.96263372,18430.951314265003,18538.417950265,18688.200068705,18751.0803908,18916.665657845002,19159.58744539,19412.432067
2,1193.30351486,1572.32050744,1904.4689109400001,2214.25335196,2551.9898302399997,2851.2729190399996,3107.3519996600003,3359.89212544,3625.5356231,3831.97146922,4049.3522339600004,4363.444504020001,4496.95127156,4720.1341253,4990.60474298,5221.79868942,5366.31643916,5474.64266028,5778.59989392,5932.495474060001,6193.19752728,6264.7899923,6470.07699584,6651.87639366,6834.09949538,6980.76781006,7085.31708366,7297.11342256,7496.11030936,7704.9820393,7852.12800286,7909.88019444,8077.77429122,8248.01049106,8412.094312180001,8538.35586824,8656.95216596,8835.0036454,8972.1681132,9229.19302528,9244.04292446,9386.62542068,9584.73566898,9695.69963606,9875.63151544,10034.2686641,10127.8333798,10282.57454448,10376.2267135,10526.7906312,10629.10157884,10831.77536846,10866.85840544,10965.59591116,11257.27141872,11415.047316639999,11491.25506586,11526.2906736,11643.9509533,11837.57320578,12018.74091776,12164.06165558,12175.97691836,12277.99026326,12430.26056144,12560.993535560001,12794.88221768,12866.69594798,13030.714222839999,13068.91915782,13143.982923239999,13353.5366672,13449.59067142,13544.46059324,13760.576437779999,13845.25938594,13868.011230380002,14055.39872218,14194.876211339999,14289.738073839999,14356.0345697,14464.38451886,14575.88995396,14784.418152279999,14941.770302019999,15038.2404654,15079.65127302,15230.96318216,15391.34345142,15479.2357087,15576.6847933,15711.171173120001,15736.57480906,15854.876877440001,16036.19816858,16189.5789233,16319.440994640001,16422.50507262,16558.861571359997,16569.155063420003,16818.65198506,16917.517704380003,16983.17885954,17158.0716316,17191.75890734,17302.57726584,17475.05827202,17529.0294225,17716.37789158,17859.94198204,17872.871758780002,18006.45117306,18142.714792699997,18255.34468254,18482.578053819998,18576.47498804,18710.824305899998,18786.06101762,18977.718271600002,19194.74598274,19428.5409341
2.5,1212.7807708999999,1586.6986289749998,1942.3837393,2238.9543653,2565.305898825,2873.096811725,3144.1024729,3387.727198975,3639.84986895,3889.178446325,4098.110759974999,4397.67943715,4518.53397965,4771.8565563,5026.17473725,5263.595459825,5396.940796175,5517.437491775,5803.12338965,5985.579833,6231.546098299999,6298.7251168249995,6501.594084825,6713.8650784500005,6899.6045974,7035.303635725,7154.198155875,7341.563468900001,7524.7542392,7745.459922749999,7892.2513102249995,7947.076108775001,8172.51029325,8292.671410675,8433.196280175,8589.089860125001,8735.035083175,8893.107177150001,9021.347264875001,9275.828335650001,9290.68651075,9416.20562025,9616.578738325,9726.862732275,9906.540385524999,10082.775527175,10188.489513875,10336.912692650001,10443.388930275,10588.661191375,10716.3399759,10850.360940350001,10927.2670808,11025.32174245,11284.080882625,11442.53563175,11540.187470125,11558.978153175,11727.11665075,11885.112322175,12045.537460325,12215.88466965,12239.193101949999,12334.914748000001,12485.767382725,12622.137793225,12815.323305225,12921.137765149999,13069.0647699,13123.3745372,13188.672148975,13372.25294815,13509.493506050001,13583.517317125,13785.576352600001,13901.807755975,13956.628137175001,14105.248250825,14245.6098036,14323.791555150001,14411.18553385,14490.111449650001,14643.225486325,14814.893597925,14981.2137018,15092.2058744,15140.100113775,15271.119030625,15453.444191275,15513.568642225,15604.367677100001,15745.81290625,15771.8288481,15894.484601400001,16106.959224875,16197.979248275,16367.33675975,16446.810496749997,16635.486380075,16646.799314649998,16845.70877385,16964.724099575,17018.6336949,17189.032901925002,17220.648159074997,17339.31497125,17536.529243425,17572.313852075,17730.079779875,17882.174117299997,17896.752605475,18043.569887275,18193.983637925,18270.222506475002,18500.59759375,18619.33980725,18735.108588699997,18821.033087350002,19042.657995650003,19220.798587074998,19433.392144
5,1293.75078995,1654.6556848,2004.93631895,2353.5566841,2684.38757315,2950.39509,3229.96642455,3478.2706431,3730.3829970499996,4000.620912,4246.8048822,4565.42171905,4637.15934885,4873.698440450001,5143.3576988,5368.259957,5562.0090685,5666.48651815,5928.16434785,6108.985046700001,6321.412350150001,6441.9504977999995,6650.53320335,6848.5459387,7016.223454049999,7149.939945,7279.5595899499995,7438.8877876999995,7691.9438628,7841.537814,8019.619686,8137.0258393,8300.34096465,8419.08062135,8602.537335199999,8725.8958568,8886.8552119,9043.2553358,9195.3704376,9420.0727986,9449.30151915,9603.4878279,9773.83453845,9883.619695050002,10063.2761651,10231.470355,10343.571773799998,10493.20888475,10609.40821555,10757.004540999998,10856.6306583,10962.75453975,11127.955079399999,11203.38856875,11444.1043358,11583.300272299999,11660.521737449999,11725.8452559,11904.6416979,12029.482431550001,12172.56472465,12362.637505100001,12402.945784399999,12523.44720275,12647.927748150001,12788.53858185,12946.342582750001,13140.5238271,13183.50976395,13308.3582987,13376.16571585,13566.2441784,13702.86426835,13772.81828595,13927.074233000001,14015.07567325,14095.3057121,14273.3918333,14358.8730678,14471.1186514,14589.80820025,14686.75213255,14870.4052832,14972.524724750001,15118.556456799999,15248.022819099999,15275.9577407,15413.1600168,15573.007115850001,15668.4058382,15736.52523935,15867.9138742,15932.908521199999,16086.1058822,16263.95108355,16334.51867275,16523.628839250003,16591.8238535,16727.31571745,16780.3231722,16948.30466765,17073.339854550002,17117.1328374,17272.3612598,17386.28653785,17474.8257992,17627.941093499998,17720.2622562,17844.94730865,17975.58084525,18032.1649967,18211.28678015,18288.235936999998,18457.73553595,18583.36092205,18705.567278950002,18810.300677850002,18938.120656799998,19118.34113625,19257.16301385,19457.14626365
10,1350.2176018,1726.1125323,2092.5788616000004,2444.8407125,2772.6530475,3050.8132069999997,3336.1454007,3604.0980673000004,3883.1174404,4114.866918,4374.1291762,4686.2042091,4770.5494963,5046.904604,5262.656643599999,5489.5327831,5720.4165701,5862.5214237,6088.2774917,6279.3390573,6453.21541,6597.3965321999995,6814.3227483,7001.8275625,7149.4305355999995,7317.0783507999995,7471.1479924000005,7606.7313225,7837.7672305,7973.8867011,8222.230323700001,8312.4163609,8502.515002,8642.5616679,8790.2996815,8896.201180600001,9065.3003262,9203.5652505,9337.4208016,9576.204984,9634.3740729,9792.2950804,9942.2144942,10088.285183700002,10221.7285774,10452.4981367,10538.2342094,10642.5499819,10793.3943411,10888.2286475,11051.9816321,11138.2312458,11317.6411348,11405.081307,11629.7811553,11744.7731025,11844.742804200001,11951.3080015,12083.9014151,12246.9532946,12362.5001933,12548.1233462,12563.2629397,12727.370254399999,12882.2699747,12995.2294389,13134.6315015,13258.1269742,13371.0259938,13494.646678000001,13596.785364500001,13731.1081153,13871.8730579,13926.5581617,14095.6644474,14201.547236,14301.6735093,14456.471021899999,14545.4383408,14640.951015100001,14755.8245675,14884.299269699999,15043.9225185,15115.1964753,15273.1608818,15377.2157112,15489.2595651,15583.6777001,15710.776683700002,15835.757737299999,15919.9098708,16041.0268624,16102.0681437,16234.7222463,16416.4362982,16480.9472824,16608.4388835,16750.846012100003,16877.1119355,16925.428498499998,17056.6756514,17196.5481899,17262.749785300002,17409.781383,17511.7338597,17610.6090808,17742.4769806,17868.266144100002,17960.7288162,18095.1730741,18170.5417125,18345.1672215,18425.9500794,18569.537570700002,18679.074238,18824.0575209,18894.520837,19048.976623000002,19185.2777351,19323.4516368,19473.4992215
25,1467.53256625,1883.82582775,2258.49608775,2631.4990515,2967.828014,3249.11488375,3573.39583975,3836.4625834999997,4113.2088525,4360.80806375,4620.004081749999,4889.024486,5062.1415505,5312.7295862500005,5535.9047415000005,5773.714877750001,5956.68070425,6122.18766025,6350.90719575,6524.065026,6723.3054059999995,6882.82093075,7106.72692275,7307.2223725,7441.8985375,7606.92288975,7777.99535075,7936.5966055,8124.154905750001,8261.89568175,8537.682779499999,8594.81946975,8794.683342749999,8935.19443075,9087.294658750001,9234.067223,9390.25431575,9516.4791685,9676.013063,9887.7415595,9967.9765665,10130.59220125,10256.273991999999,10406.786918,10556.654413,10710.85917,10852.13374025,10990.97542475,11128.5885905,11231.0650895,11374.49593575,11452.98849875,11647.75672025,11734.75165375,11915.711839,12042.00835,12159.38730575,12268.8654775,12437.82811175,12571.07221575,12686.1346955,12836.2120215,12882.14944775,13044.7894705,13179.20606975,13304.08238675,13417.19235175,13554.2707705,13673.9895435,13772.23822075,13887.914169,14038.746321999999,14133.02955725,14237.3061335,14378.69337275,14490.969985,14622.672577,14717.33492225,14842.64396125,14902.879893,15062.56267225,15192.118264,15318.90631225,15431.203648499999,15520.825850500001,15661.18047625,15759.700567,15862.62663475,15957.64089975,16075.777506,16188.64945175,16304.89716675,16389.4828385,16486.73944325,16664.547039999998,16737.04841875,16837.972947,16968.43639925,17092.1252895,17174.900169499997,17277.321765,17414.806969,17489.53232075,17623.55587425,17712.98946575,17846.58193575,17962.969281,18055.647106999997,18144.302825,18284.416232,18371.018113000002,18497.207028250003,18608.8140305,18715.59533275,18802.32978725,18939.208331499998,19033.7382775,19159.62005425,19263.640111,19376.300173000003,19492.014386
75,1761.572982,2235.68527425,2690.8497555,3083.30132,3429.85707325,3720.649076,4098.1164825000005,4386.624944,4630.03313,4954.09941125,5209.59190425,5440.19634975,5645.038389249999,5880.50974925,6160.08223825,6380.88455775,6618.67028375,6794.43564125,6995.81914625,7199.134035749999,7396.44503825,7580.18082125,7750.46032775,7907.15025725,8158.75985225,8313.29275225,8500.3505,8665.068686499999,8817.045056250001,8976.555095,9180.9883625,9288.056582500001,9470.928216,9623.114523,9766.786095,9956.74969775,10092.14227025,10243.696392,10409.0751655,10562.507812,10631.786645,10815.136544,10939.493403,11125.303343,11225.7446355,11355.9800775,11539.75148225,11653.620439999999,11778.5893255,11950.6842665,12075.075542749999,12166.80310525,12320.95500075,12411.412287250001,12607.636602999999,12696.154556000001,12843.963337000001,12939.63894275,13088.3606245,13220.214674750001,13312.3375075,13466.3100185,13543.5071585,13718.55495025,13823.786970000001,13949.1044995,14056.87111425,14149.421266250001,14285.115110249999,14412.440413,14503.52915025,14614.90724275,14761.78827225,14870.00224225,14990.45231875,15109.64269325,15189.1108035,15308.2264545,15436.782100749999,15508.04990425,15643.028034250001,15748.01948175,15859.543929,15966.75770825,16066.946411500001,16187.554716,16295.692325,16397.14453825,16522.7953685,16582.68874125,16694.314989500002,16806.8763865,16913.808734500002,16991.296212,17153.0409305,17212.315384,17315.557797250003,17423.838847749998,17518.962578,17606.3952965,17688.670107,17808.169576,17909.578096,18021.901757249998,18102.84145,18203.978736,18290.72664325,18383.66439575,18487.5349365,18574.28362175,18673.534259250002,18764.6161105,18851.7128065,18953.567851249998,19031.104783500003,19121.20461525,19202.330535,19292.8126425,19372.38488925,19449.2647335,19513.020036
90,1920.1283657000001,2472.0623127000003,2908.6852127,3295.0370468,3683.8794285,3956.6288724,4340.8512407,4651.4433539,4929.8593164,5221.4034211,5531.9016995,5727.0973436,5992.6820068,6219.3692255,6481.3790474,6684.859719200001,6881.1838924,7109.1818278,7293.1583891,7508.3392601,7747.4579776,7862.1152356,8086.4623802999995,8249.2311764,8443.5475451,8582.9312094,8813.6566439,8968.7185258,9129.5874018,9296.6624224,9480.904598199999,9610.9636855,9781.3734129,9927.2069235,10057.3026059,10203.170673300001,10403.0927139,10558.7249671,10689.4392595,10846.2662822,10973.013812399999,11080.0346893,11263.4306485,11426.9933521,11571.5315429,11645.2099655,11803.8747602,11952.074955099999,12064.9799836,12189.4289976,12397.874495099999,12451.7468627,12601.0806057,12705.465989799999,12896.222706300001,12980.5907748,13142.7706858,13232.4641563,13341.7156288,13489.4458238,13597.017670199999,13722.6791718,13838.0562609,13971.6163929,14071.4094599,14223.4211544,14325.004266299999,14407.3257064,14514.5002002,14637.6182854,14741.375362300001,14896.5858972,15016.4441166,15104.948686200001,15220.522620799999,15363.033946,15423.8559087,15553.779911,15689.543642999999,15777.1904584,15850.5175784,15971.120727099998,16079.7785917,16165.9673002,16264.484920500001,16408.4997556,16492.711816,16606.389963600002,16711.67157,16766.9087128,16891.3511187,16997.5439734,17081.345758800002,17171.8876438,17317.862158900003,17367.4817554,17476.093521500003,17581.5503386,17677.951816200002,17762.7443792,17871.6136197,17959.340968599998,18064.30714,18153.4736195,18216.275631700002,18318.767446100002,18424.804641100003,18506.9719222,18586.340871800003,18675.463696299998,18764.437345000002,18842.6444522,18953.4396764,19031.3916763,19092.2552332,19184.3376379,19259.768361000002,19334.5184697,19406.4521483,19472.4183067,19515.330588
97.5,2136.8153018499997,2696.845300475,3161.5080289749994,3578.459212325,3955.920375,4260.641684825,4634.91336815,4969.4413317,5247.852780975,5484.191180975,5828.7593759,6061.456829375,6287.935034374999,6572.7310365,6769.992576925,6989.9635231249995,7172.3943079499995,7429.29206205,7589.67302905,7796.217241725,8065.485513725,8264.658020925,8420.420822875,8631.613712925,8746.739682225,8909.885245075,9079.664993924998,9308.822498075,9438.467725125,9570.589252075,9812.75201335,9980.960345624999,10079.4883864,10287.030760124999,10398.0106608,10493.446550725,10707.369986,10891.056491075,11023.8475761,11146.873596875,11352.09842705,11365.485778525,11559.785768525,11744.56691315,11833.8821606,12005.795893249999,12076.213462975,12277.61602845,12321.836720649999,12514.379629975001,12709.899884775,12759.032627625,12896.508923849999,13039.143223575,13188.626338125,13342.423985925001,13463.674094574999,13554.357261525,13691.623516075,13788.2647897,13906.91804685,13984.53274895,14131.70322885,14244.539557025,14296.94186975,14450.083089825,14638.897650625,14680.20646125,14772.5417521,14932.115313925,15048.016882675001,15153.51943025,15229.833104825,15327.281656125,15469.693790424999,15611.232563025,15690.337000875,15783.019261399999,15902.257541775,15978.249544299999,16051.6243067,16138.541154325,16280.319731000001,16398.071876625,16484.041536325003,16601.064927525,16704.05896925,16791.96324705,16922.997368800003,16959.298513225,17114.174694275,17202.516303300003,17285.244540800002,17356.037700925,17494.119922625,17544.06975,17657.94465505,17738.514036325,17838.1518421,17904.524510825,18042.1013022,18098.659225825,18203.85483735,18305.734243625,18343.911892925,18449.784942275,18542.928094475,18614.74259465,18690.121233925,18788.93753295,18858.267382324997,18920.925686525003,19014.064579975,19103.399409974998,19176.939103675,19245.714026125,19306.266685025,19378.81455675,19431.4337685,19489.444724874997,19515.83207
98,2146.90522936,2719.5814668599996,3206.92314758,3642.9253360599996,3976.9531356800003,4273.07452356,4667.75586232,5026.71622578,5298.77683134,5555.62011108,5870.645505439999,6088.5995229,6315.79486312,6605.20906094,6812.20809154,7008.679635500001,7232.45111628,7484.21947308,7628.798497659999,7834.7966241799995,8097.244519219999,8317.0010191,8481.766896239998,8678.02825128,8792.247372319998,8976.02707094,9130.23273746,9367.514158420001,9461.1814561,9602.99683656,9858.410479540002,10028.41370886,10108.17095116,10309.28719328,10456.505199379999,10548.201068819999,10752.92563328,10904.7349817,11058.1737338,11199.19235776,11415.0567177,11394.057915559999,11589.40126368,11774.85348406,11870.96518628,12039.739679280001,12093.65986414,12342.45864418,12359.58358906,12550.12453992,12729.64761354,12774.80345686,12942.88512028,13075.7221683,13210.0888351,13357.19682312,13481.090919119999,13578.91633068,13709.740503340001,13813.534820199999,13938.1501715,14020.751295220001,14175.82880882,14290.78571732,14326.20641918,14508.251234199999,14661.46553254,14719.76495072,14817.062536219999,14950.773474919999,15059.45588322,15185.598945079999,15261.74905244,15364.03692138,15513.18662032,15663.0458285,15711.431919139999,15818.2351643,15944.86458148,15995.37684204,16060.88451254,16158.01287008,16298.974957119999,16419.4411159,16494.98642652,16622.0425648,16718.88699512,16824.2131993,16935.811289600002,16986.233350460003,17135.47188716,17228.267717720002,17312.59831944,17383.76529846,17517.6308057,17558.46450284,17671.15732736,17750.651021640002,17859.80809606,17913.3154216,18055.61479638,18125.864299480003,18205.93750298,18313.34369782,18357.931196420002,18464.344896180002,18551.34795332,18628.53269892,18709.12097142,18809.01797898,18871.6854228,18937.37555314,19028.306729480002,19109.686525639998,19180.25505168,19255.051073339997,19311.26293696,19385.11613532,19437.242010939997,19491.89009904,19515.83294194
98.5,2196.87986767,2772.66008839,3246.7403311549997,3662.3511494249997,4035.298964055,4363.58452222,4703.67724469,5101.751509985001,5348.31257859,5581.927247295,5962.68680317,6140.574309235,6341.721440419999,6652.60369888,6851.294811995,7039.94823814,7262.85355122,7518.257002505,7688.815486795,7947.709236244999,8147.757561519999,8349.058754214999,8490.54471324,8696.556448725001,8870.624122535,9029.533767755,9172.17838143,9426.360461465001,9511.013203715,9654.934665395,9902.91815641,10078.962749405,10141.569730860001,10335.881004515,10511.84907249,10610.715943965,10781.524670535,10987.929643970001,11082.335990855001,11238.270408905,11448.08802207,11444.385271995001,11624.719122819999,11820.28017648,11926.66188529,12113.355686204999,12147.676870775,12371.74795014,12423.550834545,12608.610479525,12765.707050755,12853.964623775,12971.59367396,13102.90860086,13265.749096189998,13431.346796335,13506.159721045,13630.0908799,13761.044677015001,13852.838444685,13987.106433250001,14058.517709275,14213.755698015,14358.518806060001,14349.684516635,14531.954761105,14714.52237457,14759.915430095,14840.73178923,15012.123507405,15099.131701895,15240.97799432,15296.594412164999,15403.725825925,15554.45761765,15674.868459225001,15753.482347095,15870.840659770001,15978.284473579999,16024.85477027,16098.258244675,16186.741513585,16339.62250566,16451.06573446,16512.675782865,16637.893929545,16753.459144700002,16865.212809165,16954.19959238,17020.32694422,17175.211864124998,17263.549730445,17341.28487745,17419.22873953,17539.837133575,17566.62468546,17701.91386178,17776.78056925,17890.41921504,17939.793794665,18075.7269691,18165.235989695,18222.012637155,18322.08591536,18386.115509615,18476.158025065,18573.911810424997,18640.048953215,18720.021152769998,18822.21560304,18889.03634798,18960.074202444997,19039.98102095,19120.12177949,19186.50976361,19264.159057689998,19318.52135322,19389.771360900002,19445.011645609997,19493.34383148,19515.854855
