,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610
0.5,205.2619578684441,221.2850418367621,227.42316212239504,227.359152791633,235.28928996063172,244.07147227448695,249.0972408054746,250.82357385653512,253.48347452106108,252.03768425520525,263.26006347929126,263.12072575786584,262.73117462885256,260.13428325380517,273.5209872891326,271.0675087640564,269.2311639622274,272.3592144878787,273.4291963814068,275.3367848930278,277.83863244387624,278.9378872286175,281.07686753984075,280.30711291958585,280.1326364461107,279.7659293097584,284.3840806296903,283.8911191190346,284.49701769258667,284.77361383357743,287.0914042788675,286.7195847933826,288.7590615051555,287.82662651609826,289.2482185476303,288.80982896718916,289.4423192096715,289.1103384281254,292.99801664069173,291.9222502055344,294.0675283797277,292.2508527849355,297.2673323679349,292.8885201611922,295.63248916727633,294.65900632025375,294.33056886018574,296.7091923867666,296.60144885192295,296.4233173246728,299.9146310313091,299.3094600874654,298.48305898476593,298.49675613344544,300.60699815816264,302.55892420210205,297.97116810590427,301.25241163625395,302.32117292300813,300.9843759515217,303.0443489200519,301.6075821578451,301.08298937479327,304.4713029792114,303.55858491572087,304.60109912599785,304.7351236469729,305.8319948939188,304.2079862941351,304.09639634898997,304.77797325370045,304.41094600731316,304.0336292331453,306.5720996610806,306.69149350522446,306.51119610940333,307.5470609131411,308.138537068437,307.2081477281453,306.8444786082578,307.53856871778237,308.0007623788316,309.24830636542106,309.75550905119354,309.39168348060883,309.8579961940745,308.75898680887497,310.0064313053798,310.76077776574783,310.76876488106893,310.52921690313923,311.22646857246247,311.3856012664287,311.8518444958043,311.272081519893,312.55963828540666,313.4332195792204,313.31150563501114,312.8323783317392,314.24212971054885,312.2286639379621,313.83722865906793,314.621169416054,314.33524575263925,314.12930018309527,315.3053369415117,315.44502882415145,316.2454118601598,315.8379951051774,316.8572241288418,317.61163757055374,317.04356489796504,317.5046119043634,317.94667253793455,317.9428351026458,319.56498776581117,319.9845332352827,319.81712333247117,320.3517436004707,322.0457505097475,322.510145992447
1,211.8546094137779,225.72051542838105,229.22711262147374,229.337920894467,247.32397426866655,247.1913010010754,253.52299588634583,258.6221867909295,260.81954238975527,263.0461754096164,265.7576240432942,269.3947427385676,270.0659740605175,271.13910058523953,276.9653330317725,273.31301184898,274.0750076468786,278.06178911258195,277.0260738285677,279.58887880460054,281.3163824067158,280.97313882301097,282.35098210576285,287.2150126777959,284.57973358806845,283.71786415837056,285.4915783329378,288.04610381991915,286.38802840952513,288.1266590657932,289.4560477346436,288.12567128728915,290.45046953595136,290.80966090398016,292.2538258537242,290.86764866788025,292.6214931361175,297.1761446735646,295.4717776700614,293.6991115652377,296.35059038411646,294.5404108243855,299.2091826448639,295.0461881050234,297.5605406078622,297.199775884196,296.53584561420104,298.97554658902294,298.1566977540579,299.78609941605134,300.2466493184919,302.0246835582411,301.2939665285525,301.3258134726782,303.39163006220815,303.1633187652445,300.63998856199004,304.19202750581303,304.1230293009667,304.408250607035,305.3530201911587,303.14017012809876,304.26878769410195,305.79674323994,305.39726590146427,305.5119831473619,306.9158807807606,307.192993039895,307.2757150741455,305.9867281032144,305.7859246990098,305.9570829367027,305.597988880535,307.57487215731567,307.5130674346243,307.3757927764961,309.7640015256335,309.241260634851,308.3332739660851,309.1059978194153,308.9846512410214,309.22186653567826,310.2294048058876,311.1330716336822,310.2334167359312,311.09699908524357,310.7416171029862,311.30336593437096,311.9361714465372,311.6926239033825,311.73125911124765,311.9908763032735,311.8373882929741,313.03301123615097,313.2860590578248,313.80367164893454,313.97306875376626,314.15977118185333,314.3906702102161,314.64081290143724,314.5324674371678,315.7226038843789,315.3223853481689,316.32907823159286,314.87909294990715,316.4287005460169,316.404595014497,317.03499671412794,316.68240080646854,317.65784122075337,318.2604272070188,317.707226162168,318.89375432234243,318.50215569101186,318.5007256399973,320.14513433149364,320.45652060365194,320.8193369973357,320.73721842817804,322.2803426953404,322.510727424324
1.5,214.12019893844402,227.05763953952385,233.8661570645,232.91746967413303,249.64094852625294,251.95445784364742,257.1577545995959,260.25994128972724,263.97591455104885,264.3090205822556,270.34742658679903,271.5045851410484,271.65587442301893,275.38481492664914,280.80381876911247,275.51640206427146,276.03409021042035,279.861607218087,281.88307122640003,281.96390692612835,284.41479898281824,283.77364229381857,284.4512133579744,288.6050132783755,286.177915412178,287.1307795285853,288.7697619441229,290.7643886528393,288.1675165042659,289.82108509862127,291.4835299908262,289.69861148159373,293.28877351461267,292.9594179935399,294.99145936878375,292.0720729189238,296.2087142270305,299.0967761973467,297.58991043025156,296.49510051188304,297.34101431110986,296.53408732046375,300.25879993338623,297.98589628570056,298.07309816508865,299.4678878263405,298.53087743022434,300.5059233008123,300.45591831756616,300.3706590908689,302.0151844434103,303.51261760899405,302.9383011411332,303.43575605890834,304.2445989139898,304.5722264614625,302.6148060619774,304.8187867526703,305.0891818089153,305.99544801545824,306.285299377005,305.39925226592914,305.50602770548375,306.13110268158863,306.41517370239836,306.6591176623324,308.2414617453329,308.3000061602969,308.26529367271553,306.92381267832013,308.06475457718045,308.0010299672837,307.66739663404843,308.861660670022,308.0892616576705,308.5723766752565,310.56572426677576,310.11160099877947,309.1117235133873,310.1949391314821,310.58791797300154,310.6357128769215,310.8205654452927,311.92431952506496,311.120839974233,312.2933443225389,311.63865186983713,312.21291571531293,312.3865729222683,312.3981489423322,312.8675269139997,312.5297591670357,312.28277603984003,313.9445898184438,313.95855336084634,314.83757719582854,314.4749989813691,315.04736082622037,314.8080737590046,315.4636731752952,315.2294956827909,316.09818784384095,315.96683333109326,316.8764683678445,316.3278654811437,317.00917600390585,316.9841639189858,317.52952880820294,317.17181271545525,317.93958623313205,318.47435021447484,318.51808868602467,319.3395344001457,319.2568338588081,319.38568657825084,320.3598464383998,320.81723664635996,321.2072954114291,321.219440611819,322.4902706565375,323.6646313871994
2,216.74235048400044,228.57010711733355,235.55068892831568,240.702259818933,254.78078827632217,254.1028692513617,261.3259695647945,262.1714798317579,265.18564751072694,267.87124875827595,272.5626614287232,274.7413382214035,274.7742472817719,277.5996765960939,282.27601926056934,278.4624222128399,279.48172924368504,284.22848565924284,284.042744874865,283.5595682303075,285.04537816186496,288.1207869836154,287.69017562913695,290.5574616974556,287.79618155972844,289.7988073021908,290.16699908687974,292.34876940196557,291.00057304882654,292.0367171536527,293.8959076291856,291.5851289191781,294.92217091633705,294.34821833072726,295.49198642842805,294.8316943098915,297.4751199349699,300.7500653939603,298.32240499725486,298.1643179869921,298.82535242793335,298.26110624164494,301.61793368744225,299.156116527616,299.8461169436734,301.22560894722994,300.24133263441524,301.81719859910316,302.35025235008237,300.9219336550882,302.4929817656885,303.82180979866024,303.68441065259805,304.4052217906727,305.1658121878699,305.85954923634114,303.2516369351386,306.093245641679,306.15742427979774,306.53341960590575,306.72322597568206,306.3004892762376,306.4606813254418,307.78839046928266,307.36110809738835,307.76926878897916,309.3569499732063,309.0646393649219,308.72364924062396,307.9003163580122,308.722805534819,308.90691316394924,308.45029522733444,309.57430262116816,308.73348160037546,309.5556698262667,311.46379877811887,310.88809947886483,310.33311500984075,310.8928341593432,311.2203147760741,311.57607094507904,311.8537606131266,312.41715755836265,311.4986801219696,313.20498508434525,312.5361593618983,312.89069957673337,313.0188910664182,312.85084304708516,313.4966209289015,313.3167419222177,313.3710157483773,314.20724806674895,314.5359891045295,315.26200646347166,315.15061621276146,315.49388884674113,315.5628024212123,316.07149549647437,315.6161248309253,316.63491902051425,316.4238681802531,317.58968866403507,317.01745902364087,317.268629925258,317.1728633207401,318.1125231253642,317.57326178378923,318.2680203906298,318.8598326854286,318.9476182580025,319.70357500272604,319.5547388948985,319.8919925477671,320.6835640179434,321.1047784105201,321.3428061177073,321.6229060850689,322.5668742230117,323.6652631916864
2.5,217.63805410388912,230.67971801952413,236.64020820184172,243.11499961983301,255.32333669873555,255.89041732958017,262.29689597346163,266.5546622246465,266.07026436428555,269.08490907757533,274.23395162912385,275.8800901788702,278.26113308776405,278.48163958443195,283.24693819784795,281.8409730277735,281.9717977233276,285.60413110050416,286.4780665270199,285.10287400236297,286.5899245025026,289.6174372774071,289.3420275696427,292.13022481540656,289.9847854942933,291.37598132327804,291.1363813339025,292.99652136797897,292.1775394429329,293.57726925020955,295.0366040145283,293.0024076792052,296.5297804630319,296.10526297441714,296.5779434301922,295.9797846176553,297.7538905813537,301.7172256336608,299.21329458574365,299.7638148667003,300.0027303166325,299.42937467080617,302.17326140198884,300.3310426137204,301.8540355072729,302.5546825693454,301.1790424755895,302.51430209511904,304.0627599413229,301.8862570736448,302.81808784635587,304.56619599999283,304.40670138043356,305.05542743629485,305.7410136788968,306.33784188501,304.0632794989999,307.12962948226937,307.61264316019486,306.9990931604025,307.2272236220843,307.4000280705332,307.13126819855637,308.50915285679946,308.1655871382506,308.1426996086599,309.50630940836356,309.6895216140665,309.6321024384458,308.99469885004316,309.85401776589237,310.0554316231466,310.41846634886116,309.9469051740146,309.38470783536667,310.33780504328166,311.7148715424553,311.16596566106006,310.83421435345684,311.5143430454491,312.2994920950106,312.0174440982138,312.793000304973,313.0238482676961,312.06950757111656,313.8084950699744,313.0876943965944,313.5876925406308,313.5824148602103,313.3353505382075,314.52223610308425,313.90380058345255,313.81021853689276,314.53594145855493,314.8779251412273,315.52866986293895,315.498984347623,315.8867749881736,316.1538853087966,316.3419505967917,316.1774628296636,317.06120569501905,317.11411282569514,317.8558719093926,317.2506226693219,317.65279949927174,317.8235583043027,318.39126201352025,318.12371718467017,318.5409475818579,319.1325218172804,319.1445242218565,319.96950600450396,320.21620146779065,320.1208468095031,320.7538354406639,321.2063743151991,321.50055995087575,321.69973523494104,322.72836645266267,323.66814187253
5,225.6836777311112,237.2786657457142,252.14144023815803,254.75101964666635,264.27146771195424,264.18918934957986,269.4681630365385,274.67620094141404,274.5403166332245,276.52692300754165,280.6908118493503,281.1491787385572,284.1916435190888,285.352142562378,286.78648151219977,286.4957823160788,289.0999769888764,292.09708639482665,292.85605172781817,291.84603897752737,292.6913241057713,294.6871422933942,294.5395930792228,297.18047511362545,294.7830858423671,297.0075444092428,296.77915666716865,299.0888682516863,298.41454250496645,297.8347772013321,298.6794859769776,300.1118174642645,301.03378774397106,300.5612178450642,300.04324453197046,302.21433335173356,302.17417496742166,304.2636856343962,302.691961967827,303.16408586383085,304.3027997382528,304.3261267452686,305.27348895975115,304.3926239225993,305.98643688689776,305.695856532191,306.0072904033156,305.97010269740025,307.64626091576065,306.2674901854781,306.904743628745,307.5172834244171,306.8796729345007,308.18670013153854,307.7277187168432,308.84822592251055,308.0133082482775,309.1259468172494,310.5266394597373,309.6984150078346,310.29268530245827,310.21305564157126,309.6107368779014,311.1325578651629,310.69992944697265,310.73857314846015,311.82096047195955,311.93692169194463,312.4030512756014,311.77457154120907,312.06288398122683,312.9508888554754,312.3034567396532,313.1238023472513,312.20910335876647,312.82350583428536,313.86060162479055,313.5130555078368,313.7280946169068,313.4965902695658,314.0205962398577,314.53869630648467,314.73809732357387,314.8259849286961,314.61465824959845,315.18571362615927,314.90595128149386,315.2221669852433,315.19251695988385,315.69674643549644,316.0400453246562,316.0231282226323,316.39527785589723,316.28511230037935,316.988585601349,317.10437724648705,317.19046446517035,317.67306519176014,317.3954937739416,317.6366297233978,317.5219453359007,318.1625036830008,318.4010369923098,319.09861117001407,318.4321745534906,318.8205060962043,319.02919532599094,319.31662098464915,319.61561064872586,319.6977735671923,320.15715590343325,320.442266909192,320.73254791731506,320.94558398930246,321.37142081801943,321.4663685953409,321.91492697388924,322.236283507326,322.5585690583916,323.2220482399395,324.16136640463696
10,233.2733385577774,260.28815974095255,260.1134066278949,268.6938655253336,274.2383700634483,276.01369947058873,280.9660307816666,283.4085030478785,283.7503622595105,286.6865854222227,287.87187855435013,289.5892613425962,292.2458380213251,294.8334975603602,295.295389821013,294.03395230689097,296.32841917862686,298.6241989140427,299.46009525822177,297.0043719932601,299.92833180216877,300.6667605916703,299.9590353208542,302.0428221542968,301.98710188980374,303.37582856868994,301.9955015496199,304.2957212196556,304.1547209979867,303.1536707821201,304.6554588145127,305.42145942424213,306.34280294465043,305.8240878770442,305.9402826615892,307.29364026746157,306.7814702315173,307.6108556590217,307.50337276920123,307.5753884549017,309.4930066662248,309.2677383862119,309.0018744143502,309.0486194230395,309.9911332743235,309.5403043810147,310.0147065208931,309.7228761901576,311.2396428002414,311.2839119565846,310.0903143926638,311.29045001016635,310.3605892348124,312.4766655960929,311.42817089877093,312.24139841322926,311.8539933705835,312.2401326471486,313.3581827716544,312.9494386044736,313.1301299325526,313.9783175982244,313.2356836013616,314.2900586377516,313.4401939690709,314.3606964796714,314.9836875402658,314.486126938551,314.76859086166866,314.6203176255749,315.4223931089536,315.9405763735568,315.2425249482251,315.37708572809464,314.8293587521063,315.4463187080247,316.491643704742,316.4453177234007,316.6049178573071,316.41810996888853,316.3777971467645,316.499777389786,316.6921338743257,317.0665491239361,317.0763773106634,317.0404962285374,317.4023862262682,317.7136374677252,317.4870932977109,317.49489721659467,318.3729176017086,318.3035493650227,318.8364056263526,318.2743315309687,318.6258659168014,319.0153715868978,318.69707507340377,318.93626361042817,319.2709368364949,319.4443762587789,319.479980957957,319.8754522667142,319.8805674774926,320.398393275587,320.1097345119358,320.4482465707961,320.29434986960376,320.723061247818,320.69687354937946,321.1844347976247,321.3947104840127,321.6289208000323,321.7143879025963,321.96661147109035,322.3238073454348,322.25889887599453,322.5920448166853,322.92995004435215,323.32213996104434,323.78786151835027,324.493997651662
25,273.6844267944448,279.2938739047615,286.25190862631604,293.08701313666677,295.044825097701,298.80767916554646,299.393713868269,302.34268396666647,300.452085024082,302.81169990168377,304.79197146638427,305.28524901754827,307.2374669987577,308.3663154843243,308.42533675419276,306.6128419627453,308.641955146317,310.7722809520715,312.7223546770705,309.36308235805876,311.6304111836527,311.6597463308165,312.66498413722024,312.31389100690353,311.75015123214075,313.916518420232,311.91695289218876,313.0547420455463,313.32685390852373,312.87521396883125,314.06737560452075,314.2505019337768,315.3375704644973,314.2444023730707,314.4569939147893,315.97161359353726,314.763973956154,316.3885732094898,315.15276814038975,316.1323209269725,315.9573398622805,317.0247078543362,316.068185547302,316.175026687897,316.97053566361296,316.56381661836724,317.22417915299025,316.87878785515227,317.486317419157,317.96783325484023,317.71763489800975,318.00265171893955,316.79691404953223,318.06010000343724,317.6422700950975,318.2556627384852,318.1980238399898,318.33214421097625,318.9305303733057,318.375532346128,318.85874252892273,319.2717445181475,319.06442925712224,319.2244613336845,318.55910469026475,318.9725549078113,319.922625532687,319.4839448794655,320.10586921199376,319.6342483183655,320.1690228462977,319.9354485741455,319.57811004404846,320.04548197927977,320.3393224706745,320.33703227074574,320.1213599563215,321.4297926976483,320.5022418347275,320.4074876917305,320.35510204032124,320.68799622459125,320.737500171437,320.49715291179825,320.42082567211776,321.147650612988,321.325131626245,321.11900103985727,321.172919057587,321.409128748182,321.85987393802725,321.646919436068,321.8076169897995,321.4644565314365,321.80678194099875,322.0153939631123,321.9775398050267,321.95702303262175,322.23253890565775,322.25253310248297,322.1168382624255,322.53240790617303,322.4760493046763,322.8828238819085,322.45678351866496,322.9719193069238,322.681376336972,323.0570283224465,323.074228322287,323.4451323868767,323.36226719400554,323.2963975816542,323.29340379273424,323.54257017378876,323.74214562019404,323.7835868731617,323.8722945138685,324.161932494641,324.3401018104678,324.4820989195585,325.0970041351355
75,373.74815849999976,360.8485956857145,357.091263948684,353.06696541833327,352.143467324138,347.070094729412,347.49459498942326,347.7027117338385,342.646435716327,342.4949834090912,344.64230098121453,342.25357350817325,341.80567437877875,341.2809301372975,340.4592098323575,339.89240987142824,338.455928942135,338.89952847939503,339.23908919434325,338.7905842171242,337.24426145879926,336.19458999984727,337.96143106022424,337.17913000451597,335.85218351350625,336.38929188247675,336.93258812492303,336.1402630495693,335.79250183105154,335.0852895744033,334.474009543848,334.7470331196232,334.7573342184475,334.98652286732323,334.2779382592647,334.1405354695655,333.0985418787527,334.521483017605,334.07086921087927,334.632027687183,333.67316355893126,332.496208666029,332.311735499772,333.574523100615,333.72550707385574,333.6591592469905,332.75414559937275,332.55251507863795,333.638903165462,333.051771611657,332.14499533850625,332.81072178907925,331.94707133570853,331.87894923167875,331.8380549049095,331.67899931048925,332.045123930319,331.975888967301,331.75543310138823,331.59057497201223,331.4947239270957,331.02907584689126,331.13263499115874,330.7892205328678,331.1137928794,330.763900073349,330.67344158483024,330.75248267836224,330.38555950772377,330.35492587658973,330.6919017219748,329.82518191941125,330.0451563269065,329.90533804776476,329.7914956080128,330.2885403955835,329.53598663041,330.18258331327473,329.660813975677,329.53905828423797,330.0492379300615,329.21245308060026,329.43822984847424,328.54828632227503,328.699494029081,329.20936529547123,329.016952093609,328.87163351620126,329.052246314662,328.9151233610787,328.98871108459826,329.00802046516503,328.626692626106,328.515031076829,328.33497240531324,328.4829155933545,328.37270195523126,328.2915638072997,328.04844356759924,327.86105614529697,327.98459342854903,327.843101886729,327.80803805424597,327.75201438201725,327.78488500607375,327.51764914054024,327.5344057663905,327.297416045595,327.4017675659097,327.20975658746227,327.063977028656,326.83720085076897,326.81684940509075,326.66345265203176,326.544953705932,326.53289622233626,326.2159864151015,326.19752484998776,325.91840098266675,325.8029608647965,325.12947108692
90,425.9731317800001,403.4408338933331,393.8293886773688,385.91520944066644,383.4981108947125,371.5194993391596,371.4057002914102,370.0058907559596,367.6335955817146,364.4293843672724,361.3796978575707,359.1958156710578,359.2006703084059,358.192658350126,356.5948293940189,353.1502461523247,352.40604231478125,352.1410939773793,352.3161199530503,353.425017164506,351.2968697541284,351.2901214090006,350.3094497926607,348.7098347977289,346.3531345600594,348.1294737125261,347.60555840379214,345.520190478889,346.2400018656022,344.3769228237622,344.9354369765327,344.5138585735407,344.0753780833203,344.39608640035453,343.84423317390457,342.74684520588676,341.76761857228047,342.5888910317524,342.45442124303537,342.3285219280918,341.5862477339118,339.2678349036646,339.912992118269,341.2385824742775,340.86080124630763,341.085272940695,339.6508636310111,339.439934018173,339.7501334664803,338.918701803483,337.8252371064154,338.5833927579929,337.3567280870381,338.18792395162313,338.4265433294571,338.157143436086,338.0505571411095,338.1577094091734,337.551800994256,337.268358214491,336.9438588230357,335.8626271850291,336.1906502552249,336.8152270289118,336.4799393471397,335.5194006266263,335.2435450408573,335.9188745584058,335.2227616206012,335.4166064253428,335.0995688312785,334.40383113528253,334.1035547381233,333.9617414741246,333.9079894776694,334.00216065706417,333.9289700277698,333.8902950418122,333.3865431365105,333.3724313298058,333.56257326504357,333.0447243453861,332.9690431118363,332.3405875513766,331.55603015813637,332.3378862709423,332.0866231541576,332.1126623182713,332.4035235788583,331.5790290083694,332.0805020647914,332.03074785604747,331.3820518615837,331.2564372733932,331.2457529417151,330.7746829274503,330.9967301131348,330.7332970484178,330.3877459765813,330.3680242148785,330.0379665093792,329.9579964131512,330.155161991696,329.69076913168624,329.4877258406453,329.33509537988203,329.29750214377,329.18776352125985,329.11004328743996,328.5543590766982,328.5178499348796,328.2169488123752,328.1770290753878,327.73255062245,327.5661260990094,327.37306461797664,327.01002187084805,326.7974430693556,326.523033278856,325.8768512026221,325.166187049315
