,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200
0.5,231.05753531,335.50615082999997,442.80975638,518.749858785,602.08999109,685.4155550099999,750.49072726,817.186571865,873.96215965,959.17743552,1005.9237277100001,1044.63733105,1101.2175000050001,1173.8454890350001,1204.34635546,1265.27509867,1301.7573625100001,1340.87788907,1403.599616705,1449.673972325,1504.627143295,1552.38417598,1568.671511635,1617.657461885,1653.29352486,1712.42415727,1733.89378975,1779.46921326,1824.85499473,1851.4932378350002,1896.169496815,1933.3208062850001,1961.4332813,2002.70492885,2033.748373225,2070.836469835,2111.6789698199996,2153.7228242200003,2193.9180673650003
1,239.38192804,340.04479403,454.78074707,543.27344707,620.91320868,697.53439852,767.08512847,831.6406484500001,890.3980941,979.41227303,1023.91737615,1063.30899233,1122.18060562,1188.7626272100001,1220.1396869300002,1269.8952630499998,1321.79257407,1374.1401176499999,1416.36257224,1465.2176828899999,1516.0885205099999,1557.18439528,1582.0713703800002,1626.13096836,1672.32813246,1716.8273952,1746.02504631,1786.27725519,1831.22357535,1861.4165073899999,1902.1090378000001,1937.0537365,1970.99864701,2011.8663821,2041.64060897,2077.06783742,2119.2152665500003,2158.85196293,2199.99908735
1.5,251.00605348,349.44743611999996,464.854180735,552.5893590950001,631.8760252149999,708.95545574,776.2111433700001,844.12622802,904.7410528,982.35935639,1039.6715243150002,1081.91418495,1138.18898663,1198.09355762,1233.200471845,1276.26993926,1335.77412493,1383.91211312,1429.161575335,1470.5406951549999,1523.6213051050001,1563.04546205,1588.8042411699998,1633.93840101,1678.020623085,1723.98152375,1750.010995325,1795.73533801,1833.042999815,1865.42349097,1906.806924,1946.276539165,1974.33949176,2015.321213465,2043.731310185,2080.5322947500003,2123.150572485,2160.4688909750002,2201.626422895
2,255.19707476000002,351.91346178,472.15533125999997,558.1589491,635.03829416,716.38671734,787.23601608,851.7222765399999,921.8815666400001,990.98065994,1050.4474005,1088.45172114,1148.13859756,1204.72566426,1244.06070418,1287.1377749,1347.2326316200001,1390.02889224,1434.5210616,1474.47228512,1526.10043604,1564.89219648,1593.9300212,1640.53092788,1683.66809454,1728.04470306,1757.88888334,1800.09613468,1835.11054048,1871.98009444,1908.44678024,1947.25548418,1977.38504494,2018.72857006,2045.19735948,2086.86391546,2125.3092885,2162.68209954,2203.7450924
2.5,260.936296325,361.55011229999997,475.206597775,564.579509975,641.3238014750001,721.573160825,794.2895811750001,853.836892875,925.969686025,992.500223475,1055.334670025,1093.56748355,1155.139242725,1207.537736575,1253.65060925,1298.9744954250002,1350.2883497999999,1398.0565434,1437.144028725,1481.36898465,1530.725214725,1571.5985580249999,1605.05779665,1647.505387575,1686.7852824499998,1729.179755925,1761.97792955,1802.2580323749999,1839.5026552250001,1874.687295725,1910.169271075,1949.5334727499999,1981.1741958,2021.25485865,2049.578954225,2091.7118753500004,2127.749802875,2163.62215495,2204.96614485
5,279.4986459,380.1885112,491.0161691,584.0752025,660.1901243,745.52344425,816.3759424,876.3735828,944.47793365,1005.6360014,1070.0773555,1118.26451735,1170.4439728,1225.0215408,1270.3944599000001,1320.11687695,1367.81975425,1411.7862054,1454.0953322,1497.4943766000001,1543.2251104,1580.7022351,1619.40047015,1661.0532778000002,1703.83750445,1738.9353712500001,1773.8989628,1814.65791765,1854.0469736500002,1883.6949748999998,1921.19470155,1959.90321365,1991.4001019,2026.88008125,2058.46589785,2098.1810765,2135.38078195,2170.27928145,2210.148677
10,303.133846,406.79006000000004,512.1823321,609.9712714,686.4170968,765.4388591000001,839.0398385999999,901.9219453999999,966.5363001,1029.8506899,1091.5038568999998,1140.2582112999999,1195.3014896999998,1242.9754231000002,1293.1142582999998,1339.0026232,1389.4493287,1431.2021346,1477.7959682,1514.7629339,1555.1246232,1598.9428295,1635.6274116999998,1677.4186378000002,1718.4967135000002,1752.8779614,1787.2583061,1828.4404699,1863.9272299,1895.520735,1931.6052722000002,1969.6476024,2001.518281,2037.854296,2069.4561607,2107.1189763,2142.3113477,2176.613835,2215.7267189
25,334.58372675,446.92056175,552.53403575,644.8208617500001,725.1614460000001,807.702456,878.42453875,943.12215525,1006.17568725,1064.895948,1123.84415575,1174.64617425,1230.7714847500001,1275.80599475,1328.8297619999998,1370.4789035,1420.730641,1460.15378075,1502.407956,1543.4995732500001,1583.9619955,1625.393387,1662.7571764999998,1700.456637,1737.98132325,1775.6775930000001,1809.26537525,1848.57051275,1882.023272,1915.65440975,1951.21773025,1986.5611597500001,2021.0424275,2054.1004695,2084.41945425,2120.13354,2154.92850975,2186.48235975,2221.954935
75,410.50922225,531.49967125,638.864292,733.09005275,815.18787625,890.6882009999999,965.7256365000001,1023.7556334999999,1087.0955462499999,1141.2088709999998,1198.8799275000001,1245.7449167500001,1297.533893,1343.96775775,1392.9249909999999,1435.2190440000002,1484.58380175,1519.80381375,1561.1357755,1600.6866955,1637.094652,1677.192507,1713.5686692499999,1751.58816975,1787.86603475,1823.0073565,1858.35559025,1890.1124175,1924.5454407500001,1958.54395225,1990.431663,2022.2349685,2055.61249,2083.75920675,2114.68625325,2145.6023345,2175.6759224999996,2204.41357875,2232.235378
90,438.0145228,566.7492232,677.0796747,774.5412161,850.4374957,924.0784831,997.0430782,1054.0286452,1121.3191242,1174.7739075,1224.0422528,1273.7382584,1327.2585338000001,1371.055065,1421.7918887,1460.4692894,1512.9445613,1547.8626491,1586.6922355,1623.114561,1659.2929113,1699.8098773000002,1734.9477961999999,1771.3129183,1808.1283842,1842.0423098,1877.5483686,1908.086121,1942.5150134,1976.4471564,2004.2061332,2036.7678597000001,2068.5667894,2095.69722,2128.0087905,2154.4069861,2183.4525973,2210.0667587000003,2235.969724
