,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200
Low,260.936296325,361.55011229999997,475.206597775,564.579509975,641.3238014750001,721.573160825,794.2895811750001,853.836892875,925.969686025,992.500223475,1055.334670025,1093.56748355,1155.139242725,1207.537736575,1253.65060925,1298.9744954250002,1350.2883497999999,1398.0565434,1437.144028725,1481.36898465,1530.725214725,1571.5985580249999,1605.05779665,1647.505387575,1686.7852824499998,1729.179755925,1761.97792955,1802.2580323749999,1839.5026552250001,1874.687295725,1910.169271075,1949.5334727499999,1981.1741958,2021.25485865,2049.578954225,2091.7118753500004,2127.749802875,2163.62215495,2204.96614485
High,473.96436654999997,604.38052565,710.4237921499999,810.572432375,888.1732000249999,963.310814275,1028.5042746249999,1088.976217575,1147.552902425,1208.521617425,1257.20846555,1304.0915450500001,1360.0906232,1395.137235975,1444.629638875,1482.4449582,1535.835863425,1574.503116875,1611.61147545,1648.636567125,1684.9959934,1720.3776447,1755.0222941,1791.890052875,1826.392115475,1859.027539175,1896.556529225,1928.561972425,1960.5448898749999,1991.783516125,2020.0182672,2051.5318287,2081.4173945,2105.884472425,2139.205257875,2163.18649525,2193.000786425,2216.688395725,2239.652571175
Mean,371.71194546600003,489.34656750600004,595.536360336,689.130786906,769.1972465249999,847.998834394,920.054591244,981.256475386,1045.342797228,1102.913271075,1160.2791821940002,1208.761207396,1262.3142668550001,1308.3620769450001,1359.1217310910001,1400.781997686,1451.236816366,1489.378676771,1530.461542027,1570.859863367,1609.266280376,1650.5417683269998,1686.5961686179999,1725.390166098,1763.160373078,1798.422381214,1833.116908063,1868.7999128440001,1903.7629793620001,1936.328337234,1969.744901611,2003.9070686379998,2036.467115615,2067.7970222790004,2099.400084911,2131.591687519,2164.3417511639996,2194.654502381,2226.3029264770003
