,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145
0.5,432.156893676062,619.342119660659,726.7454922005539,850.607097148933,959.466123802245,1033.02566733405,1111.9062434146608,1202.3217895734156,1273.18248780252,1360.122828167974,1430.1411693784842,1504.708623719032,1569.544094912617,1610.963106977873,1688.8714565082826,1739.8904177733025,1793.2217605549424,1877.9184865588454,1927.462269630754,1984.5463804782823,2038.124385507622,2117.1627926199644,2146.3570815136654,2184.307913288247,2260.4384879494537,2321.704051842609,2365.931477237882,2452.737403221594
1,463.946542305171,628.329479950237,756.158493708273,862.5090142886511,975.048538461274,1075.104692809148,1133.882449067783,1226.0003783668728,1296.6496535209778,1375.129663191738,1453.8916924399362,1513.975447877178,1586.241564684851,1629.686189382684,1700.268737418385,1769.1789524830622,1809.503168623501,1896.1137767006069,1934.0794971755809,2006.584227862738,2052.454715314801,2122.7027870891807,2161.938351433174,2209.866078088555,2275.178647078744,2328.6344353208588,2382.90690725996,2461.0217004236797
1.5,475.0424758065415,632.8809494944841,762.44747528661,866.702591326195,978.975839253882,1084.2834632093666,1144.7525795529307,1235.5871206125705,1302.723105923024,1387.3515304426599,1458.3271839127283,1521.032959684329,1605.5277809396162,1639.8839488851065,1706.5961230188655,1781.0901894515184,1822.4050272168465,1899.2263196836843,1942.3512337565846,2015.643134309681,2058.287260332038,2128.9380000475853,2170.3207809692262,2215.454965597745,2282.5738782511808,2343.8125094014376,2391.7116282758248,2462.65938306392
2,490.82872534012995,636.559534722774,773.220975396328,872.21606532077,987.21982196653,1091.29235690782,1157.759921069204,1246.2527385573942,1315.2812079952118,1398.520611618266,1472.902431115156,1527.337116929928,1613.4998259322858,1647.2091127877839,1717.005361788638,1786.8080579499178,1834.101692340776,1904.984133437278,1955.773483585518,2022.70611188759,2067.050397136064,2135.7871208081137,2187.956977133716,2221.23625328612,2293.168801891744,2347.578140700738,2401.415380145562,2466.91236132828
2.5,500.47702124769,641.7867526729625,776.2331963197951,881.9574000172901,995.1886354995651,1093.8576191799075,1168.0799625110476,1254.85972852325,1324.4785286364474,1416.0855090285402,1480.63733131898,1541.273327224975,1620.9649055247623,1657.2099484795674,1723.9272411656025,1797.9112236780074,1843.0512376073725,1910.6646790884274,1963.70459302129,2029.7934035327976,2075.2630379475827,2143.0725334665326,2197.6441582561224,2232.577115513885,2302.73427656483,2358.0392652087203,2408.968971275083,2482.681659603445
5,522.2009470156399,667.16664667368,801.050584590455,910.05350931964,1015.78602016305,1110.725368839715,1198.8129465054799,1280.9972952497199,1357.147581023485,1432.4461215050098,1505.44720276263,1571.494813013815,1642.6500957501,1691.1092721314,1755.693582298795,1824.969376996655,1878.825316550965,1935.5187414321451,2000.95444074601,2063.8720380977147,2106.9735324429253,2161.853063566285,2219.273310508315,2255.501258898485,2330.122314898,2388.2889328287497,2427.3459205602003,2557.46050981055
10,545.28095170458,693.4522013194601,826.17195279397,943.76463252887,1041.60067403576,1135.88480494273,1221.63864069396,1311.81142992855,1391.17061149543,1465.29608951819,1535.11114063971,1598.2010493397802,1670.9164795885702,1733.84387505738,1786.40414139,1856.3156613608999,1910.94372950532,1969.1631160051702,2026.42653379223,2094.0396279414,2142.86952006205,2190.16191315693,2252.35124698658,2289.96931263302,2369.864796541,2431.49481317057,2506.5987134367997,2576.6412609169
25,583.0417003799,732.45857511605,873.6321356985001,992.20454650225,1090.0562095395999,1189.4121614869,1273.223940290075,1368.53683447955,1445.277456834475,1517.2816405285748,1591.3550563590502,1653.6006868904249,1722.222464534025,1788.405596297275,1852.521242289075,1909.0807040554,1972.71233848415,2034.7727126167251,2097.8107781706,2158.6258590135,2213.9542982015746,2261.95488026755,2327.263420459875,2372.901957380725,2438.0850672831502,2498.67920986015,2545.8744059847,2598.13908485715
75,673.545612555325,832.7547037740001,981.250588831025,1117.60949111215,1217.0504965998,1327.1756514736248,1408.7753452533252,1501.3476594097,1591.961331842375,1672.4901481617248,1745.697088419875,1816.8677520348,1876.545009776175,1940.0056946811499,2010.075830224075,2066.13315438075,2123.05498285655,2182.2280402719,2233.2290358078753,2282.794100939075,2332.6424172075003,2385.6369641557003,2428.874709282325,2468.379733161025,2511.175698418275,2554.80437689165,2589.837925833925,2621.5549552128
90,712.1127524311299,893.48452926935,1033.38926767181,1176.34347836993,1286.43639712092,1394.31186209725,1484.46301790225,1569.13765944958,1661.52449987988,1740.41075572519,1809.07155817802,1871.01289244247,1932.63797127095,1994.8067201809502,2068.18006275884,2115.99332324559,2168.73869146225,2225.74212556556,2273.17311878968,2319.79263159749,2367.6007535867902,2419.84364420248,2456.73659785126,2496.47221835932,2532.1803524633,2569.72329387575,2598.75968529057,2626.3410618357198
