,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145
Low,122.7045677030211,128.1384295792903,130.01435313486454,133.22552326848904,134.31129872559004,135.88767982333795,135.7188153740822,136.4070620547372,137.03970613504262,137.03935149029223,137.5611739954339,137.84417143902692,138.52070971876756,138.58323184140824,139.02308213296044,139.28377488790315,139.46017325144112,139.4908614685639,140.16380076547927,140.05361462856908,140.22072370994286,140.56786276455736,140.28505151333968,140.63804135628052,140.8529627660071,141.16423174300576,141.34584247572178,141.84345556322134
High,181.2392318553389,168.98153633133492,163.13645040516198,160.0696019547574,156.59304254992236,155.0074540281848,153.96489579415964,152.57731569552985,151.79054664538683,150.94811624216865,150.172697674344,149.594417226654,149.25785574104205,148.4807885119064,148.1878647646152,147.77532975828677,147.59512419938093,147.1835817986002,146.8776599745627,146.6536952763208,146.29193779790793,146.095371117347,145.75156384920072,145.64230323695588,145.33778320344152,145.10497010447773,144.81910495867177,144.4905827375911
Mean,144.24929637564125,143.60179970231016,143.79297614053297,144.16405723139192,143.6705604492743,144.07854264286638,143.80987270459713,144.04266334248567,143.83181107247424,143.8864558873756,143.87347934646624,143.86404667962807,144.09574039590964,143.95758114630274,143.90374007058603,143.946484523691,144.031188258684,143.8437831380341,143.942222861161,143.9991981849444,143.87157225499368,143.88341438860135,143.85572518795774,143.9004973878352,143.8655786063833,143.90767688307963,143.91632639449588,143.91511953191116
