"","key","b:(Intercept)","c:(Intercept)","d:(Intercept)","e:(Intercept)"
"1","low",-0.77965356830384,53.2269528843694,144.392567416181,2.19002376084687
"2","high",0.92481110878378,141.271775254319,378.553864131303,1.74082837876239
