,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145
Low,500.47702124769,641.7867526729625,776.2331963197951,881.9574000172901,995.1886354995651,1093.8576191799075,1168.0799625110476,1254.85972852325,1324.4785286364474,1416.0855090285402,1480.63733131898,1541.273327224975,1620.9649055247623,1657.2099484795674,1723.9272411656025,1797.9112236780074,1843.0512376073725,1910.6646790884274,1963.70459302129,2029.7934035327976,2075.2630379475827,2143.0725334665326,2197.6441582561224,2232.577115513885,2302.73427656483,2358.0392652087203,2408.968971275083,2482.681659603445
High,762.7529882648375,958.239962916625,1103.8282538103674,1256.8130132366423,1356.6666044257374,1468.8407622693073,1562.07723938511,1623.8526428179475,1725.4449235034224,1802.3355841180223,1872.30404392992,1930.337797818295,1994.3462201807874,2045.12654627249,2119.2793556331626,2170.5608233454127,2211.0286259786876,2266.08651411352,2315.342660462,2360.656233006465,2400.1114659945997,2444.5765643123277,2482.0238871532424,2515.0449089981676,2549.345917296215,2579.6971042874425,2607.8431860332553,2629.6077359881774
Mean,628.255228377395,786.8715254536851,928.8587003174401,1055.3155304224083,1158.0687119822903,1260.3165465724942,1346.5942627506201,1436.0035384838811,1520.0970203467866,1595.1565881642155,1667.880559234412,1734.9664529974,1802.7347859826789,1862.1643559601744,1929.5561825714694,1988.446612367709,2044.2686251842795,2106.224262103919,2161.8156293913266,2218.3493249730855,2267.7613203025367,2320.378242721719,2371.1791699324986,2412.664443965786,2466.636649314736,2516.105769095567,2558.0644033918866,2604.3851644698075
