"","key","b:(Intercept)","c:(Intercept)","d:(Intercept)","e:(Intercept)"
"1","low",-0.802632052522824,175.954547445516,8266.75759546948,472.046959225724
"2","high",-0.704188424958531,109.809368047025,5270.42479173795,152.388602002782
