,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215
0.5,57.473124784000035,68.25008729704759,71.95532876607895,77.16092175686666,78.38140285496547,80.36712497442021,82.61196361664744,83.69993842939392,83.31384537331427,85.47755227322563,86.67168355487006,86.40180938006246,86.80257579309936,88.81553050031347,89.5578832230396,88.68697004100281,89.62266254826214,89.59799957484884,90.6251275979121,90.02888333385344,90.62384106164055,91.04981306737295,91.54462836057492,91.35795757184778,92.52215539951638,92.84308803413373,93.08893781044296,92.97208444225862,93.2520328681924,93.6384875542178,93.92042534084553,93.93140945755206,94.26147976528436,94.6110168864085,94.56056183392619,95.10467770049706,95.19571784570616,95.62856113963575,95.74667527564317,96.07261174420036,96.44756957386761,97.0915366608268
1,63.801480583777774,71.51969340571429,74.60671067489479,79.54417952579999,80.58793173112646,82.85207631314285,85.64624193030768,85.37746362117171,84.95237518194283,86.56197348316499,87.98499330653668,87.75901490511538,88.76202896898553,89.96023410497293,90.40708091489553,90.4851157054398,90.32697522542823,90.48064954645012,91.29077582872328,91.50424027224538,91.09158484358136,91.69933438102827,92.0501240677801,92.5663238288387,92.5890305136983,93.30942519161522,93.58319016168865,93.2375750364559,93.63839264475972,94.05143473038797,94.32816491797566,94.3634526077768,94.68550695810231,94.85659049358556,94.89050290456238,95.30572250217037,95.3692420123058,95.69675968715518,96.01196873095925,96.2045128698661,96.57287244530006,97.10773790688282
1.5,66.1714976952222,72.88573723323809,76.6791487628947,80.9205388887333,81.31688442251726,84.04680510884035,86.14295630811539,86.24265058949493,86.05678981059185,87.18851991346128,88.26546778978248,88.46106063701443,89.44768453892338,90.38962999650812,90.81277398012654,90.96604839312042,90.7728381713883,90.98621035804256,91.87766617486261,91.81269417517213,91.68528583696084,92.08418219052938,92.39175701131441,93.10220515216258,93.0025612284413,93.4731035046357,93.82925472081448,93.49399534272793,93.71948681553249,94.14561835969751,94.43108153450044,94.47206897345161,94.87257093735298,95.14058570230146,95.08133649607639,95.39075344166095,95.5804333629861,95.7752864042564,96.05268825826882,96.31059242497942,96.61768876667897,97.11083743112889
2,67.77900804488893,73.67184841219044,78.39190997726317,81.22651336599999,82.90070261944832,84.80092786763024,86.49669524079485,86.73761407531309,86.76888371413877,87.94741958949491,88.77349724657624,89.31773829548078,89.81531871253003,90.74970476369006,91.01999561697471,91.11179013571991,91.35900712560294,91.17395181703922,92.12382057582225,92.15858493416853,92.0148261678799,92.34092106305417,92.73823098852942,93.30114642277675,93.09901776054386,93.67489908809729,93.99510328076056,93.78792619769733,94.10305465454498,94.45407930148977,94.57549019336794,94.69152941427642,94.9561068655607,95.27937584966828,95.28713734774676,95.52573738500587,95.65919354207628,95.84115531576421,96.14403041897789,96.3353651124553,96.65746691105034,97.11980232933193
2.5,69.32309661888885,74.97772115333335,79.85948866026314,82.66729351916663,83.30730966781614,85.26023980193274,86.85094072487175,87.69890625535353,87.44341703228568,88.25875195676772,89.212243500904,89.82931287348562,89.97825846429606,90.88478520700902,91.45204931680382,91.63287989803925,91.80835967966921,91.88986847704368,92.32307673393942,92.381538186804,92.32883720423685,92.75075548386722,92.88027555648455,93.40833392969036,93.31203424621347,93.83292035904368,94.13622258697067,93.99241977012933,94.27309146829079,94.56640060974026,94.76559643746067,94.8498960582225,95.02266433335535,95.34582447704433,95.37216454481535,95.64028358052292,95.7321826290072,95.97622217944492,96.19233183741959,96.3906803064347,96.69802760191384,97.14183961162573
5,76.75418372111113,79.33454629714286,83.40290268684207,85.4842235823333,86.27094302862065,87.8956099163025,88.79392121788459,89.47280335050505,89.35518259224492,89.90398257063973,90.52736367189267,91.35410973706729,91.18476749144924,92.17752907419815,92.3249294253006,92.26755677719889,92.81515888659177,92.84829889027993,93.22489669753531,93.26156598467033,93.78951381033356,93.55344217601828,93.82245935609943,94.18728559461935,94.23151517933218,94.52630041110005,94.6073751387461,94.51993571078549,94.92032276489932,95.1973505582069,95.22929825928065,95.23314952626752,95.41898792593108,95.6440938163678,95.7724895093265,95.88738317414807,95.93469546409075,96.27214289163625,96.40251740914317,96.57713098924434,96.83645053911822,97.16725803514457
10,82.37302450888892,84.08618232952378,87.77676910315787,88.99831416266665,89.02280869563216,90.45714813008402,90.77361498410257,91.1784674852525,91.42406715306124,91.9706049613468,92.36937870728813,92.78409007769231,92.74586996906828,93.52572598299095,93.63977213598105,93.50356926543415,93.93173566958798,93.83108951117585,94.30876275624246,94.37460178890113,94.60956144830688,94.50853235527076,94.68814212525207,94.97505546593551,94.99639122895651,95.1933273967054,95.27416514642341,95.39759788524906,95.44435225066668,95.66707922230415,95.72319779702046,95.74644903343679,95.85577357282284,96.13266005116581,96.1824970767908,96.24461731396009,96.3201747074241,96.54024394460478,96.58992259106034,96.764621753869,96.97781173120526,97.2146648530319
25,90.95389421666665,92.08762542857147,93.7573476986842,93.85063461833332,93.96026217011492,94.09933318319325,94.5186236080128,94.82738601717173,94.78138420693878,94.88185106565655,95.06607932683617,95.1635348391827,95.06708936790892,95.55608977495493,95.66470322531649,95.69112942633052,95.8621397797753,95.79549739966407,95.92169659106057,96.02442613580588,96.04821614545455,95.98982510663618,96.13255643007705,96.1526633370323,96.16301985927248,96.38234645240462,96.41105045513878,96.45810833247126,96.4062683042729,96.55254114821949,96.63623176263759,96.60719333813745,96.63454341681165,96.75459159668304,96.86092452124453,96.8689221404818,96.92597315763018,97.01825344337824,97.11619421782663,97.13289213330945,97.24367782411707,97.38421697276681
75,105.834967666667,104.09290989523825,103.27740926315799,102.918138946667,102.081806529885,101.3888017831935,101.156354434295,100.80406448131299,100.62863967999975,100.46846045185175,100.40402327768325,100.0877107067305,99.89346678498963,100.133682656396,99.77537188670885,99.62268560812325,99.484665320412,99.47830665162374,99.46227666409092,99.3852886400183,99.1140825552544,99.07298219832191,99.02919159786418,98.80402326748386,98.80754028595707,98.94339761995577,98.83476418825795,98.66136570780652,98.58775779642058,98.57395192006705,98.58661298343158,98.36856736614928,98.34772732097113,98.31690358798029,98.22354939534448,98.14171036624558,98.10837801954888,98.06318335109705,98.02838581659546,97.94012361939264,97.8108948097061,97.65365898015648
90,110.0875433800004,107.7656808552381,106.09158404842131,105.8989593006664,104.9913308705749,103.7938773163027,103.50875574371831,103.0154061290909,102.7566275931424,102.4505990650501,102.5016223201127,102.0717599927884,101.6300461809939,101.66982490753159,101.622187175823,101.1191259161346,101.0818737945072,100.9186028902573,100.79569955006029,100.824236445641,100.3855407897583,100.4412108988257,100.3053139402524,99.91044139597423,100.0928456621346,99.84296678839134,99.74595726135665,99.60275837660923,99.45750436391948,99.39017727912861,99.46984091894653,99.13639887467848,99.09343151853815,99.00392354455171,98.7797487873184,98.75235580541714,98.60272022417706,98.44876168393337,98.45082763755278,98.29617421953137,98.0895143370062,97.87797259724405
97.5,113.53584051222255,111.00366996571395,109.54155433631533,108.584037831833,107.66971226724105,106.7065286947901,106.23052011381382,105.04496549999955,104.98286822893901,104.91209624171685,104.69754968730177,104.26478536713972,103.4484418139542,103.34498042237792,103.3091978077931,103.08387940757723,102.91272848384526,102.20920232237427,102.24572759359567,102.18091492945938,101.5810980186154,101.9512612943478,101.40555347807447,100.97738505224507,101.21502699014343,100.92870428598637,100.68745456423684,100.63589572592456,100.48510217773112,100.4787805854298,100.26867822382864,99.92481006084257,99.81259244996349,99.73903737988834,99.4302670793172,99.28969928011747,99.20040081144107,98.92258500050758,98.88067714380654,98.59450368161404,98.32654095917404,97.910333366353
98,113.82783347955534,111.24980221828565,109.79661121031626,108.954174031067,107.98977781043668,107.1529487317644,106.56104718248682,105.31283880412121,105.1983473409637,105.20758527625593,104.9473539304968,104.34715412126916,103.78149828990446,103.50699772926839,103.41257054129123,103.31719529782592,103.09089025791226,102.45485080601122,102.38997293750738,102.29483286145832,101.78626326926417,102.04424731632058,101.49131995735583,101.17209250358712,101.28282233956571,101.03869015370273,100.78469215101774,100.85346942720297,100.63690228812015,100.50461566712316,100.37928768953766,99.97602093091203,99.89446502417685,99.81462094780167,99.52123796287891,99.3494905306322,99.26110732315232,99.00166616863021,98.96311363708044,98.63778606260352,98.34199433366867,97.9112599671376
