,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215
0.5,242.656265405,329.395600285,420.645556625,521.345797015,588.6772609699999,654.1366162099999,734.470743,822.7186773550001,874.5551097050001,926.64394927,984.23284613,1033.95032527,1098.38030007,1150.04529282,1194.49080149,1246.523259415,1299.749198495,1364.483490725,1395.45585958,1445.84734106,1487.01162578,1512.106462205,1572.2746146,1603.6058951750001,1643.2639871850001,1685.23017882,1729.91852812,1779.4297833,1812.32706123,1856.28064397,1893.221028855,1915.16231585,1973.4843783,2004.577643935,2045.533361755,2082.37686255,2124.95815747,2155.797057835,2193.415767955,2234.66120436,2282.27066695,2322.80089364
1,251.09810834,340.14927121,441.64906271,531.75677748,605.04355623,680.62583795,756.1390416600001,833.25210613,894.93506436,948.5951827800001,1012.57938583,1056.18234305,1118.55193213,1164.2851433,1214.2419931000002,1273.9764139,1310.98379396,1369.33167035,1406.05382826,1461.54794034,1499.93540309,1524.17150347,1578.63853873,1612.5244929,1663.04325576,1694.0504613,1741.8380264,1789.41736202,1823.06008457,1863.57074388,1899.16006187,1942.51896057,1981.0382037,2019.29181414,2054.71940148,2091.18585312,2130.48037936,2164.8544486,2202.66251005,2242.71968165,2284.8742332499996,2328.53856173
1.5,255.53864371,351.90932947,453.99853018,534.199934705,616.53869451,693.659077155,766.0103626599999,837.77339507,901.5402763249999,956.456290325,1026.711171875,1069.043392655,1125.07569308,1171.177584275,1227.81487447,1287.3237701350001,1323.4045451650002,1373.77151779,1415.263821195,1470.27377917,1514.583519175,1542.14779822,1590.149134055,1625.92436043,1675.99713204,1709.06151538,1752.357834415,1791.41354267,1829.382134665,1871.98821945,1905.658039035,1944.0684788600001,1985.973823715,2024.68412168,2061.14937591,2099.80135648,2135.872185255,2168.9784830950002,2208.072472815,2245.27710948,2285.94974345,2331.0223200699998
2,259.95970674,363.72366370000003,461.85243024,541.21974456,625.48091974,702.5397586,771.9529584400001,847.65637082,907.3637414,968.6800881400001,1032.41612812,1076.7379421399999,1137.22559664,1185.1304241599998,1238.1863476800002,1291.59390346,1329.46853784,1378.38184812,1421.58308154,1477.74199976,1519.2010835400001,1550.5781488,1597.43734314,1636.04938496,1687.63909788,1721.44147468,1756.7036898800002,1794.5884579,1834.60540124,1877.73002378,1917.6117963000002,1950.26681192,1990.23466948,2026.72914616,2062.59360196,2103.62107328,2139.8547868,2173.67462498,2210.5042706599997,2248.1067659200003,2288.5781287,2335.50880034
2.5,262.88465932500003,372.7140346,465.98720937499996,549.141072575,638.2650863,711.778338825,774.0562614500001,853.3740482500001,913.3026735,978.1970595250001,1035.805405325,1083.911155075,1141.96079595,1193.8279860500002,1246.34471065,1297.660354675,1335.113172825,1382.3711188500001,1427.7589309,1480.920560875,1524.0359061249999,1553.3779786750001,1601.31464,1639.9382681,1691.565037975,1727.2704840499998,1762.8195323000002,1796.849519025,1841.19196395,1883.3797497,1919.719790225,1955.629311375,1995.7701835999999,2028.8152911250002,2066.08663965,2105.290963775,2142.5386058249996,2174.43017225,2213.481299,2250.8341524,2289.7584779,2336.40269245
5,280.2202096,386.63563775000006,487.65027255,576.6536698,662.9175359,733.5498381,801.7052712,871.2682356,933.1526871,996.1735098,1058.52068775,1108.07304875,1162.9790346,1210.6686691500001,1261.9591006,1313.22918045,1353.87693085,1399.9689568,1446.03929055,1494.44242335,1540.501426,1576.4484284,1622.16425095,1662.1754873,1706.8012638500002,1744.3479355499999,1778.7626404,1814.2315185500001,1855.1025753000001,1894.949166,1933.3664606500001,1967.1985762000002,2006.41535905,2040.0834948,2077.1718823,2114.2600261499997,2148.6023351500003,2183.2164651499997,2221.2621277000003,2258.1656605499998,2295.5891909,2342.69907095
10,296.79509740000003,407.8616884,510.8803048,597.963578,685.1213543,757.6621731,824.8044795000001,889.149512,950.1241927,1021.3346774,1079.3150185000002,1127.2689078,1184.6834169,1236.1323363000001,1283.5052334,1335.2287506,1378.1640576999998,1421.8798428,1468.4844031,1513.4198915,1557.7552769000001,1594.292846,1635.6928987,1681.1006104,1720.5121465,1760.6849077,1795.6217116,1837.2191063,1873.6415968000001,1912.0093946000002,1948.121279,1984.6387582999998,2017.5567857,2055.2807258999997,2088.9002364000003,2124.9893349,2160.3553078,2195.0577034,2231.2583043,2265.9536691000003,2305.3144818,2346.6021576000003
25,330.38905225,447.53072275,549.75555125,636.4936285,719.1690845,795.8031187500001,866.36800725,932.0886,990.763888,1056.18759,1116.0906447500001,1171.1209105,1215.789785,1269.3279682500001,1317.09997725,1368.74852525,1411.87591425,1459.638762,1501.3368687500001,1544.41600025,1587.9422435,1626.66971225,1669.96191825,1710.2926075,1748.79025,1785.31552175,1823.961814,1861.53001075,1899.7309970000001,1934.15372325,1971.62094575,2005.846904,2038.37639575,2075.3816635000003,2109.51305375,2143.6443875,2176.3337675,2211.31093425,2246.75284775,2280.54659225,2315.83902475,2350.4177154999998
75,406.6682495,525.827098,629.999584,723.9314845,800.88864625,877.59888225,950.7542525,1015.1528845,1079.14736025,1139.3333855,1194.9697047500001,1250.25006575,1297.0993537499999,1349.23699175,1393.4654639999999,1442.5675382499999,1482.640138,1532.38373475,1570.548994,1614.7320365,1651.7114915,1693.0503697499998,1732.2729410000002,1773.03901975,1810.313751,1840.7495895,1880.3569195,1914.6893519999999,1949.258146,1985.0342257500001,2019.0788607499999,2051.771028,2083.48858475,2115.52071125,2149.43299725,2181.8763712500004,2211.403683,2242.46134325,2272.213389,2302.69533575,2331.1120375,2357.1752225
90,437.1472541,560.8780261,664.3595761,760.6092471000001,837.4162867,918.7167458,986.3427332,1052.864932,1115.5893277,1182.2339331,1228.0733206999998,1280.3068739,1329.772055,1380.7241562000002,1425.6766831,1471.5516165000001,1512.0489029,1560.1893413,1600.7060265,1643.9311738000001,1678.7669412999999,1720.3795558,1759.2909115,1797.2779693,1835.391482,1862.9306121,1903.5936622,1935.6164761999999,1971.9343399000002,2008.8153816000001,2039.6931202,2069.8075084,2101.0548798,2131.8819946,2165.5806341,2195.299797,2223.7973936,2253.9859308,2281.4810622,2310.1910667,2335.8158345,2359.8531797
