,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215
Low,28.7915049975,27.7278970916667,24.74023019375,23.829308368000003,22.4589644958333,21.594982433571385,20.523354805,19.77581232722219,18.701143546,18.05489420363632,17.458675854166636,17.052085590384593,16.64698360250004,16.19116442899997,15.9380376625,15.659390454411788,14.981918471944464,15.158470160789443,14.68962143775,14.562354393333333,14.281101066590892,14.088616635652135,13.891040195833366,13.818071726200001,13.493334351538492,13.306173490740704,13.195102347500027,13.145878340344785,12.958863440999968,12.82460155306456,12.73860594765625,12.67467383060605,12.602414427500007,12.460832810428542,12.397151814166655,12.304150192297342,12.272179131447333,12.205206496282022,12.183684888499998,12.20019570560971,12.171895711666634,12.144439798604624
High,78.266857385,63.042226485,53.171974193749996,46.11866192,41.69131760749996,38.11324227785714,33.971526355625,32.6674531627778,30.313795759,28.403227633181807,26.528318740833335,25.712497557692352,24.302882859999958,23.215772094333335,22.5684165940625,21.521210635294146,20.86903659111114,20.14648993368425,19.58232608325,18.943167844523828,18.339523931818206,17.928156446521697,17.56586350520833,17.239264166199998,16.830101058269275,16.363839878333348,16.06700109589284,15.67640457655173,15.496909898166667,15.16139185177415,14.978561145781251,14.714835450151517,14.49435874750004,14.225279901000043,13.954714017222202,13.780832392162196,13.64147020184206,13.41553543846155,13.208182391375,13.042683668536572,12.818026231547664,12.61762030662789
Mean,51.973845216700006,44.34164678846666,38.53240237685,34.70187964592,31.9063837661,29.626380185628573,27.396819606450002,25.77299906184444,24.44564691598,23.182308407072725,22.188413449633334,21.28956415409231,20.552659495885717,19.785273070306665,19.119193561487496,18.617457924529408,17.99209415161111,17.536536987978945,17.1369490375,16.653673662695237,16.387137606854548,16.012445702852173,15.693110942333332,15.490097189903999,15.160501458869232,14.86269436988148,14.662041063271428,14.413694765137931,14.216384996113336,14.031150452012902,13.867229908450001,13.700461736442426,13.536951234782354,13.375848785628571,13.239659268822223,13.092664285491894,12.991441065336842,12.862229074928203,12.735095400235,12.6461619214,12.515080299852382,12.417868098497674
