,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215
0.5,24.475799879500002,21.642452579999965,21.51598895475,20.745334498000002,19.771257346999967,19.223673797142858,18.869807771999998,17.88599009799997,17.6152460627,17.084224807909045,16.2370131606667,15.935242284153892,15.6676801839286,14.8996605442667,15.217957193875,14.786104688352959,14.400345204944477,14.49633769526319,14.094484518,13.737768677333314,13.914164332318181,13.524350200086939,13.372754656375033,13.483525729,12.9516616548462,12.828522456111108,12.756935862392858,12.69894771162068,12.506678308133333,12.54423300954842,12.44558301771875,12.363018997515148,12.386433195764695,12.143871736171386,12.043296170750033,12.157096374837844,11.995858693973705,12.029972535641061,12.005099268725,12.023075780975567,12.017236913738058,12.051952163860442
1,25.549958705999998,23.6530742893333,22.2691329855,21.565222689200002,20.753649562666666,20.450145400285674,19.9279341615,18.580550500444474,18.036671776400002,17.286111288909073,16.587724411333333,16.525016068461554,16.043107857285698,15.129529087333367,15.5877738015,15.285943439294158,14.577716040111078,14.703270334526279,14.3842270382,13.962932915142856,13.965068554636337,13.730908863739161,13.615917349000032,13.66096596808,13.127641662230806,13.055372539555515,12.9990587820714,12.83548681655172,12.598008296466634,12.674093932129042,12.5937868554375,12.429841315333336,12.488621169294134,12.307453114285757,12.230927487055512,12.208969160702663,12.120297637368436,12.087544376153867,12.0913072723,12.135349948926825,12.091952460619053,12.076865573255823
1.5,26.681183502,25.3501525563333,23.646094541500002,22.6563705226,21.6293618808333,20.973089135142843,20.09192900725,19.166855285333334,18.2871407879,17.60487921036367,16.9340548879167,16.630708227538467,16.326968727999972,15.4524582535333,15.663437446187501,15.40890397235294,14.7012195941667,14.892783482526296,14.51049660275,14.164954765809556,14.087746239772683,13.863887625000018,13.669372082666701,13.71295264204,13.30742754761543,13.122790680814768,13.086712302678613,12.927698711896573,12.751087293266698,12.768149715548393,12.668067464125,12.515390972666673,12.509738853470594,12.377504782771442,12.328827888166668,12.236751225810805,12.163168689894722,12.108231627153877,12.13855302295,12.155444508975593,12.125635447642857,12.118162448697712
2,28.252449734,26.552899677333368,23.844061886,23.252641453600003,22.1049116246667,21.38125159371427,20.282843071,19.584246516888932,18.545330922,17.882112805454547,17.268900853666633,16.753961229846116,16.451855960000042,15.848560878133299,15.891005573,15.595413945176471,14.869773326444488,15.010020764421043,14.6107011348,14.440446032380958,14.221511011090936,14.011127314782591,13.777253359333333,13.76611876672,13.426706890153863,13.219710509629591,13.144829727428613,13.080195707862067,12.919530326266667,12.812459475096794,12.712207130875,12.595012973333365,12.578000240352981,12.455006233485756,12.38106259588891,12.285365596864908,12.236833210736796,12.179889932307644,12.158811594100001,12.178726864292704,12.153552785333314,12.125976310325607
2.5,28.7915049975,27.7278970916667,24.74023019375,23.829308368000003,22.4589644958333,21.594982433571385,20.523354805,19.77581232722219,18.701143546,18.05489420363632,17.458675854166636,17.052085590384593,16.64698360250004,16.19116442899997,15.9380376625,15.659390454411788,14.981918471944464,15.158470160789443,14.68962143775,14.562354393333333,14.281101066590892,14.088616635652135,13.891040195833366,13.818071726200001,13.493334351538492,13.306173490740704,13.195102347500027,13.145878340344785,12.958863440999968,12.82460155306456,12.73860594765625,12.67467383060605,12.602414427500007,12.460832810428542,12.397151814166655,12.304150192297342,12.272179131447333,12.205206496282022,12.183684888499998,12.20019570560971,12.171895711666634,12.144439798604624
5,31.195924865,29.3518023966667,26.55074258,24.921825826,24.1442296766667,22.84007318142853,21.64576728125,20.66156880111109,19.612899448,18.782459995454563,18.2711421891667,17.74457066307696,17.280289039999975,16.758901425333335,16.44912337875,16.12837177235299,15.663922773333356,15.415638271052645,15.048881724500001,14.881232247619055,14.603968029090899,14.38716682130434,14.18257157125003,14.0568489528,13.80433715115387,13.55087237074076,13.4531058203571,13.314910998620705,13.14392365500003,13.031072112580645,12.882952950937499,12.786010989393974,12.743081754411726,12.653257329714261,12.57363643999999,12.418730876216221,12.40216313921057,12.318941254358997,12.2772247245,12.28359563926825,12.23236935333334,12.27353903744187
10,35.79342627,32.41288542666664,28.93985214,27.101455004,25.83407084333336,24.247757825714313,23.0227072,21.62797832666666,20.695024624,19.74747698181817,19.16682447166664,18.51812023846154,18.132226088571418,17.4150722413333,16.9906254225,16.62313497176469,16.084378610000012,15.859173476842091,15.523690061,15.17911777809528,15.02598750090908,14.76764317217388,14.527274788333301,14.3721846688,14.0993567769231,13.860798032592601,13.711519515714249,13.53861644758617,13.38247342400003,13.259987702580661,13.122963356875,13.05563856424245,12.92522384352943,12.81934794342853,12.73112256111111,12.5847535491892,12.56729219421053,12.46789661589742,12.3976578805,12.36577389804875,12.30279407523809,12.331173629767441
25,42.79361855,37.76268586666665,33.3263961375,30.460980329999998,28.33205916666665,26.755042750000026,24.85946330625,23.291146705555523,22.449680800000003,21.310697222727278,20.574193841666677,19.692032753846174,19.27397459285715,18.499481126666698,17.898304459374998,17.515308073529425,16.995630741666673,16.647219139473677,16.281329945,15.8759075738095,15.713933813636375,15.356356758695675,15.0373395020833,14.925058023999998,14.572892750000024,14.323427850000026,14.14916262142855,13.9374113551724,13.797363953333326,13.636360924193525,13.466604499999999,13.356629778787925,13.2361470279412,13.058748985714326,12.984321419444425,12.83473664054055,12.770326022368424,12.673963821794901,12.59018203,12.517434534146325,12.413389969047625,12.377463777906975
75,61.101369874999996,50.909280383333325,43.65549615,38.69973325,35.223725550000026,32.53959377142855,29.8356261125,28.0708904888889,26.420112135,25.05701147272725,23.874745529166702,22.784650215384648,21.857406507142876,21.0555189666667,20.230962853125,19.722133011764726,18.989150969444424,18.39461913421055,17.9777138425,17.434423504761874,17.084709881818174,16.694444773913048,16.345242960416677,16.086035846,15.7060941076923,15.390248927777774,15.179025248214325,14.889227644827626,14.613115313333324,14.439617245161301,14.263033875,14.049555465151549,13.838807282352926,13.68067920714285,13.530263745833375,13.354101244594574,13.216281572368425,13.0689617807692,12.908091635,12.77872181341465,12.621868815476176,12.46379587093025
90,67.59098474,57.0881835266667,48.127713555,42.010993256,38.00988349000003,35.0412459085714,31.9046115425,30.0393446355556,28.169768624,26.71815688363638,25.216383085,24.122395550769212,22.996466481428612,22.09748345999997,21.40489484,20.61153218470584,19.86169235222226,19.214506474736883,18.693369578000002,18.21553305714288,17.70839001727274,17.24246493130431,16.918940218333358,16.6270240144,16.25255608923073,15.86128069333334,15.57292518214286,15.268764081379299,15.03618791133333,14.80691074580646,14.6184952475,14.34824888484853,14.154352835294139,13.958858090285691,13.7312075933333,13.55600358864866,13.43558421526318,13.23199908717952,13.0324899475,12.91538120097564,12.716647696666701,12.5103765023256
