,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620
Low,220.86149342333377,227.57118466619036,233.50908385118464,249.10640735533363,249.13639062413768,257.40201325226934,261.80641142503214,265.7984151863637,269.3543093727345,268.3210219254543,267.77886747584796,273.11172458692363,275.7868090268947,276.86893586108135,278.93173867812527,277.63257463187705,283.05419631177926,282.63936893402064,281.49911467883317,283.3735384103941,284.97050616628815,285.59867938487383,287.33631654480445,286.7315822346455,289.7968487138464,290.71947780239367,291.3354676103851,292.85172106294044,291.15945473863576,291.73786949259704,292.8231157787858,294.67024187263166,293.79424865382214,292.1941188199216,293.7107834003942,296.26259019189814,295.7481018940575,294.87207755906434,296.912239664701,297.8398955229579,297.1315264492125,296.3894841597332,299.45787585123713,299.1013574495516,295.71146515781203,298.11860227084736,300.3564536726167,301.018678177901,299.53815691202806,301.75619598428466,301.9400589975392,302.0692733699596,301.8429181599053,300.9635272197789,302.8382128892763,301.8956635436546,302.0854350540902,302.31987213451845,302.70275683532486,304.05052434315166,304.78893644226196,303.6258456028404,303.7892955782736,304.8513497657503,304.6402206777218,305.76423001953265,305.2956341977765,306.0251830960722,306.09974220368304,306.3265759041258,305.9410883614608,306.0461909132084,307.81102948630024,306.45284996814263,308.84585316372,308.1267348287232,307.2946265053911,308.28416847032787,308.4161975039298,309.47682320394716,309.7563218360587,309.77108152880663,308.0270216287715,308.6869559899501,310.4396274024646,309.31954268772046,309.3215657461103,311.22365205473955,311.37238397835563,310.3396064487425,310.6162065828965,311.17469251206916,311.6793030896291,311.54325042656916,312.1741975343182,311.0936097379799,311.4369933202889,312.25287445104766,313.574167334528,313.1875956397647,313.91716491963325,313.383358335406,313.7691430281406,313.8324060828447,314.08704937738577,314.2557414479267,315.04435299786724,315.5960513397328,314.98512157286694,314.8549138208826,315.594089206423,315.8256307290435,316.2111437788837,316.4006682831956,316.8652034412857,316.9638703306614,317.2905216807962,317.77454745344727,318.3750630480213,318.5361614303685,319.0113633525274,319.58155788394777,320.48528919316163
High,492.16836672777765,446.6571833019047,436.93877346131586,416.14275741016667,407.86806162850587,403.16289444705865,395.1776431193909,393.84740302136396,382.56834397236776,384.6759625971047,384.18018584988687,380.7792095063944,377.2830981852274,372.268820454505,369.49757447238886,369.9816651255605,366.52325969066146,365.1083718911425,367.3822326931818,361.9973445049266,361.66486078191446,359.36376204258545,360.0379739736904,355.9001394615805,357.47595317633863,357.4625322942453,357.0301401669733,357.4353798098184,355.07785602225465,354.7903629275069,354.9121690242019,352.8995342311607,353.0179038972837,351.4798996783613,350.2390432144445,350.3328090322916,349.34954538815106,349.169062734399,349.45872362620497,347.38574327171483,347.4268909870681,345.85120267068487,345.7214627884075,345.66805615561486,344.9698589839701,343.2502875762429,343.92707754200865,343.06463683245903,344.35949678052975,345.71207278352836,342.87866503145756,342.22714146764577,343.39224265358433,342.42723809335257,342.75790455890655,341.38082043713445,340.5435561055476,342.0478675592128,341.3227730922507,339.9474392155541,339.6687148869593,340.78533750609125,338.853225480915,339.2011476486569,338.510421748223,337.89587782652677,337.32204452045323,336.6006833453901,337.02268256138206,336.51877508625574,337.6195711899449,336.4012525786443,336.09722961675294,336.1860591090246,335.8884332720693,336.67519011342813,335.33438417448684,335.6334577201082,335.4793402158964,335.35861917227226,335.78816781095827,334.24227871911097,334.99406318398945,333.27408786689614,334.23141915429,333.55212341452653,333.4625776805527,332.98697769462586,332.94180746775294,332.6353897670397,332.9281835481995,332.4209889405482,331.5608194940647,330.82493565423226,331.6624347519555,330.87025279761195,330.60780772634297,330.3831672623431,330.93362467139826,330.56768687931617,330.01872772478396,329.72432128115935,330.2647992924698,329.7440190461502,329.36546762469175,328.3969062124335,328.99387458239477,328.34338897279173,327.7743604616197,327.70432416792653,327.39082364219826,327.351146684246,327.2449324339397,326.84656645112926,326.5074431885203,326.00789877719353,325.5139931696278,325.29464846423764,325.06220544711033,324.5568756742109,323.9855277919029,323.29131710783616,322.58516818718874
Mean,320.56529058120003,319.4654841513143,321.98532359365794,321.9316883384467,320.9160918034138,322.2722879492303,322.93242644831923,322.3718276601778,322.7531203794596,322.69000948129155,322.002175890282,322.1263423467241,321.8583587396584,321.5506395270054,321.337671429319,322.79130739506115,322.4558944592067,321.49669102305046,323.2002460860386,322.13030338458833,321.61186459597735,322.55878630894716,322.42985618641796,320.9505193135675,322.40649061086043,322.8607129858059,321.8815591293331,322.13202956581955,321.46041163312236,321.64517244835406,322.1427935122538,322.34382262436054,322.17528729562747,321.89557868491704,322.4237330556388,321.82207424747116,321.78584139560513,322.5890662699017,321.8742734680373,322.2643123603217,321.6414332325886,321.6460959668656,322.2608210164651,322.5911128463461,321.1424982828913,321.3597656852974,322.18730705280683,322.0299956025446,321.8232844880208,322.6190405808906,322.46199771627465,321.8865143913815,322.22863032859453,321.87252131596114,322.201395755288,321.2280657993022,322.15202937988926,321.95479190570023,321.90678492175215,321.7321882512472,322.29182912158416,322.02565892616565,322.01532702660734,322.40684809436635,322.2652126548417,322.0051690335035,322.10231447559397,321.76259763021676,322.2018462421816,322.0747393444266,322.173887002863,321.7756822283118,321.83332122325885,322.10786998826825,322.2066908259874,322.5160167006133,321.7162611742147,322.21533159099886,322.23564077958144,322.041769209263,322.18447488164946,322.21495695598367,322.10891553406907,321.9567916010586,322.30325460044935,321.9243752737455,322.2201274331596,322.09592326201835,322.361178560227,322.38172195127925,322.2017423748344,322.1416097751685,322.09350301169513,321.89370629300663,322.10552064637614,322.2199692338513,321.93055230128437,322.00644745336416,322.24815346538486,322.12739676219934,322.2110268706077,321.9764459866217,321.9894067020339,322.0464597271945,322.1005856101048,321.9817078141951,322.3132533007033,322.3530017529384,321.957160695337,322.12772919553873,322.2306104783865,322.07920881265477,322.0903671863583,322.04447394539346,322.1720677388974,322.15312678817224,321.96715378378263,322.1604440298992,322.04843080191955,322.12672702307464,322.1501867022815,322.1666952716633,322.11941877175485
