,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
0.5,402.088374156685,540.5122417999811,661.6158455934675,805.5535433126954,900.02735440666,992.102477567435,1092.100825164896,1171.865866194885,1255.13665801412,1345.5466678336309,1444.5635798925662,1532.543135390959,1612.851558170415,1788.7846535008
1,410.91082441586104,551.658478228372,682.534358027798,819.41915046428,911.6330635136779,1014.735662587988,1103.734570238232,1194.7206213343381,1267.882183756238,1369.860107224992,1455.30514352566,1537.903595802858,1624.51095852094,1788.7846535008
1.5,416.3077515076675,564.7684936562,694.2743486629865,825.45785873287,921.6496529827455,1023.866139970937,1114.323575464192,1200.58253463597,1280.336556497224,1375.209479346412,1461.453419110772,1547.721843135395,1634.00720912699,1788.7846535008
2,418.77607380680996,571.094608907366,705.585202801542,829.700908824782,929.825658567084,1030.3777156769738,1118.28163247886,1209.2939009706222,1292.743132299236,1380.837243855292,1469.3877371353801,1551.549048290876,1639.219979484356,1788.7846535008
2.5,426.51884979805004,578.0407050113224,714.30649432108,836.97391728752,936.6011778234175,1033.3921013418949,1130.4937487489474,1210.7330343946248,1303.7296068756,1388.54216670113,1478.22295503663,1555.559610333805,1643.8588690153,1788.7846535008
5,446.844775787175,595.0281714463649,733.54205974741,855.1157767819601,957.96345007914,1051.34193169737,1149.6955421331,1230.32084042976,1327.24403012207,1408.6510020552998,1493.50434377139,1570.0744025944,1661.9670445402,1788.7846535008
10,469.67654768157996,620.65852739817,758.0282216274401,883.18663807748,982.3569494222,1082.46567111252,1171.0292005654,1258.11811352942,1348.1068505521,1429.53823379691,1514.00491503472,1588.6720630022,1677.2734894461,1788.7846535008
25,505.193057715975,661.1386392776501,802.06680022455,915.3412720429001,1027.498272651425,1123.575249904325,1217.4972799539,1306.0269985412501,1389.4821817666,1465.9859547746,1549.6665372323,1621.6036844398,1699.57123728605,1788.7846535008
75,584.6814876189751,745.725482133675,890.726494104625,1011.1808468006,1119.074230134825,1218.642102528825,1311.7457704717,1400.36658095625,1469.9208121843,1550.60516462885,1619.2816250457,1686.9089292195501,1745.88133168075,1788.7846535008
90,614.2143943452201,784.2314841024701,928.17938874773,1056.0408426320598,1155.89225634687,1257.9541166899,1349.4274940165599,1434.2725542534,1505.9141234994602,1581.76738640061,1649.434639713,1705.2224412033202,1754.99616261748,1788.7846535008
97.5,657.334051088115,821.707638089955,970.2492073858249,1098.5280350035,1201.8715652708825,1294.81679813511,1396.0213611723425,1466.36610276956,1540.29398150154,1606.0140706421225,1669.69343672505,1720.113221683255,1763.821949284895,1788.7846535008
98,660.780195794776,824.65556900455,976.304708305932,1103.457253388304,1207.703154763746,1297.233682157668,1398.971392215492,1472.0120885884,1546.196292218704,1607.16123068988,1671.94844298178,1721.85200022782,1764.70989704756,1788.7846535008
98.5,669.830353350609,833.6981996925409,987.74781986732,1109.5630847325197,1216.8412690688965,1299.92878024659,1404.107054673179,1476.85145431658,1553.233129935388,1608.863512146048,1673.469956115125,1724.1097894873851,1766.013062057317,1788.7846535008
99,675.9140748261509,847.465999311951,997.7490566190929,1114.388626360777,1233.60837477117,1307.418055519935,1410.70065329275,1483.722244783099,1560.38019526415,1615.3694216984381,1679.0703085874359,1727.81814542767,1768.256557872138,1788.7846535008
99.5,686.161624190952,858.100596410849,1012.4568480448555,1120.302160174403,1245.6340198753726,1332.9564104491922,1416.4379778727784,1491.9693632424244,1572.952813350643,1630.1725300214034,1683.900612060295,1731.936808008866,1770.313596970205,1788.7846535008
Median,545.1418407218,704.1992277799,844.0109263977499,967.3006258048999,1074.4243081815998,1170.8442683051499,1266.9550208286,1354.9739137084998,1432.3212098709,1509.7809312617,1586.4920566438,1657.6311132327,1730.6848385588,1788.7846535008
Mean,543.6259512026068,703.1229732116055,844.0880759329771,965.9433058989483,1071.6252273188468,1170.242186610983,1263.533995277504,1350.4014432447075,1428.8831352780596,1506.7063087589936,1583.2323710459348,1651.641573491842,1721.3372024854734,1788.7846535007995
