,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75
0.5,33.15908340951158,32.13144462521937,30.95518113219103,26.932622274583185,26.51784012867675,25.455662190219655,25.316130427518633,23.206216478261325,23.87077856869286,23.429337840664967,22.61276022296875,23.107716958231784,24.126782380297836,26.385384732576
1,36.74377296632802,34.718184118313104,32.88090630843121,29.428832466047044,27.62046099642448,26.37838042965664,26.005744726402643,24.604640939630347,24.855094078970428,24.131815144951712,23.370991713705962,23.604039360138945,24.358052469302592,26.385384732576
1.5,37.994000704998776,36.0415823905707,33.481521547272955,30.242171947472176,28.617437228206256,26.986776452112238,26.654989775575554,25.106469955769686,25.1530325449012,24.356038738695514,23.758748572100963,23.76615087645396,24.440435599272416,26.385384732576
2,39.59723638005966,36.97954409446886,33.97781093037163,30.920216295450658,28.93046331391165,27.441165579901774,26.974195839666624,25.538925406535338,25.584562297067233,24.526077302676764,23.989353359161516,23.964149310994088,24.508500302759746,26.385384732576
2.5,42.0088589412243,37.74444728719059,34.55361706179573,31.68127517909725,29.5915303599124,27.656635946821808,27.512042195401413,25.974976324220172,25.82639567503009,24.833827538166155,24.145662202252534,24.146861448566117,24.723567388675413,26.385384732576
5,48.35428658634805,40.36710287062226,36.84365549940262,33.7725104828359,31.384764810718853,29.550918642142346,28.611025278861035,27.036001617983988,26.763413571526783,25.60596206736571,24.960868159774506,24.82949728605066,25.06925270534344,26.385384732576
10,55.2670256619266,45.443665224904315,39.5925919536759,36.01153229464368,34.20904638639444,31.35804259435829,30.1186797281998,28.35165172200952,28.030096471832923,26.503772795655443,25.74464696618779,25.72081230512687,25.50556240717297,26.385384732576
25,64.78510982945001,52.16671696162493,44.99507753114062,40.56146070029673,37.50136697589095,34.762823674912575,32.72614447862962,30.944962797311923,29.9792686374197,28.54618875989955,27.513059269063675,26.884505035065974,26.453611854045352,26.385384732576
75,86.699223240286,68.32279371096283,57.84896418270598,50.615463822366394,46.04185978900115,41.76244509659215,39.1713804133931,36.337347550295924,34.25612898147905,32.5827371112797,30.840786633519826,29.170002075203776,27.883177759618953,26.385384732576
90,97.13470558656935,75.25730840476488,63.090378717517964,55.41005982272834,49.3593476471599,45.124562236804614,41.82699892896677,38.63734700625507,35.97746730644064,34.1832815764607,32.17210226505007,30.19278632648296,28.59327835327103,26.385384732576
97.5,108.58064208143314,83.48919918168671,68.77249849546888,60.72400786904049,52.802281987755585,48.35047144435647,44.97536301967845,40.949433028396214,38.082936097701314,36.23205161227894,33.732859834172025,31.25923858063205,29.287308803223137,26.385384732576
98,111.02236430355553,84.53229754011898,69.35821817254158,61.52032385512835,53.13109513519854,48.8249078445155,45.2080860622755,41.09557390765369,38.613196678496045,36.37442211364123,33.99252405336957,31.436030296448028,29.412233384506468,26.385384732576
98.5,112.89633187976453,86.15969316819195,70.26950524219886,62.46259281566473,53.93165581310005,48.97096743862141,45.555508343331,41.2695705550026,39.02060696095931,36.73147706435476,34.304699868086566,31.560689662081117,29.517216699674634,26.385384732576
99,115.77475665736077,87.61678029227384,71.18000471447363,63.652099260398124,54.91673143224447,49.516250752070206,46.07834107261472,41.83665392938026,39.66819796651092,36.9410895394737,34.57398938709991,31.784098154370533,29.65425551743246,26.385384732576
99.5,117.93950623314349,91.4216883802179,75.16407920305697,65.17726798457552,55.73528035624369,50.724916389267236,46.67870148010537,42.37510771776304,40.63045187334207,37.85321563482549,34.897037998672154,31.86952549050416,29.85403543345665,26.385384732576
Median,76.82054548303341,60.0895374650989,51.32340733038495,45.28849226219595,41.337361727154146,38.3475123264338,36.015902632137696,33.52427276037335,32.1403581340564,30.5327957810641,29.2328367943394,28.08708520709055,27.203708249230502,26.385384732576
Mean,76.09580341977775,60.232402464967485,51.44399307572373,45.672634072722786,41.637818623029396,38.234575160867195,36.00892097607829,33.58474769576028,32.09032976614517,30.510658468915135,29.103769514714678,28.004131807748266,27.127972962208922,26.385384732575993
