,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90
Low,129.95748893108734,134.3474872642119,136.78471611348294,138.88691191249274,139.0512585219877,139.67253501217854,139.99175864667342,140.74036585830697,141.11588429945633,141.37325155107828,141.92350384318422,142.12600778183895,142.3846034413444,142.52023669049586,142.90373613448,143.14392199825,143.547881688236
High,152.7430469983453,149.89926932167495,148.63120267704497,147.77398491556866,147.19194261176628,146.65984232977763,146.48224017962357,146.10430793510045,145.82469637615745,145.61852012901932,145.4043442212333,145.21910444143677,144.9939251371537,144.83255208434704,144.59546872786666,144.36439441512243,143.956442492052
Mean,143.86522367199208,143.72960514304745,143.84057427658746,143.94115678745834,143.64382035627423,143.76255486698503,143.79769525493379,143.80424295091453,143.80921599176014,143.7708574246861,143.81567575797865,143.81967688714596,143.75384346006751,143.80701643449405,143.7752853045601,143.80213647448858,143.7974039439144
