,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90
Low,436.084881001015,601.0291384597275,734.6105059342525,848.91989646713,949.3924887876925,1042.059395012795,1123.270141267695,1216.1523535416827,1292.0131196813,1364.77992978368,1455.126521760785,1523.2222617623052,1600.99823476503,1670.345004951975,1744.92857360335,1827.422837210255,1921.0211401615
High,646.308959526085,832.3492431281875,973.209591001385,1099.1881875921051,1216.309193767815,1304.5334057107375,1393.7512116298149,1474.1444916010148,1555.329425949115,1623.771000474185,1690.8087164678775,1757.39309639197,1815.9324718630648,1868.7179502275399,1917.056519046975,1955.7484490783502,1984.9869680983
Mean,546.7000326739259,719.9133398520657,853.4189639508692,973.5718152603192,1079.2486734523816,1174.1360004954777,1261.6701784475483,1347.403789415429,1430.7122464334393,1502.1487616593083,1578.7151121733875,1645.6823881164673,1719.8802778558506,1782.795169736269,1847.2574037308827,1911.466228983344,1973.367153779753
