,mpd8,mpd12,mpd14,mpd22,mpd28,mpd38,mpd58,mpd60,mpd64,mpd66,mpd68
Low,149.00112776964272,156.75914380909097,157.9211794763737,163.5852838738097,164.39411339126963,166.72055618413916,169.13426777220207,169.19660099641223,169.78112865972216,170.16370987205156,170.790362132572
High,183.44108632857157,180.29767823484877,179.11955087087935,176.32144445476186,175.09462990476214,173.87752772446694,172.10500408702336,171.92040357423744,171.57936120439027,171.353688993939,170.790362132572
Mean,170.77397164807144,170.79525879369697,170.6272651473846,170.87888923367964,170.6686340276508,170.7203474364865,170.8159939020181,170.7467168429288,170.77761213917856,170.7853365507776,170.79036213257206
