,pd8,pd12,pd14,pd22,pd28,pd38,pd58,pd60,pd64,pd66,pd68
Low,459.19982995,632.89970775,705.7615929250001,1000.4306997,1197.6341412499999,1499.704719825,2123.51437335,2173.076562775,2306.331347425,2377.670525875,2491.392737
High,649.3838053999999,868.3585777999999,955.66516785,1289.953790625,1493.142614925,1808.0932737,2318.410360125,2361.82827515,2443.6504678750002,2472.7448925999997,2491.392737
Mean,563.0729357759999,752.6841531050001,834.831898098,1139.995415697,1348.0896524739999,1662.75664923,2233.397000984,2283.4828794440004,2390.5653588669998,2442.323149802,2491.3927370000006
