,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28
0.5,113.83410683000001,179.18459248000002,289.35789828,377.67284915,464.623374675,573.354108775,648.412632005,731.25260412,805.6818951700001,889.33729203,969.0661097999999,1062.5792708000001,1142.240675,1321.345984
1,113.884144,204.54266791999999,298.64159391000004,395.11535691,483.18830816999997,583.55622962,663.3087022100001,752.55736293,830.4744386,895.26944996,983.5989864000001,1067.53907311,1164.796385,1321.345984
1.5,121.76013531,216.332077465,306.44593434,402.68072548,498.40650012000003,600.0044366899999,680.3668328350001,759.03027089,845.10374302,910.6090411050001,988.0432034549999,1074.83355424,1172.66852815,1321.345984
2,121.792767,225.59005420000003,311.13187512,413.88232338,509.64637272,604.89345238,686.0648509600001,768.248631,851.09984902,918.9747844799999,994.18421114,1082.9037366999999,1180.515575,1321.345984
2.5,124.42890975,231.23271195,319.9558516,420.622106,513.728936375,612.5692541,693.718554025,771.2080994,858.973042975,931.14704655,998.84222905,1087.0841515749999,1184.324288,1321.345984
5,125.711201,238.1733,349.695843,444.0749081,537.05536075,631.2180725,711.29528815,793.2435376999999,877.1813168,950.74736655,1024.1092353,1103.1455257,1191.63619,1321.345984
10,145.90531,259.4710637,369.3963068,473.654472,561.697497,652.0518625,735.6593349000001,816.0808867000001,899.4217509,970.3822479,1046.4301101,1125.4328717,1207.46184,1321.345984
25,179.105309,296.87158975,411.18462350000004,514.35931125,602.89628425,695.30841225,777.54592475,856.4959375,934.5375985,1010.91912625,1084.886901,1157.95428175,1230.01755,1321.345984
75,200.092736,360.064153,483.46818974999996,594.27785275,692.281947,780.83517125,865.9785395,943.69049725,1019.62713975,1086.9487940000001,1160.33842825,1225.5190145,1282.294689,1321.345984
90,200.092736,384.25158,508.6761656,624.4490744999999,728.9022178,817.6130519,902.6057524,977.9731257,1052.5177804,1121.3748186999999,1188.5586361,1249.5843742000002,1298.12594,1321.345984
97.5,202.810614,390.880531,537.601179,656.7095157,761.730583825,859.7329943999999,942.37954895,1011.955566,1082.237377925,1153.9992551,1214.904551325,1276.371484375,1316.041997,1321.345984
98,202.810614,390.880531,540.32869944,659.801184,764.1574847999999,866.0610773599999,946.0485061200001,1017.5089365599999,1087.72106102,1159.84976448,1219.2752849600001,1278.17890842,1317.221167,1321.345984
98.5,202.810614,396.274399,543.08711283,663.31928489,767.495586105,872.320280255,949.7186973400001,1028.848757835,1092.99065339,1161.394530235,1222.085559,1280.48826002,1317.226584715,1321.345984
99,202.810614,396.274399,545.072909,675.52653561,773.7024996,876.26310783,956.1511752099999,1035.48023532,1099.67605233,1173.69292446,1225.9653807299999,1284.26423,1317.582348,1321.345984
99.5,202.810614,396.274399,560.156889,682.370393995,786.006034225,890.908257415,965.647214455,1052.855799,1109.428620725,1180.49512828,1233.992116645,1290.461203065,1317.582348,1321.345984
Median,190.787795,328.900326,449.78536599999995,555.0904765,649.561087,736.663404,824.3349125,898.3693975,977.8527165,1047.2665875,1123.5328385,1194.705571,1261.108324,1321.345984
Mean,184.018862146,322.692064872,444.349643248,551.997546585,646.4551869320001,736.665528171,821.459071829,898.9300866760001,976.1459908469999,1047.464187538,1119.894436766,1189.652332332,1254.9919673289999,1321.3459839999998
