,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40
Low,24.375729424,44.2702565109809,145.830492610527,145.89705591980362,170.7088433122255,178.85060757378417,194.43494714025437,205.30425838271995,207.17272624121506,218.84317184222138,222.02866489509697,229.20851771404043,229.79970719406424,237.09619879555936,239.58470964342442,242.11377217235457,247.83612436468633,250.1235065723544,256.42457100182173,261.74487284423
High,426.3841998189,393.4074648779208,368.6419865194408,355.8498185758535,340.22645326340233,332.27619162954676,326.3500098448816,323.12548269797264,317.5448590433968,313.9348820927492,307.52222053662086,306.4858664603319,303.6815776230139,300.14406732416643,296.0862631602566,293.68161968921925,290.0989201417658,286.82488163126453,280.9086481956547,273.473160178701
Mean,271.4221384048228,273.4958127214476,269.74753557194026,271.6652969975117,269.9913757544776,269.9577116599116,269.12619428945777,270.57694507486633,269.6260948002123,270.13368647459095,268.6934547113087,270.66501114988574,269.81434120302384,270.33718120409037,268.90896447085436,269.7645030463505,269.73216061426905,269.82377102182653,269.6420443840913,269.5678882805803
