,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
0.5,481.24593715534746,622.0632269285995,740.153284410297,863.887766974985,967.428112751337,1053.6752872147101,1142.0884110007817,1253.385652491132,1333.8617385222185,1444.81758211405,1514.2099020000085,1606.3968078124785,1724.62140530187,1834.5985465107
1,488.016070968605,628.717921631328,764.8693149239231,872.831329288778,972.9071152512921,1078.4789968144169,1179.129678987053,1276.40338994333,1351.311743946978,1458.5174499910731,1531.4012115855062,1621.208320559914,1735.21688379149,1839.33570715797
1.5,489.763872141762,649.2225445235146,776.010428858739,887.8197065226815,990.4514387267969,1097.7758925802625,1188.0860552000734,1289.4407753386845,1364.0603586203656,1466.058844520765,1539.551435627475,1634.4071041937596,1741.74275998414,1841.1555202546099
2,493.140887118266,652.870991076908,781.746330038116,890.192327808476,998.708755963138,1103.4620527026561,1199.495896517166,1298.297895997554,1369.344369159166,1477.814385536246,1550.5786542471142,1645.269238385794,1748.06884357122,1841.70485830906
2.5,498.2794379498675,661.921586600635,793.1033462556725,900.1547302249976,1005.026100698075,1112.8076683691374,1206.8916787292148,1302.5471567795676,1379.0118408604676,1481.9410719078498,1554.4934504802327,1652.2122632457,1753.9038205013576,1871.9892600482
5,520.049327460545,681.20146884735,822.674891928335,926.1770254348299,1034.10921945267,1135.5262352782001,1229.13023631791,1330.340280820315,1412.8694327752999,1511.8373392139652,1581.4275187488,1677.23072925695,1790.1659850929,1921.6500722933001
10,544.42357467888,704.81530908588,845.05347935363,950.1267901234701,1055.55067655065,1159.89441981055,1262.5919777556999,1354.25172473717,1452.86516570257,1542.86336594647,1622.7719062037802,1720.4925440692,1825.3049580888,1932.39162699177
25,585.2335496201999,744.641895769875,886.66850823365,999.7757734671251,1111.8304717744,1213.1761560028249,1324.1546365544,1414.9995012901,1510.90568146125,1603.024718741075,1696.3495242331749,1787.78555172395,1882.91776372795,1977.4591329087
75,673.9360294125499,852.82184737495,1004.17095143425,1128.19507890425,1257.7075043171499,1360.160184142475,1471.22893740765,1563.966456359,1653.72400601865,1736.536133774525,1809.88740479525,1880.318186477175,1946.79680266725,1994.3727286147
90,726.06671996021,914.85520777588,1076.5082492506701,1193.83465379662,1321.8868386052,1420.8108529985,1526.8109631231998,1615.55194471123,1698.69062840943,1773.63155244693,1842.03585978957,1908.2074441160999,1959.6349278474,1997.482028096
97.5,784.5261752353449,975.5198408319275,1136.2372932235073,1265.9329541245252,1376.0712620615675,1480.8090945382023,1591.3610119365226,1655.4531541682575,1737.78206907202,1811.5685978335573,1874.2327936099675,1924.992178434325,1968.461984225125,2000.5101492208075
98,789.258555758898,984.63007436789,1145.24704671086,1271.29406544267,1381.196573778228,1489.526080397772,1596.388823802754,1666.363518180736,1745.393593954528,1816.87137020578,1876.3834434517598,1926.04279941576,1969.742575771226,2000.60862808808
98.5,793.8830370742274,990.682149252056,1158.865986182658,1279.3299492128374,1393.260622268398,1494.3772382456284,1602.183045076568,1675.738297914066,1750.03604079162,1820.8697497024054,1879.0165796949095,1927.1962331239745,1971.8748741106256,2000.9112092584546
99,804.2198219528649,1000.8314692990881,1163.556999841689,1288.469508012627,1406.497750938906,1510.072021600613,1612.607458053523,1685.33319062082,1756.229804620564,1824.843443290256,1882.119622538013,1930.0702305781172,1972.713522505487,2001.770557258893
99.5,829.4773801882725,1027.097382693255,1179.25341837103,1316.1894003766095,1422.9874877710263,1532.9351560451234,1625.419314962082,1691.353362509413,1764.1451049928714,1833.6082379240102,1894.628111052515,1933.210004498405,1975.7400063222,2002.881965077
Median,625.68937341525,793.91122998695,936.2117023643,1055.0818223053502,1180.2839654414502,1285.1244218629,1398.0542477135,1490.4999973480499,1593.5532149403498,1678.8987734877,1761.48094508035,1840.40324909415,1920.8119430378501,1988.2246656987
Mean,631.5492531452038,801.6498634336854,948.5944391332439,1066.2420468691382,1186.643841138396,1288.2803879660046,1396.8325951480767,1487.8756693032542,1581.7779628827084,1668.033267253043,1746.0800820092538,1826.5241737271556,1906.3702854917506,1977.023683684528
