,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
0.5,119.38541109052349,129.02849422448068,133.4130509598278,136.1478647207744,137.69652281592826,138.5523934323501,138.86039825821044,139.74629620483933,140.50260916725009,140.70394675616961,141.12546023527815,141.56820051870073,142.15484988701775,142.7161054329435
1,122.075122748107,130.81360948349993,134.36960730422874,137.8705210074221,138.48688381406708,139.0158772658746,139.6706857221274,140.12820980357995,140.71941811817058,141.01716102922117,141.39875724660456,141.8448751626391,142.29903903827076,142.8497522085413
1.5,126.23630932322017,131.6994098319894,135.0234120554471,138.19675753503995,138.85577374255024,139.4623867414066,139.92768598164514,140.45461743173522,140.9805830081872,141.2054468172391,141.6325746624967,141.99879528002523,142.36707491481226,142.90365828920437
2,127.98841217489888,132.90260510925646,135.44869438346865,138.414511081906,139.24273697149545,139.73446504964616,140.11856437635825,140.7355867181117,141.17945768972967,141.29624453520518,141.7839488889141,142.1593968957504,142.49191097639286,142.918402409405
2.5,129.2288978558856,134.19738866561042,135.97443173405148,138.75242987714958,139.45762782126027,139.84187770215448,140.35757347080678,140.8124856788674,141.30759038059153,141.35348473616003,141.97163329907679,142.24368680949087,142.5897427888473,142.9935434820148
5,131.59037804510788,136.08512827728916,137.77829406220803,139.73192122248489,140.1521982875413,140.42052642446865,140.85984422528233,141.3917635648741,141.7972318755845,141.860244758742,142.39647268718952,142.5842381382717,142.9315131077247,147.12344836100726
10,135.7690484312783,138.4162621370649,139.6423141569318,140.53807686094382,141.0058367355711,141.1929850959484,141.7173667864777,141.9558356284369,142.3645772777807,142.504839265429,142.89027727590891,143.0936814882074,146.8968689157316,147.327798466486
25,140.4677890951935,141.59338064225724,142.00413418981373,142.47507016763325,142.5640994809035,142.580072746111,143.0764791666055,143.17164961327074,143.65805918127398,143.7720104227785,147.73188926826248,147.61000109373276,147.59299016050727,147.50888649698274
75,148.9627990043635,147.93015589968425,157.98744691787076,155.93895670408176,154.57891797598575,152.91863413441348,152.01678645951975,151.13227099541425,150.5343448950205,149.8903843323325,149.26630436626974,148.7397847968175,148.28044145081122,147.840849405348
90,177.3974998473924,167.9970287480536,162.1343913406049,158.5754900422952,156.2740923759755,154.4466652315457,153.1587220883272,152.0146888925912,151.1627932121439,150.394229322623,149.6802163982428,149.0810839333386,148.4877551654865,147.893580708671
97.5,184.39486363309805,171.27617751662086,164.54215347055302,160.2788803502936,157.70972961068125,155.46060478238365,154.21072085227036,152.77060111496152,151.76922662879187,150.87997726845305,150.11784747567003,149.34568425227914,148.66841640242495,147.94099199680304
98,184.91562079295986,171.97878886307615,164.73688469973567,160.38193032540755,157.8367508808883,155.62857964710054,154.35820837615316,152.8360875703074,151.8354974196028,150.92794088629486,150.1556746388487,149.38180394108656,148.69470180430454,147.94856121633
98.5,185.76438902717268,172.26510595227975,164.98386614738712,160.55731378259085,158.0523036473084,155.8678793995229,154.6387811101397,152.92627562139754,151.93445563394872,150.99128362413174,150.2075080352212,149.41493389454837,148.71164687311003,147.95069803146797
99,186.28185376657152,172.73030384608705,165.30496250251852,160.76764719377775,158.21460572994752,156.00883953514463,154.70371309257752,153.10318132387633,152.0861368908753,151.0804317954848,150.30245788263414,149.4583147598366,148.73386039297094,147.95812684074585
99.5,186.99330804388603,173.5654573536963,165.62974158917862,160.93846650754872,158.71950192428,156.1155692920385,154.85352762763665,153.22744814310485,152.30340456752288,151.19317721351484,150.42990361205833,149.60752761006415,148.77023190848175,147.970240599926
Median,144.707535661235,144.6263830284135,144.54399651630501,144.6749392480475,144.57041890413848,144.5347387717855,148.73993730042048,149.4964010035555,149.460571894646,149.036595989738,148.733685551936,148.280756958742,147.9975624347545,147.72126828010948
Mean,147.71052926541097,147.6770913897441,147.91260890260264,147.72327314290223,147.66823326892137,147.2045243705312,147.49142697644942,147.38700139191843,147.74076377113087,147.5933085944656,147.67210051489488,147.51591069655046,147.52356206666346,147.5389957099944
