,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75
0.5,35.11663714056197,35.25674223375114,27.368866054175907,26.862364434520558,27.098209231963565,26.27075073507442,25.835182282604652,24.540099472480943,24.117623720717777,23.486091624146695,24.277532380873627,23.279293093962256,23.43980429335145,24.95499921797218
1,37.12093899503262,36.67001007660215,30.23617393556017,29.07672627540527,28.63943805548331,26.83235441348908,26.511634039302233,25.392169308284476,24.938432228458247,24.503418926876794,24.547354984343066,24.157244128417506,24.273667196203505,25.10152417761199
1.5,39.15964011497636,38.26524908755484,32.56922622802976,30.460059727156242,29.013683606229105,27.714270197464824,27.479221296527335,25.54564982574704,25.468483093219188,25.251501684033332,25.040934241925598,24.445413086973584,24.55615265502542,25.432803192184267
2,40.30472330005314,39.501198996485954,32.997708978516926,31.296383919767745,29.831359870859888,27.909545242683638,27.85039481168024,26.253043425924265,26.04757004944378,25.416453716779593,25.342239576369487,24.77614404607097,24.84727390336521,25.5783059717032
2.5,44.05083262889358,40.196348709953114,33.82843638615058,31.704358807961732,30.46350827073763,28.144573817789755,28.31828484141231,26.700136250728384,26.34116951662184,25.68983817624908,25.572573284776688,25.039912936311758,24.985829016321613,26.9947721991026
5,48.8016096659389,43.00128878682743,35.81374997163295,33.33932689970464,33.11135677011721,29.75914037884743,29.9448991447077,27.93542477028158,27.0653853475964,27.13576241446984,26.61161975602401,26.129190846174453,26.016202898578204,27.395729461328266
10,55.896684623288,46.41993797493445,39.56609751131721,36.51282986728215,35.25970520576373,32.244565938460006,31.89897678980044,29.9838168462067,28.79471863378602,28.41823962895083,28.16643408018482,27.34685485957117,27.564683153103438,27.87107957684223
25,64.77527850535924,52.817506642217026,46.1197930922195,41.7933395584192,39.36457873190323,36.11524715041165,34.982366088348975,33.09944265443413,31.790562986864,31.447683913553874,30.374963040704724,29.47954302972245,29.241041602403374,28.9371229112325
75,90.11664727766545,71.67857676804564,61.04391664329075,54.7903160814553,50.340379968984024,46.65044246357073,43.20257922209365,40.80393579551978,38.4761412962669,36.655625201639026,35.08913818363228,33.24323762357625,31.5387456478839,29.7115684628872
90,104.64682031597081,82.0524136414833,68.8556094317931,60.754161798739354,54.960182624625375,50.36618811030895,46.85954638398353,43.89088527095231,41.22402975285622,38.50470768338772,36.62167491685635,34.49567020223487,32.32072447860222,30.0521210490698
97.5,119.56102320771684,92.6110509894386,76.64689598724638,67.18986514825627,59.21967717141243,54.15945943096394,50.128208545319005,46.6231514117163,43.371372835375915,40.13896331328519,37.90339461521159,35.69377414853586,33.134871621498625,30.461141462657398
98,121.4399835247908,93.64166275855254,77.35274366383616,68.23469377737236,60.014110319593875,54.77476556351355,50.84811305174657,46.97006945736585,43.5099220797715,40.38451260058902,38.13628466749217,35.78140751715069,33.27146190348098,30.520881108225524
98.5,124.2267616647733,95.90175679189379,78.57200749255371,68.7364700486995,60.91434300284415,55.45812174229821,51.601872470405524,47.80372934673027,43.80643461382106,40.64614616337187,38.33136745839685,35.902977771401105,33.34116323115358,30.673929428122623
99,126.07553629135109,97.3819041825193,79.6062342656698,70.93338719062668,62.52282428997728,56.475220120390354,52.120895430502124,48.44105022148173,44.58621479213477,40.923797071826414,38.55488877785059,36.05411298789022,33.39264380580064,30.782452968049146
99.5,132.4299802925602,99.72383868402966,81.8966154436217,71.7729695343072,63.8010136680715,58.09774951430838,52.87995134115884,49.16298375164299,44.94078338876357,41.56808682460332,39.16171611244088,36.24602069965958,33.67051315853854,31.003515850224
Median,76.6984097531139,62.1190116549317,53.21082234406795,48.08089540067035,44.23977952052485,41.5936965592537,39.373663475551695,37.107945553998746,35.3756960044405,34.2498868685267,32.90894627998715,31.4396410445017,30.517913049456197,29.312231486353397
Mean,78.4440563189712,63.18516290318903,53.71689210768869,48.36229638297629,44.78868973745028,41.34338363355151,39.24109016794943,36.91300411755997,35.108869228049784,33.83764063910466,32.601798923967465,31.18587170679141,30.17904597167304,29.142958414138537
