,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
Low,129.2288978558856,134.19738866561042,135.97443173405148,138.75242987714958,139.45762782126027,139.84187770215448,140.35757347080678,140.8124856788674,141.30759038059153,141.35348473616003,141.97163329907679,142.24368680949087,142.5897427888473,142.9935434820148
High,184.39486363309805,171.27617751662086,164.54215347055302,160.2788803502936,157.70972961068125,155.46060478238365,154.21072085227036,152.77060111496152,151.76922662879187,150.87997726845305,150.11784747567003,149.34568425227914,148.66841640242495,147.94099199680304
Mean,147.71052926541097,147.6770913897441,147.91260890260264,147.72327314290223,147.66823326892137,147.2045243705312,147.49142697644942,147.38700139191843,147.74076377113087,147.5933085944656,147.67210051489488,147.51591069655046,147.52356206666346,147.5389957099944
