,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
Low,498.2794379498675,661.921586600635,793.1033462556725,900.1547302249976,1005.026100698075,1112.8076683691374,1206.8916787292148,1302.5471567795676,1379.0118408604676,1481.9410719078498,1554.4934504802327,1652.2122632457,1753.9038205013576,1871.9892600482
High,784.5261752353449,975.5198408319275,1136.2372932235073,1265.9329541245252,1376.0712620615675,1480.8090945382023,1591.3610119365226,1655.4531541682575,1737.78206907202,1811.5685978335573,1874.2327936099675,1924.992178434325,1968.461984225125,2000.5101492208075
Mean,631.5492531452038,801.6498634336854,948.5944391332439,1066.2420468691382,1186.643841138396,1288.2803879660046,1396.8325951480767,1487.8756693032542,1581.7779628827084,1668.033267253043,1746.0800820092538,1826.5241737271556,1906.3702854917506,1977.023683684528
