,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615
Low,1217.043443125,1578.603644375,1960.382331175,2244.583984675,2535.959660325,2811.348183425,3093.5990901,3394.009258375,3635.098639575,3873.260970875,4135.239581625,4311.2268877,4579.7211947,4786.03654295,5019.275627825,5204.50282,5381.90431795,5602.44499455,5831.05644865,5940.104268024999,6217.2684802,6371.649600725,6485.593661125,6736.49675595,6857.036196675,7061.210685399999,7213.2569445,7315.83406075,7431.7325847,7607.498452275,7781.633446575001,8004.76890535,8106.5907367,8223.8931085,8440.959877674999,8535.86316105,8778.750208375,8903.113893425,9029.2692128,9178.627019450001,9311.81111585,9366.0738725,9618.9991087,9751.692542175,9852.334202375,9970.889306475001,10118.119747924999,10232.504750150001,10300.344355975,10489.380656325,10619.12400405,10765.805424925,10879.4833398,11124.989405549999,11159.966910375,11335.419922575,11389.567388649999,11595.638679775,11722.0579842,11841.647034125,11927.925932975,12157.064913025,12178.723023425,12296.249562575,12405.278846149999,12582.404730975,12690.12365545,12804.475013875,12902.395536625,13034.597339725,13198.260961,13221.875034875,13434.051259650001,13481.1104064,13643.5807504,13774.739834275,13889.9421231,13999.896302475001,14102.65437335,14301.3751891,14339.417492300001,14416.3344036,14572.673314125,14650.622885424998,14818.46692145,14896.702981575,14945.397161975,15228.742012800001,15286.568995,15350.811125249998,15539.0543474,15663.796028875,15769.48097115,15889.4730502,15976.547266675,16090.704911625,16176.665663525,16340.64856015,16504.817144999997,16562.1907613,16667.057864725,16752.2341709,16908.2065543,17003.630544925,17168.320717525003,17295.077253774998,17355.334786925003,17445.6256212,17557.801169975002,17747.856718224997,17907.572493925,17977.896037375,18078.942081,18172.14280535,18374.28690185,18429.197768875,18561.289868725,18750.110114175,18857.6783174,18950.537928150003,19153.71723645,19465.13053
High,2111.9725271249995,2702.312667275,3158.735578325,3587.4185961,3920.7630645,4340.78367045,4645.77335535,4911.6405795499995,5260.85893985,5549.42852005,5753.123077825,6101.207219849999,6293.444079899999,6480.707329775,6717.317256575,7017.982922900001,7166.2880027,7336.620560175,7666.644404975,7855.578400949999,7977.682176325,8107.738171049999,8351.1790455,8538.99738665,8778.5797637,8921.384647375,9024.735129325,9297.636940600001,9472.433436225,9621.777694299999,9771.941597975,9911.547180925,10032.855856025,10321.52235685,10410.8926766,10515.003245675,10743.266693475,10788.33107815,10968.786276275,11084.348926225,11316.7464625,11403.973169674999,11553.225892175,11768.93678075,11828.262422175,11885.070617075,12054.046319975,12126.430923725,12371.1559436,12533.784642075,12620.876110275,12798.008353649999,12752.033322149999,13011.233076749999,13066.920204675,13180.426354250001,13307.8788483,13393.8038125,13576.958491225,13611.348484125,13846.88984995,13934.1050712,14018.907584925,14119.719985025,14287.693418275001,14383.622290250001,14477.044185875,14603.7319908,14723.362761575,14875.1400709,14931.587447900001,15032.596895075,15166.747618424999,15231.486345475,15399.68823085,15514.487274449999,15577.880094825001,15706.727311425,15763.92232815,15886.006239825001,15967.915487675,16068.726974625,16177.2789357,16312.780127025,16433.41523305,16484.788858599997,16570.117819125,16707.49493465,16789.99698995,16913.072390475,16995.749705625,17078.616016925,17189.163241950002,17318.894167899998,17379.164555299998,17468.73345355,17568.510993775,17663.379481925,17775.333140375,17871.4739695,17914.821441125,18030.879691425,18113.50392095,18185.062857175,18248.777657825,18360.8641241,18429.3850558,18534.691922925,18600.878601475,18668.069310799998,18748.29086155,18829.599049074997,18922.655737974997,18986.487479774998,19072.49074465,19143.430947325,19208.404045,19267.7439489,19340.81332735,19402.473933875,19443.073206875,19465.13053
Mean,1606.6957715689998,2083.971101108,2496.364997436,2868.880473204,3194.4579625040005,3528.8411708299996,3836.469049331,4103.007509398,4390.480961346,4650.008594825,4895.023241527,5184.406483585,5391.771412720999,5610.0636173759995,5851.13599996,6065.911503645,6244.887024531,6472.90925061,6705.002651735999,6881.478575987,7067.724641845999,7231.800927564,7412.144427617,7595.561344911,7790.018979965,7945.507730589001,8135.263382275,8281.516027381,8443.339148740999,8632.452637168999,8765.472931639999,8974.673926124999,9097.350245757,9256.007494044,9426.129829724,9557.283490871001,9727.983390532,9862.181886762,10009.781180998001,10147.954263184,10319.308743168,10413.139609935,10567.834694474,10728.380772523999,10849.332937158,10969.047170855001,11127.285272056002,11246.867810775,11357.629403326999,11521.734214981001,11653.650615932002,11795.887824784,11898.54723407,12073.978805418998,12171.109743754,12314.993861621,12430.758469634999,12529.550703669,12691.840220952,12783.407318390999,12930.873869670999,13058.820681019,13156.611806326,13297.428709697,13419.227304433,13518.724946028,13651.788921238001,13777.597243421,13855.482510306001,13988.007810027,14107.210145037,14202.937725028001,14330.480153761,14458.511562916001,14567.212657323,14669.592697169,14790.14429448,14916.881275398002,15002.794763812,15153.497038985,15242.598582515,15333.979271272998,15478.938929384998,15577.770266978,15683.834526537,15796.172768339,15880.854719454002,16035.427136767,16105.976866492,16230.246385374001,16317.926201417997,16444.626015423,16555.240780166998,16644.082315092,16753.036189644,16861.335716029003,16969.910021332,17074.212945028,17188.420791460998,17279.176273880003,17372.316307259,17483.319752774998,17587.544232804,17703.568748149,17796.709531505,17907.938453428,17980.816855973,18088.610094425,18191.815657274998,18288.708103301,18399.760905887,18484.310581787,18586.54591305,18687.359427827,18791.272819315,18882.273895058,18976.909158535,19087.112270757996,19172.908101912,19269.737221819996,19364.860350248,19465.130530000002
