,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75
0.5,36.85013392895768,31.309008393546886,27.669865420407255,27.293775661520996,25.174018873783673,24.157754055067798,23.25721462199558,21.945133542176738,22.163289339416973,21.88218724700759,20.790260742919934,20.93717393088854,21.087895934653428,21.9425910472003
1,43.5234199095398,34.41512208806573,29.698114107234417,28.056262489674328,27.170185663211047,25.141505051609176,23.617433898569228,23.119066080502595,22.949852962764744,22.724005603458238,21.86046679468441,21.51434598877776,21.939333905821528,22.54340683920366
1.5,44.55968811655072,35.726689704344196,32.40919948821838,28.993942899624358,27.806984110302114,26.115153285692987,24.61914503261954,23.81427693449933,23.231850821858032,22.972907590392147,22.3856188064865,21.79894895887836,22.309305679345545,22.829802549081528
2,46.68096966098154,37.0107607606921,33.39748811551549,29.746790199689343,28.57812027096622,26.4457845306214,25.121641198793096,24.534166085741006,23.470417098684184,23.40862928545846,22.57485699881353,21.92898044819001,22.46380009798816,22.881067449816058
2.5,47.6857152686632,38.918837244869856,34.61429835049775,30.472581360706116,29.043835772227993,27.194852961403768,25.65474542012179,24.91524661813867,23.669018958176387,23.78543668698059,22.928155757651407,22.20246358005393,22.654217153695114,22.979862532251534
5,50.81646042774945,42.70393184983397,37.45007146180993,32.9022625222678,31.015518133946248,28.95477792876047,26.85544999982729,25.932305191892464,25.135477603887992,24.599069932779113,24.23738083684655,23.586869185282083,23.855622410696917,24.7900658833206
10,57.2588689644094,48.045785422019726,41.7839533944218,35.82047523957187,33.41757749713667,30.914225682749233,29.138666711188343,27.86610607314093,26.60403288864194,26.166596393304943,25.29669565212208,25.05342018484037,24.87682811882513,25.49788636828691
25,67.56125584229525,55.601302207302325,47.23167476864825,41.3815095160325,37.9547283488153,34.9797711063013,32.7872790498174,31.4228161402405,29.8434814888329,28.838416172295553,27.627794251671652,27.159083540355148,26.67036036767375,26.396176058098973
75,95.791429732832,76.14935743484767,63.90317183396962,55.6053732003893,49.331038794138294,44.97223706119652,41.5826234180306,38.09287135699297,36.2056092319487,34.16318618059852,32.35711933689915,30.625705624258423,29.14211061443215,27.492062844698726
90,109.98456814025582,85.63778994300884,71.64445907991451,61.33436718998991,54.1897322657604,49.76687265932709,45.111418670765,41.5717717195201,38.47182393496598,35.99384471641184,33.91778737433186,31.97414188789327,30.008023063086473,28.168666778649968
97.5,124.36643426029875,96.46120626237882,80.50358792570542,68.37781899654375,60.22963277472964,54.18390444132356,48.84578037387789,44.870784673231086,41.27259719671122,37.96586155669981,35.42927447588044,33.44262642424115,31.023213560195984,28.881296453353066
98,125.63451742164445,97.90877334639616,81.57084037815227,69.25019749235676,61.10703858350776,54.73699174649015,49.166922265324,45.30459805346412,41.6981055207272,38.24143643026704,35.535687877307744,33.584901683856835,31.26414814176583,28.9370838873595
98.5,130.44653355658832,99.42543183239655,83.18502912740422,70.49356401452314,61.74534732554729,55.43869938696199,50.04974740587359,45.849610800914874,42.057564459865766,38.380112262971025,35.73268845266597,33.75668970604687,31.36891021848065,29.00610020508818
99,134.55803745660822,100.6036107307454,86.15023045334435,71.19364542085151,62.679027737185635,56.727233740937095,50.350604868421556,46.590528258053034,42.5386771040744,39.347038676040974,36.18367110778995,33.88923200567488,31.52884700830297,29.150192256766886
99.5,140.81415690165267,102.90679986478402,88.37025408995835,72.77960446987213,64.66852098636316,58.559527328475,52.2659675281544,47.02324405077794,43.0452718544109,39.91000198104586,36.737869503956055,34.19649195781062,31.834623944220336,29.551580516265258
Median,82.1176091391115,65.39720341629666,55.147161733111005,48.54928515189795,43.6499427800918,39.9697446679585,36.757201066273,34.894250905904855,33.095548889424904,31.53257907400895,30.03483165631725,29.1322639506682,28.052074168280548,27.04025530347905
Mean,82.54587447962513,66.15558825097052,55.89131466310027,48.65638500794438,43.756664272475916,40.18296880550914,37.10047255479187,34.76351774158098,32.86597777589127,31.31511394405656,29.860341746140644,28.78456678012384,27.744896091603366,26.853732162394465
