,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
0.5,121.92180692069472,128.1062037781842,135.0769896765997,137.1081963532094,138.60177866910126,139.89370118402368,140.26590499212583,140.97359010828077,141.8641848865937,142.1345484896494,142.56759304602878,143.05060411189024,143.45428700810166,143.93366599672999
1,125.54634613002472,130.57315641850687,136.53898979010378,137.71999736241872,139.0941571417097,140.68154519599548,140.89129077301644,141.34626040712428,142.19096535551728,142.36823636074627,142.95646475774632,143.33086815865153,143.6075960351889,144.1136747995724
1.5,126.50456772909881,132.24395418970985,137.06954637916226,138.41131572398908,139.6593341325578,140.97560549654955,141.33269882131424,141.49354074510978,142.397470969409,142.50959887984834,143.13685341895567,143.4327008058147,143.90192484281036,144.16698887298347
2,129.0230966720916,133.26441329361825,137.59089001383774,138.76212930973537,140.03230001787614,141.18986115657302,141.53703942018674,141.578566537732,142.51319093140805,142.7932330535565,143.21556509169255,143.49213168736,143.96528789325166,144.22811159326935
2.5,129.89650130316434,134.44932169103046,138.44095733067107,139.00892391996763,140.2430198211387,141.28099334818296,141.70547385189468,141.67191757989949,142.59954281214902,142.92048793388525,143.33865314146138,143.58792520985014,144.03820727042853,144.28810852295626
5,132.9881782306322,136.73515718988844,139.7894075890261,140.36030056519104,141.1767578502093,141.824462781486,142.53163649851635,142.55063072141346,142.94103221767037,143.3152901844482,143.6989666115342,143.98024783110702,144.3240881222307,148.3708395950663
10,135.97648946351458,139.0951670191981,140.9820914651508,141.5240739052312,142.36769417183538,142.80330398004602,143.2202965759253,143.24372606925579,143.5737837800757,143.9007971099491,144.1535069762784,144.5212001475543,145.2708659376724,148.5535205206369
25,141.11557203635576,142.781568656427,143.23258810705224,143.617358907989,143.960179138224,144.41842450725426,144.49469544136224,144.458139692363,144.94592808929025,145.137390186254,148.91273802375224,149.01628475638725,148.940780527528,148.8063477320945
75,150.26865587243898,149.028617201881,156.772497084871,156.5285951149765,155.64268050215952,154.460988043669,153.34078730541574,152.5432314100645,151.85231122831925,151.174598135334,150.57859704073923,150.1166787694305,149.6678604948365,149.217433003752
90,177.4518411148756,168.5379683033201,163.5844114939853,159.8624612277809,157.51288345763132,155.7635872694465,154.3033000685406,153.4093219498711,152.5449524510189,151.68948954386832,151.04241065036638,150.4614830371418,149.91853898487201,149.3711219991355
97.5,184.91991442388067,172.28105250861617,165.43559100921752,161.57535386951372,158.62228408037896,156.82839029082342,155.36970005044077,154.1228020359509,153.1415910304239,152.29063432101572,151.44120261130237,150.80541127337838,150.18028037969486,149.47577292089255
98,185.28569643263785,172.59003756238522,165.58594347708728,161.75235336715178,158.87501517409822,156.91425851893564,155.4831143635319,154.18219156077961,153.17849248154178,152.39741625821674,151.49639352057068,150.8423955742136,150.2157459508045,149.4804362013492
98.5,185.98875351500644,172.84195724796467,166.16970514927755,161.8603349451466,159.07090585265948,157.04474202860922,155.58098237889755,154.23619171164123,153.2201671063974,152.46593950008563,151.56625472581896,150.93578879463183,150.2506673271323,149.49464459214457
99,186.1475124114444,173.31158057209805,166.4930715987786,162.07528176088888,159.24832868307536,157.23223725746865,155.77573094231587,154.52675704253622,153.35136425339664,152.51775490870048,151.68677002968641,150.97219352029643,150.28711777319194,149.5040316815037
99.5,186.97353532234095,173.75380940771987,166.93124337512953,162.34718674799925,159.51401401283255,157.5337319171964,156.01218833063393,154.7984517840789,153.55339903169647,152.68778899503016,151.84725999315472,151.04109124794007,150.37094826607674,149.51961719164208
Median,145.84881058809998,145.79297064208902,146.02069818087853,145.79254143984002,145.947089155508,146.8676652771595,150.0675823088195,150.6397098256825,150.77248227359848,150.3421882084785,149.9882151015435,149.6520299663665,149.318219472644,149.03469977733698
Mean,148.54109328093224,148.62101128759403,148.99161745128248,148.7279468478048,148.81428110566003,149.14442052316662,148.85395129802265,148.68127614582366,148.9922901978301,148.9049139608069,148.92234528627247,148.91406824357674,148.85331774720643,148.83902410834352
