,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
0.5,488.66958066032845,627.608772022429,773.050740088338,883.888922964818,998.2023109115585,1074.2396556525975,1178.1807730670764,1287.730120525248,1347.0289314732631,1414.400258828786,1522.890885808578,1601.272809973693,1684.150979566675,1778.5740150571
1,498.392748195176,655.9758692261161,782.265377656622,909.7172256973921,1016.2647597372979,1096.813134707491,1202.6431240582428,1304.391054910791,1370.961610429594,1443.785850592196,1542.1874469977981,1617.058432859884,1700.4486002089,1800.1222661156298
1.5,506.508209044627,662.7709600344884,799.1289804350205,920.3140520462265,1023.702607665379,1105.1018435580174,1228.0044601158884,1312.1921353115401,1383.6832107445307,1461.7922595927798,1557.46026990229,1621.90319455334,1715.216768162459,1814.863191761815
2,522.313642595014,666.063931252142,808.130642647172,923.789756614114,1028.18820664064,1113.144069810536,1235.61710075349,1323.059497626892,1393.288214596348,1480.3475928605978,1566.76288900366,1627.079263019888,1722.05376498018,1817.1599328270402
2.5,528.645322574155,670.5360109577275,816.5055161621975,927.5403652363725,1030.384387550235,1126.5085534977825,1242.08707129132,1326.8577887706101,1398.394546719285,1488.0332020235826,1571.2380751921248,1635.4901571155851,1729.425460717935,1819.948795312175
5,541.0847224750501,697.7737050890701,842.18447815887,957.44825232773,1061.63362145111,1154.223846720445,1268.157820933715,1342.67877540716,1423.74713640228,1510.37169960628,1587.9429778517701,1674.8883007889501,1756.55113988655,1896.79662859435
10,559.5208159904299,723.31242802669,866.4422840086401,986.13768800403,1091.47252806678,1187.48531802681,1290.11604943927,1371.9908904931299,1458.40347434368,1533.71149358356,1630.61663635487,1708.7945523701999,1795.2509556613002,1916.6460863814
25,597.6804713067501,773.18079623325,908.279143150475,1032.432730177125,1146.3563183749252,1250.4755190626,1343.07851000705,1429.343869604875,1515.1846550088,1596.7002762673,1695.1380549824498,1776.5895792145,1866.1053757123,1946.99845229355
75,688.6361697067,876.868534315675,1027.3362161098248,1168.869642029675,1289.8931248404501,1392.9203387317,1487.84593420675,1572.3727862016,1660.143265701125,1733.1740356894502,1806.8066018028499,1869.5089473424,1928.5961388553,1977.7412240718
90,739.9269421638501,930.60744098132,1092.85570574731,1233.10707610633,1352.63548936775,1453.7605985827902,1542.0280818003,1626.96014492806,1704.1392632379,1769.63823425224,1838.28306403796,1893.5613638649,1943.62895863456,1983.7733019167
97.5,806.6958566933099,990.38056118636,1157.7418579059124,1282.83520821259,1412.370478580335,1503.6996702026227,1597.18014647092,1676.6028296059774,1739.7490388386775,1811.8694747224474,1867.05913115601,1911.0655326368599,1953.7380697369251,1988.404912102775
98,809.74432941142,1010.732559452804,1159.948013176478,1290.8158871645878,1419.655255849662,1507.22949953907,1603.1165377269858,1681.1588456032619,1746.85489801412,1814.7235004857498,1868.3494190735018,1913.1994114668598,1955.3808260919,1988.587626209508
98.5,817.9404310280739,1020.487026011519,1183.929021849935,1301.678833124262,1426.246471685827,1511.756943651458,1608.4039273415653,1690.2587478602481,1752.2071848575845,1819.7148515770125,1874.5877465767298,1918.9631631724048,1956.924906922415,1989.145370769165
99,825.3779285142949,1026.2582000481732,1188.042988897571,1316.296274162024,1437.8476609998681,1522.2427837599,1625.597719992289,1698.4915905667149,1758.5930122726081,1824.119764417157,1879.17514266264,1924.7847711452898,1958.62201566789,1989.85141681691
99.5,838.083595730879,1038.3877098095384,1204.141224745489,1326.0247160833414,1456.696572394128,1543.675762029822,1638.8507104245646,1707.38843434447,1771.493276007115,1833.815001155698,1885.9290063064755,1929.5488911757225,1960.228567849378,1990.017785800096
Median,642.3641935108501,820.5582258521999,956.4153234241501,1098.33705445725,1210.7405474823,1321.8795095759,1412.8207040201,1506.1609273768,1593.9644410277501,1677.842064829,1764.9270226005,1833.4787161504,1903.3129878885,1968.3984820093
Mean,646.3963569727044,825.0087368198598,969.5569870266786,1101.4737213533838,1217.2744421691577,1320.9008182165837,1415.5245982404588,1502.1368593148854,1586.2176001195278,1663.3959082983943,1748.123135572484,1815.8862845503115,1887.1861909190347,1956.0149673388628
