,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250
0.5,225.6232682,327.67706367,445.38335431,524.0793182150001,590.227413385,700.686793235,744.83433504,838.85115461,889.3058896299999,973.084960655,1010.1911021750001,1068.93679251,1128.9296941849998,1186.8142233150002,1235.86368691,1278.575429195,1315.108430015,1388.63573844,1396.0029232499999,1469.253488445,1515.29709976,1556.54349241,1622.982660615,1652.42346291,1701.63994118,1743.733319895,1786.40496144,1823.777144985,1869.2239042899998,1914.738871335,1923.5610467549998,1981.798465995,2023.855457135,2055.6730774049997,2096.56364063,2142.176074905,2154.2006746549996,2209.441476405,2238.130627875,2274.63754849,2306.4784906600003,2343.9822606899997,2376.125634535,2418.0510694100003,2445.678454405,2485.373699185,2529.067515765,2564.9257218850003,2602.37295171
1,247.46632054000003,338.59879229,455.20633470999996,532.8977004,621.31708074,708.60941884,771.2753840700001,856.8675915900001,906.95324941,980.9855737299999,1035.91556539,1084.9267890899998,1154.25730966,1198.9153453200001,1247.37390193,1293.25113184,1347.48872336,1402.3807745699999,1435.32645827,1485.65291172,1541.76260099,1578.54446104,1628.91152447,1669.76962633,1709.49721946,1757.74606354,1801.32910799,1833.4810983,1890.2173432299999,1923.2463583699998,1946.95613983,1993.84135533,2028.98678255,2066.9339877400002,2110.23308387,2148.8100572599997,2167.26480652,2219.58931711,2249.76649482,2285.4509803799997,2313.5757752199997,2350.75256541,2382.9889656,2423.24053159,2453.5102179299997,2494.8214218999997,2532.14728824,2571.91756739,2607.46559843
1.5,251.911741625,344.98361928,460.29745987,543.799522095,631.946428505,719.7127488799999,790.0560808,862.747380835,914.49359982,990.9847202249999,1057.4301219449999,1095.742227315,1162.5832410399998,1204.3820739999999,1265.00467294,1306.7838020099998,1361.065674845,1408.6341918599999,1443.034075495,1498.578412655,1548.219725365,1586.32559107,1638.2565840749999,1681.2192803149999,1723.014371665,1764.39957199,1810.29866014,1844.8321180050002,1896.15693844,1929.728012995,1955.643865325,2004.113293395,2040.542884205,2070.638638375,2114.2347064150003,2151.162962195,2182.41183518,2222.76756019,2252.818779665,2290.9777876,2319.0476299399998,2360.612952805,2391.9903281350003,2430.1065108899998,2463.9286498750002,2501.986950725,2534.27159304,2575.99898053,2618.0411758650002
2,260.314099,350.26651722,472.06296236,555.2255932,644.70108466,724.6821641600001,793.5086704,872.23759992,918.34171768,996.5177789,1063.87483726,1102.70470026,1168.51180048,1214.29727858,1270.643739,1313.9697682400001,1367.89753056,1417.9864588599999,1449.6708499600002,1508.84103436,1557.30716828,1594.3326481,1648.94476668,1688.4269792999999,1727.7042803,1768.23862714,1819.65443346,1848.631983,1899.0991860400002,1935.80759538,1963.98082358,2007.85676776,2043.81250982,2077.0920536,2117.2811223,2160.73030702,2189.8870903399998,2225.4410472000004,2257.85587608,2296.30930322,2323.73693612,2363.5252267799997,2395.799734,2432.18561592,2465.52065016,2508.5137023599996,2537.5983106,2579.2829099600003,2625.2377797599997
2.5,264.6881322,356.85481127500003,477.261361675,558.44748335,648.159252525,729.362131325,801.9742482,875.5455857,926.388463775,999.56782065,1066.708889775,1109.845216325,1178.0688455,1221.2520798,1274.854464125,1320.2739299500001,1379.4307105999999,1420.3649260500001,1462.479043975,1512.1789669,1563.297064375,1595.7683109,1654.1641069,1691.28142885,1733.202269825,1775.739108925,1824.7649338249998,1858.48612125,1904.5776906,1944.338227125,1968.2753062499999,2009.5404242250002,2047.351724825,2079.488759775,2120.0607274500003,2163.477643925,2196.7981164000003,2227.8617297,2261.8666545,2302.4281518,2330.53769075,2366.3709556249996,2398.7986462,2437.646017875,2468.949021675,2510.532016925,2540.438231825,2580.475521725,2627.1146949999998
5,282.5894214,378.65748405,496.5937426,579.87808165,668.94393195,751.9952016,818.50077025,893.49372615,951.7544317,1015.5582109000001,1087.6134389000001,1135.38153265,1199.8450985499999,1246.03474675,1299.5776549500001,1343.9191349,1396.59619005,1445.79471045,1487.60142365,1535.81524445,1585.1770882,1618.33731205,1672.47178435,1707.5200192,1751.0982370499999,1797.53870385,1837.2348028,1878.53253985,1915.1927312,1958.05291095,1984.0089094999998,2021.4925607,2067.61933305,2099.9677036,2137.3508985500002,2174.73225655,2210.3149484,2241.54069515,2272.69693625,2314.7386644000003,2345.7043894500002,2375.64713865,2412.8038794000004,2448.72123005,2481.62389485,2520.57949605,2549.5251132999997,2592.15612595,2635.9799343000004
10,297.5965866,406.24923110000003,519.5283667000001,601.9346085,690.6784610999999,772.5871726,844.2859618,920.5547378,974.966957,1042.5878536,1107.8864622,1160.8256221000001,1224.1395658,1275.3518998,1323.7442523,1374.9168640999999,1415.9443601,1476.8065381,1516.1575269999998,1563.315787,1608.2060371,1645.6648346,1693.7249858,1727.3760429,1777.6877531,1818.8795365,1860.5017298999999,1896.7975105,1935.1925565000001,1973.8581888,2004.1303828,2043.0514274,2077.7455449999998,2116.8779629,2152.9001123000003,2188.7442868000003,2226.1889263,2256.8953261,2289.8477251,2326.700207,2361.7543771,2390.6748891,2428.4641927,2461.2636390000002,2494.1432795,2529.7296214,2562.2395409,2601.1474859,2639.1279845999998
25,330.253265,450.72794050000005,554.99981925,645.70039225,738.710987,817.122315,884.273948,965.0170975,1019.41795825,1085.7931469999999,1146.873579,1203.020535,1265.0207145,1315.36217275,1369.3904694999999,1416.981702,1465.4119302499998,1514.973905,1550.93878825,1601.13800825,1645.36612325,1682.5948455,1733.0305617499998,1768.96903375,1813.2150199999999,1854.63932675,1892.0060175,1931.4465335,1965.45940325,2004.95619625,2034.431231,2073.322694,2110.25191,2145.1584629999998,2181.7532325,2215.3457122500004,2249.31438875,2281.8037735,2315.03730525,2351.808267,2383.465262,2416.3929295,2449.56410575,2481.6844425,2512.52952225,2547.2705835,2578.39620225,2612.30002425,2643.42653075
75,407.16182475,534.7135842499999,640.852985,740.59879875,831.4369015,908.05938125,978.8075855,1052.43195525,1114.7328295,1178.536427,1235.57675825,1294.52221825,1350.5343269999998,1399.68084825,1455.14647125,1501.85897275,1551.82338275,1596.5946452500002,1643.4983347500001,1685.1834549999999,1725.17199875,1768.492338,1806.787535,1845.69611575,1890.7573242499998,1928.2996995,1965.6246495,1999.4952265,2034.1111345,2068.038967,2102.40107975,2135.7606925,2174.2368555,2202.8699205000003,2236.8084455,2272.07354475,2301.99496825,2333.30569275,2362.66731825,2397.34678475,2428.85470425,2458.4466865,2487.77045875,2516.08454825,2543.441309,2573.10136225,2600.2645697499997,2626.129778,2650.8337115
90,435.5997621,569.5679908000001,679.1215771,784.0556876,870.3505732,949.9397733999999,1023.1232638,1095.3280752,1160.9945674,1214.5438537,1275.8337993999999,1333.375872,1384.6478730000001,1447.4409107,1489.740802,1535.5581269000002,1586.0537675,1633.5163445,1673.3440846,1719.5318502,1756.5033707,1800.2790089,1834.3580733000001,1882.5317897,1915.1595098,1959.5038349,1993.9972205000001,2029.7877111,2058.8057613,2094.2844583,2127.1536039000002,2160.5139286,2196.746223,2227.0076175000004,2259.1799242,2293.5905055,2322.9686278000004,2352.6929799,2381.7268336,2414.30474,2446.352945,2471.6854368000004,2501.1126574,2529.1743753,2553.9686476,2581.9556264,2606.6417009,2631.1964302,2653.0969467
