,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250
Low,264.6881322,356.85481127500003,477.261361675,558.44748335,648.159252525,729.362131325,801.9742482,875.5455857,926.388463775,999.56782065,1066.708889775,1109.845216325,1178.0688455,1221.2520798,1274.854464125,1320.2739299500001,1379.4307105999999,1420.3649260500001,1462.479043975,1512.1789669,1563.297064375,1595.7683109,1654.1641069,1691.28142885,1733.202269825,1775.739108925,1824.7649338249998,1858.48612125,1904.5776906,1944.338227125,1968.2753062499999,2009.5404242250002,2047.351724825,2079.488759775,2120.0607274500003,2163.477643925,2196.7981164000003,2227.8617297,2261.8666545,2302.4281518,2330.53769075,2366.3709556249996,2398.7986462,2437.646017875,2468.949021675,2510.532016925,2540.438231825,2580.475521725,2627.1146949999998
High,469.200693525,609.519873975,714.056400275,827.5613817749999,915.311202775,998.9171994750001,1073.75622895,1136.6256191,1203.4196582749998,1255.02539445,1312.171676775,1374.1560117,1423.4700010249999,1490.624057725,1528.35285105,1578.0821918249999,1617.8575896,1663.0165933750002,1708.8337801499997,1752.9745607,1786.160731775,1837.967659925,1871.1401707,1909.4424618,1947.947000875,1986.4641653249998,2021.6164714249999,2055.904680575,2089.4990841999997,2121.4589346,2155.61659595,2183.282059225,2218.3095232250002,2248.148111325,2282.25883175,2316.4508965,2343.641302725,2369.0547398999997,2401.450413925,2430.00870785,2461.59068525,2487.821389725,2514.208971,2541.48045315,2564.516130775,2590.24609835,2612.2891252249997,2636.2458302,2655.422905075
Mean,368.895492724,491.2503234,598.120638149,693.7315605949999,783.3762954609999,862.563074151,932.438956095,1006.061137081,1066.700976058,1131.2098464650003,1191.121881837,1247.5010360720003,1306.7850677800002,1357.7748145229998,1410.1005820900002,1457.643345549,1506.5721896270002,1553.1162574740001,1595.393364605,1641.4419282020003,1683.736628668,1723.7626868369998,1768.2354952179999,1806.9173036129998,1849.896378077,1891.332312949,1927.284070093,1964.92668624,1999.0200749829999,2035.686137682,2067.972539448,2103.781684709,2141.1749570650004,2172.631584264,2207.5625147550004,2242.9896166249996,2274.478453239,2306.6670681670003,2337.631638644,2372.675347159,2404.685304518,2435.322858686,2466.593842288,2497.0980179099997,2526.2841312920004,2558.165084282,2587.268815035,2617.680552687,2646.199185902
