"","x"
"1","Actinemys marmorata"
"2","Charina bottae"
"3","Coluber constrictor"
"4","Contia tenuis"
"5","Crotalus oreganus"
"6","Diadophis punctatus"
"7","Elgaria coerulea"
"8","Hypsiglena chlorophaea"
"9","Hypsiglena ochrorhynchus"
"10","Lampropeltis californiae"
"11","Lampropeltis zonata"
"12","Masticophis lateralis"
"13","Masticophis taeniatus"
"14","Phrynosoma douglasii"
"15","Pituophis catenifer"
"16","Plestiodon skiltonianus"
"17","Sceloporus graciosus"
"18","Sceloporus occidentalis"
"19","Thamnophis atratus"
"20","Thamnophis couchii"
"21","Thamnophis elegans"
"22","Thamnophis sirtalis"
"23","Uta stansburiana"
