,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215
Low,65.53019352888892,76.50913260095234,78.0678146097368,82.07101555049996,82.71207696821837,84.50264869537811,85.32534841368587,86.12674390070708,86.97512322383673,87.49301003188556,89.05713187329093,89.45944879271636,89.21997943675983,89.34542907306303,89.48073973039554,90.00426113382349,90.29443956818976,90.78798229397535,91.06260889590408,91.23816077260071,91.22588983610929,91.85017233395122,92.22593350225841,92.43063029426452,92.54911696220925,93.18042036936981,93.22356812762848,93.09078775180072,93.55149018428192,93.63649744165897,93.80158559315053,93.99189528950853,94.19944930387223,94.2289997578555,94.35260551310051,94.59131235523499,94.78194645396268,94.96256140792225,95.31322454414071,95.61692730676951,95.87569074098204,96.32855864026952
High,114.35121837388921,111.63358641666694,109.45006693460567,108.11110935733365,107.29088399770144,106.58185042344527,106.14399434717905,105.52038737873771,104.38248341910244,105.02219118791263,103.73131799809306,103.72014741240378,103.29083520923355,102.81006125073914,102.7499197715589,102.56623350387935,101.98936093241532,101.81820115508397,101.69200389401978,101.41640757437725,101.44359030214747,101.27874488007612,101.05041317464612,100.51295802380022,100.39783679066164,100.45314971990089,100.12547812413948,99.83780932041665,99.87834167901343,99.68264975957273,99.71665555208725,99.55126764974871,99.22138685721201,99.09781306846301,98.90631864156113,98.73891322749411,98.62867601063627,98.31231702112609,98.16759388408546,97.90472371548776,97.6636455060412,97.14406211106497
Mean,96.97030586895556,97.26265118790477,96.31261873923684,96.82205445517333,96.86696670144599,96.91591780118655,97.05099217815898,96.74010861715354,96.70510717261797,96.87553268530775,96.78766637915932,96.89290687095577,96.70063633798799,96.86475886707244,96.72687404181265,96.75644994740281,96.76431943586216,96.76301261868936,96.65315639454445,96.72196631610001,96.66633447296464,96.84183177072158,96.81523471947858,96.75282584384337,96.80785468266083,96.78321235507661,96.75606168556814,96.71429028078929,96.81309153903517,96.77217639615634,96.82198458408868,96.80919505430703,96.76118747329663,96.7308677757655,96.72370295808057,96.76621621649107,96.76957842936135,96.74421847837885,96.79444062491945,96.76781194424821,96.7812498089697,96.7559876474802
