"gsub..........species.scientificName."
"Pyrrhulapyrrhula(Linnaeus,1758)"
"Aegithaloscaudatus(Linnaeus,1758)"
"CorvuscornixLinnaeus,1758"
"Picapica(Linnaeus,1758)"
"CorvuscoraxLinnaeus,1758"
"Acanthisflammea(Linnaeus,1758)"
"TurduspilarisLinnaeus,1758"
"Passerdomesticus(Linnaeus,1758)"
"ColumbaliviaJ.F.Gmelin,1789"
"ParusmajorLinnaeus,1758"
"FalcoperegrinusTunstall,1771"
"LarusargentatusPontoppidan,1763"
"AnasplatyrhynchosLinnaeus,1758"
"SittaeuropaeaLinnaeus,1758"
"Passermontanus(Linnaeus,1758)"
"Chlorischloris(Linnaeus,1758)"
"ParusmontanusConradvonBaldenstein,1827"
"ParuscaeruleusLinnaeus,1758"
"CorvusmonedulaLinnaeus,1758"
"Garrulusglandarius(Linnaeus,1758)"
"Dendrocoposmajor(Linnaeus,1758)"
"LoxiacurvirostraLinnaeus,1758"
"CerthiafamiliarisLinnaeus,1758"
"ParuspalustrisLinnaeus,1758"
"Melanittaamericana(Swainson,1832)"
"Chlorissinica(Linnaeus,1766)"
"Bucephalaclangula(Linnaeus,1758)"
"MergusserratorLinnaeus,1758"
"LarusschistisagusStejneger,1884"
"LarushyperboreusGunnerus,1767"
"Histrionicushistrionicus(Linnaeus,1758)"
"AnasacutaLinnaeus,1758"
"PhalacrocoraxpelagicusPallas,1811"
"ArdeacinereaLinnaeus,1758"
"MergusmerganserLinnaeus,1758"
"LarusridibundusLinnaeus,1766"
"Anthuspratensis(Linnaeus,1758)"
"AlaudaarvensisLinnaeus,1758"
"Circusaeruginosus(Linnaeus,1758)"
"Anthusspinoletta(Linnaeus,1758)"
"CorvusfrugilegusLinnaeus,1758"
"TurdusphilomelosC.L.Brehm,1831"
"Porphyrioporphyrio(Linnaeus,1758)"
"Phalacrocoraxpygmeus(Pallas,1773)"
"Tachybaptusruficollis(Pallas,1764)"
"Gallinagogallinago(Linnaeus,1758)"
"TurdusiliacusLinnaeus,1758"
"Phalacrocoraxcarbo(Linnaeus,1758)"
"Casmerodiusalbus(Linnaeus,1758)"
"Gallinulachloropus(Linnaeus,1758)"
"FringillacoelebsLinnaeus,1758"
"LarusichthyaetusPallas,1773"
"SturnusvulgarisLinnaeus,1758"
"FulicaatraLinnaeus,1758"
"AnascreccaLinnaeus,1758"
"LaruscachinnansPallas,1811"
"Cygnusolor(J.F.Gmelin,1789)"
"Lullulaarborea(Linnaeus,1758)"
"AnasclypeataLinnaeus,1758"
"Troglodytestroglodytes(Linnaeus,1758)"
"Aythyafuligula(Linnaeus,1758)"
"Schoeniclusschoeniclus(Linnaeus,1758)"
"EmberizacitrinellaLinnaeus,1758"
"TurdusmerulaLinnaeus,1758"
"Cyanistescaeruleus(Linnaeus,1758)"
"Bombycillagarrulus(Linnaeus,1758)"
"Ciconiaciconia(Linnaeus,1758)"
"Accipiternisus(Linnaeus,1758)"
"PicuscanusJ.F.Gmelin,1788"
"Dendrocoposminor(Linnaeus,1758)"
"Dendrocoposmedius(Linnaeus,1758)"
"Chroicocephalusridibundus(Linnaeus,1766)"
"Cygnuscygnus(Linnaeus,1758)"
"LaniusexcubitorLinnaeus,1758"
"Regulusregulus(Linnaeus,1758)"
"FringillamontifringillaLinnaeus,1758"
"Brantaberniclahrota(O.F.Müller,1776)"
"Accipitergentilis(Linnaeus,1758)"
"Dendrocoposleucotos(Bechstein,1802)"
"ParusaterLinnaeus,1758"
"ParuscristatusLinnaeus,1758"
"Tetrastesbonasia(Linnaeus,1758)"
"Spinusspinus(Linnaeus,1758)"
"LaruscanusLinnaeus,1758"
"ColumbapalumbusLinnaeus,1758"
"Uragussibiricus(Pallas,1773)"
"Perdixperdix(Linnaeus,1758)"
"Milvusmilvus(Linnaeus,1758)"
"Marecapenelope(Linnaeus,1758)"
"Sylviaatricapilla(Linnaeus,1758)"
"Buteobuteo(Linnaeus,1758)"
"Brantacanadensis(Linnaeus,1758)"
"Erithacusrubecula(Linnaeus,1758)"
"PhasianuscolchicusLinnaeus,1758"
"Coloeusmonedula(Linnaeus,1758)"
