,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52
Low,363.68375012499996,469.641194375,561.0848126249999,637.7696208,717.8742617749999,794.76339395,873.161520225,936.67091475,1022.0007795500001,1102.064768,1167.949883325,1230.003427875,1300.14355135,1369.216509675,1438.9128578,1514.51291805,1579.289639925,1642.328566525,1705.241873575,1769.9735305,1842.008708325,1909.40265465,1976.6687791250001,2095.382943
High,545.072909,674.507255525,776.382708,879.53756635,977.5870101,1061.299514525,1152.430698975,1225.7156627,1307.0933473,1370.288576975,1429.9212273,1506.444350325,1574.592034975,1634.749349525,1691.01774915,1755.366842125,1803.6530225749998,1857.657370125,1916.952376025,1955.601317125,2005.17293905,2042.3905407,2076.2353068,2095.382943
Mean,464.111984808,577.087197145,674.158954845,766.299174104,857.779721624,940.102477182,1018.713021758,1093.561774479,1172.1826242070001,1245.6113518910001,1305.929339243,1376.253962148,1444.386393755,1507.913439755,1572.6355394549998,1638.4287930570001,1697.3596075130001,1754.8387839080003,1815.3026090609999,1869.9853353150002,1928.224477388,1984.5670934549998,2038.5334966849998,2095.382943
