,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52
0.5,61.83647721499997,56.4624135875,58.737961627,53.254556963333364,56.69144137357147,54.794045033125,55.68323349611112,53.8048199925,53.948563222272746,52.76362505374996,50.97031069500003,50.876841295714286,51.520855671999996,51.2348057340625,50.1570426717647,50.56279613611111,50.52715767052632,49.97309375575,50.40571713547619,50.58315905863637,49.60990157043474,50.98912503,51.86037328,54.4532232307692
1,66.78597228999995,63.12337096,60.5185083,58.1484337666667,58.911119745714245,56.77345920375,57.7386238866667,55.412898598,55.73927044454545,53.85984452833333,53.29403844769228,52.952438531428555,53.02938189399997,52.395674655625,51.2182169382353,51.413283569999955,51.61088399368419,51.133463073,50.87073116047616,51.10808859545451,50.672111703478244,51.567055038333365,51.9197772428,54.4532232307692
1.5,68.9017137216667,64.04866294875,62.42522844,59.855114471666695,59.82151276571433,57.650585425,58.65879216166666,56.329546061,56.49328345590905,54.924024570833296,54.232604844999976,54.0015309175,53.720987419,53.273901698437506,52.49260279999995,52.319351309444464,52.029177157105245,51.806124763999996,51.21272129261906,51.589297746590944,51.257826007826054,51.7295018927083,52.0521790938,54.4532232307692
2,71.66534258666663,67.30382699,64.380169748,60.94383247000003,61.717263737142886,58.609433985,60.340643542222175,57.700408062,56.945466479999965,56.381686735,54.67386917076924,54.74600788000003,54.4748838053333,53.673015177500005,53.07515563176465,52.82080678888889,52.764409457894764,52.212257586,51.64119615428576,52.15418691818184,51.42295388000002,51.972589309166665,52.23871276,54.4532232307692
2.5,74.08990230000003,68.73819075,66.02693664499999,61.903935612500035,63.30758760714284,60.192626521875,60.66747974444449,58.9149791825,57.35109242954544,57.21948279375003,55.89522631923075,55.7365831732143,54.84629597999997,54.0049466359375,53.37113048382349,52.98490597777776,53.01776827368425,52.43442223,52.09837665952381,52.39182497840911,51.664825107608685,52.06871357708334,52.316561204,54.4532232307692
5,81.3398315166667,75.1591688375,71.51687906000001,66.6491431083333,66.59308259999997,63.33689884375,62.57531266111112,61.30513587,60.50894466363637,59.64001915,58.04085148846156,57.460150014285716,56.238417913333365,55.600666725,54.54784189705878,54.32846302500002,53.97631173157896,53.714253854999995,53.21084783809528,53.09250193636368,52.56842462173916,52.58705915208336,52.7480794,54.4532232307692
10,89.0774987333333,84.441199225,77.92496521999999,72.4361905166667,70.73267330000002,68.09092735,65.66457007777781,64.02854396,63.22230918181819,62.24763349999997,60.27842041538464,60.04953479285716,58.59963742000003,57.5457024125,56.50736418235295,55.96457777222224,55.30799436842103,55.005729925000004,54.62155788095235,53.97123706818179,53.349520808695665,53.17343424583336,53.25930812,54.4532232307692
25,105.425186333333,96.15447131250001,88.35776575,81.96968845833335,77.47151964285712,74.9224605,72.66187019444439,69.1769218,68.02587506818178,66.98799724999998,64.82212348076922,63.21503717857139,62.236481399999974,61.12686709374999,59.56874620588238,58.72464693055552,57.699426842105275,57.0905687625,56.557703952380955,55.66858287500003,54.9632117173913,54.52513351041665,54.17385289,54.4532232307692
75,142.03001633333326,123.72651725,111.55266595,101.5456081666665,95.42041974999998,90.34005153125,85.59547075,82.221814025,78.9533755227273,76.33862393749999,73.1407131346154,71.71615382142858,69.97227626666665,68.28880025000001,66.10117116176473,65.0929288611111,63.09084076315787,61.8953801375,61.07783640476195,59.552792829545425,58.44570060869565,57.4669188333333,56.1978983,54.4532232307692
90,154.26054179999971,135.75114829999998,119.93132678,109.80042633333301,103.57108817142881,96.81138283749999,91.59742831111112,87.08896138,83.52940160909088,80.473578075,76.8374176153846,75.75798275,73.3433653533333,71.19828793125001,69.00783641764706,67.59949376111115,65.50037148421049,64.21634822,63.01548692380949,61.290215427272734,59.946189182608705,58.6262913083333,57.28785272,54.4532232307692
97.5,170.2546069833333,146.889261125,130.01173913,118.68091638333298,111.18466849285754,103.377712809375,97.04573006666664,92.86109796749999,88.57011482954549,84.8752555520833,80.3828595846154,79.47456688571427,76.82598809999999,74.12218201249999,71.48287044558819,70.42712278888892,68.18871293026318,66.091001875,65.3918094214286,62.92558932159095,61.34919690978257,59.857686407291666,58.10495984,54.4532232307692
98,172.441608333333,148.50158191,130.573905568,119.96069764666633,112.36187789142816,103.8187218925,97.54491871555557,93.349494768,89.47545161818182,85.94336174166669,81.05459919692305,80.64414331999997,77.41954980266664,74.7908623025,71.76259418705878,71.11162075888885,68.75579245473683,66.382316251,65.61139247333332,63.08861938636367,61.54867886260868,60.01307740249997,58.11506248,54.4532232307692
98.5,177.750528,151.116124575,132.216703104,121.8911578075,113.728692394286,104.909581205,99.10222922611105,93.868385736,90.31385999090905,86.19169231375,82.05164436423077,81.04526543000003,78.0725474353333,75.11832969999999,72.2600249602941,71.4589631780555,68.99822323184206,66.4631469415,65.92047800166665,63.47153970545449,62.030828303478266,60.1738366752083,58.2277263426,54.4532232307692
99,177.7718613333333,152.92967475,133.786988464,122.66785355500033,116.29878546571443,106.03832650125,100.37908160666689,94.940365871,90.78084763000001,87.23271538916666,82.81452905153849,81.6446119028571,78.60828673600003,75.4226861025,72.6866000841176,72.13180521055556,69.48002850210523,67.3328055035,66.78120366047614,63.7773580504545,62.45003121000003,60.731118034166634,58.75940076,54.4532232307692
99.5,179.88769331666632,154.00529765374998,136.449423118,125.01637889750033,118.74726992071443,107.82721240562499,101.76337621222233,97.986732386,92.15246101409092,88.32816517166665,83.54966817615382,82.39928859285715,79.1511138346667,76.57625504562499,73.97306018058819,73.05774571555555,69.64965150736843,68.54990377925,67.54867104333331,64.3711813522727,63.128857152608695,61.19343153520834,58.98623728,54.4532232307692
Median,123.607197,109.2258925,99.8933978,91.85545358333334,86.7881167857143,82.49034775,78.95463461111115,75.75166275,73.6299751363636,72.04938820833334,68.92450053846156,67.39692825,66.18365676666664,64.57297903125,63.09551894117645,61.9454515,60.45126999999995,59.733066175,58.7246154285714,57.6485745681818,56.8849675217391,55.93019795833335,55.17358272,54.4532232307692
Mean,122.831066277,109.48779605125,99.482066472,91.621761731,86.7896038072857,82.38892128949999,78.90185350311111,75.6258136438,73.49006715954545,71.64797919641667,68.84790430607691,67.56198962257142,65.99869179646667,64.53996417912501,62.82541926699999,61.89960326194444,60.39829402694736,59.53249805185,58.744194229476186,57.61882805045454,56.74076126617391,55.95845989866667,55.21279819912,54.45322323076921
